cat,pnps,bin_median,toxin_median,depth
IN-1077:ERR599082,1601,0.0782814034507111,0.0887580635834068,DCM
IN-1077:ERR599110,1130,0.09301670161260504,0.14462240854385686,DCM
IN-11:ERR599112,173,0.09454405972298616,0.1883534452018721,MES
IN-12:SRR3963498,1104,0.0740994404892139,0.0983960412085237,deep
IN-12:SRR3963622,374,0.0593182538656486,0.0231354299069254,deep
IN-16:ERR599112,152,0.0985889240460377,0.1348431714518446,MES
IN-20:ERR598960,1918,0.06613886369314509,0.09238153878143615,MES
IN-20:ERR599062,118,0.0551798768757214,0.1076180017763532,MES
IN-20:ERR599112,2468,0.0897201637405375,0.09556567865817095,MES
IN-20:ERR599164,143,0.07613206297191799,0.0857265699929436,MES
IN-20:SRR3963457,440,0.13658793538044656,2.511221484362133,deep
IN-20:SRR3963458,1327,0.228552971442289,0.4826022751163248,deep
IN-25:ERR598960,393,0.0824061661127314,0.1869455046915798,MES
IN-25:ERR599112,687,0.1066978350822529,0.1567694290035001,MES
IN-29:SRR3963982,2434,0.14003260198546855,0.13801002716114874,deep
IN-32:ERR598960,3083,0.0543540793495179,0.08731466587389736,MES
IN-32:ERR599021,1786,0.0430525449987357,0.06747723620519305,MES
IN-32:ERR599026,1264,0.0389765836764318,0.025511119852436148,DCM
IN-32:ERR599031,2239,0.05398405415640735,0.0945457537916349,MES
IN-32:ERR599062,2989,0.0560545303030874,0.06338455888492586,MES
IN-32:ERR599082,2943,0.05624231246259785,0.0775455451266096,DCM
IN-32:ERR599102,2085,0.0510892838505822,0.1241209582057235,SRF
IN-32:ERR599109,160,0.0244502327112084,0.1175891538681604,MES
IN-32:ERR599164,2762,0.0522014240110463,0.06689617366823195,MES
IN-32:ERR599167,2683,0.047844356411056596,0.0542978825166319,MES
IN-32:SRR3963498,1031,0.1499386413007777,0.19667888114625293,deep
IN-32:SRR3963982,3248,0.21820466134741806,0.24660502009879745,deep
IN-32:SRR3964650,2491,0.10197091576706474,0.1444605633026405,deep
IN-47:ERR599082,1261,0.067655513332743,0.0451739835569983,DCM
IN-47:ERR599110,1353,0.0941832760146884,0.0738412880535792,DCM
IN-5:SRR3963498,143,0.08543584903931944,0.0525301728203312,deep
IN-919:ERR599082,203,0.06912742353286686,0.0,DCM
