bin,SRF_pnps,DCM_pnps,MES_pnps,deep_pnps,SRF_defense_median,DCM_defense_median,MES_defense_median,deep_defense_median,SRF_bin_median,DCM_bin_median,MES_bin_median,deep_bin_median
IN-1311,15,24,0,0,0.06560882633047037,0.07068214197416688,nan,nan,0.9552254889413841,1.0895065920101932,1.4611502643488352,nan
IN-16,30,30,3,0,0.04604427074119778,0.055724257491609835,0.023199087742922644,nan,0.06640158551879033,0.06517874639799072,0.08592415418953088,0.20924188001355212
IN-19,42,40,0,0,0.12636322907750616,0.1123264088255758,nan,nan,1.3407564863620367,1.0888886341733388,1.1911567776419787,3.011547526539352
IN-32,2519,2609,3203,2909,0.03381694750304804,0.04654630859542218,0.04572702828073122,0.1591281463707042,0.04782391413107153,0.04690349121394368,0.047313251417488066,0.14842090468016075
IN-37,65,54,0,0,0.050257426218264865,0.05425681940544981,nan,nan,0.05393266941961751,0.06287487505156196,0.009841778275934684,nan
IN-43,151,136,0,0,0.07948934691735722,0.07385337849336507,nan,nan,0.08547354519144065,0.09239677380024856,0.08551845826931609,0.002422528239623601
IN-918,49,49,0,0,0.09381108511747743,0.09006225124366306,nan,nan,0.06841343582644854,0.06577421574708246,0.02830093962848866,nan
IN-924,1308,1411,0,0,0.07089254783767229,0.06780177231738445,nan,nan,0.07585024676160619,0.07576147305047627,0.1081932886262561,3.4424603633595376
IN-929,24,51,0,0,0.05052636510441119,0.04477122231653821,nan,nan,0.05400770923137807,0.06122321083804005,1.7751258699121384,nan
SP-145,10,20,4,0,0.01876975077939134,0.0672248419750553,0.10205176665589376,nan,0.09308925605980166,0.08297208157589339,0.2304863311170697,nan
SP-173,23,21,0,0,0.08724461010009579,0.04939627840470216,nan,nan,0.0030776363716105625,0.03755276014888189,0.008403629877057775,nan
SP-208,18,18,21,0,0.0987289791412042,0.0798508171897969,0.040033767102885864,nan,0.309778456837274,0.0798508171897969,0.07127206664038076,0.19359963940173847
SP-230,13,19,0,0,0.11698951352782015,0.09772305389721447,nan,nan,0.07258580907259267,0.08155351638082932,0.0028331430463132963,nan
SP-238,8,8,0,0,0.08627146745068702,0.03888325288821518,nan,nan,0.0431775298503716,0.0626928212969373,0.4484024672800909,nan
SP-246,26,23,40,28,0.00496534427959413,0.04625214378549118,0.04459932733422632,0.021989610786855296,0.024316716657404886,0.03368663392994998,0.040230463975354416,0.07156620317368596
SP-2983,28,13,0,0,0.05987036628856759,0.09183727129052427,nan,nan,0.08844305087616315,0.07631268791812189,0.055155028862101926,nan
SP-3021,0,30,176,40,nan,0.07664707909253632,0.06605115249029696,0.20674974328055407,0.11126364734016392,0.04012605079170491,0.053362949852765434,0.06757321204808159
SP-3028,12,9,0,0,0.1499082343776864,0.09877316033462986,nan,nan,0.10098557160575483,0.1003841088928254,0.09496433948148887,nan
SP-3036,19,27,1,0,0.04173521710696982,0.04293019566539578,0.11596269624537275,nan,0.043941252393407126,0.03795783125071605,0.024907497201830726,nan
SP-3040,76,80,35,0,0.09011669130939058,0.10802129436502643,0.09077339510407637,nan,0.06623903862964027,0.07131312378965995,0.04011719269207128,nan
SP-3046,10,25,10,0,0.12642110271304835,0.0996904982581764,0.1108978937853991,nan,0.05299178220681566,0.04072690403222503,0.008989191309790454,nan
SP-3063,15,19,15,0,0.14753962313945046,0.16202772899315745,0.17036341628676502,nan,0.037817660009702304,0.05373627066181497,0.037654467061186005,nan
SP-3074,6,12,4,0,0.04062250994178575,0.06622255714641218,0.0,nan,0.0490643206596188,0.05128181439265174,0.05190773865591623,nan
SP-3094,80,88,90,0,17.65846111680013,13.927601541371708,88.94262896842936,nan,17.65846111680013,13.330644520017092,0.1633652525261831,nan
SP-3098,6,60,0,0,0.035907486207498465,0.09625700872301626,nan,nan,0.04860559404730408,0.08223780235985184,0.08658559776794987,nan
SP-3109,14,6,3,0,0.1334656495843024,0.10277405640354814,0.01303098725611738,nan,0.045727380657516026,0.033614779230725284,0.034386437469183816,nan
SP-346,12,18,10,0,0.017667677284012234,0.03594533149263218,0.016452927881894314,nan,0.028272933802823006,0.032439831811971666,0.03612273203335229,nan
