gene_callers_id,bin,transposase_id,SRF_pnps,DCM_pnps,MES_pnps,deep_pnps,SRF_bin_median,DCM_bin_median,MES_bin_median,deep_bin_median
497,IN-29,B2JBS0_NOSP7/582-968,nan,0.13421874515419602,0.048155003417272,0.1015299350516935,0.7397376680804475,0.13421874515419602,0.0804981647462658,0.14024038328596028
24468,IN-32,Q1IK49_KORVE/209-295,0.38072724331635,0.4131343115324714,0.2830763882761093,0.6243622595867255,0.05136067064371799,0.055930239661608185,0.055160878292601176,0.17454581739010827
79645,IN-32,INSG_ECOLI/124-352,0.039859402136659,0.1150922164858024,0.1023588207794901,0.1450004569974223,0.05136067064371799,0.055930239661608185,0.055160878292601176,0.17454581739010827
94772,IN-32,Q50761_MYCTX/95-294,0.1627770785996123,0.3526154601034211,0.2571180229618262,0.529049422321035,0.05136067064371799,0.055930239661608185,0.055160878292601176,0.17454581739010827
108419,IN-32,G3XCY0_PSEAE/3-78,0.022974537945705045,0.0204824835560456,0.0298691995788012,0.0343969980316378,0.05136067064371799,0.055930239661608185,0.055160878292601176,0.17454581739010827
122701,IN-32,INSG_ECOLI/124-352,0.2892137137083604,0.0958732090697784,0.13438274342018058,0.2169535618613463,0.05136067064371799,0.055930239661608185,0.055160878292601176,0.17454581739010827
20794,IN-928,B9DN17_STACT/102-355,nan,1.002298257278838,0.2472161823012347,1.2120126265024842,0.2199580366225846,0.07601517850399825,0.0578258883159633,0.09524212809202036
714227,SP-350,Q0SKT7_RHOJR/152-391,0.0774941014692832,0.0986469372686756,0.0964211370073974,0.1282912525760364,0.08286408547230975,0.04945620188616738,0.0402367876325961,0.1282912525760364
151852,SP-32,A4VII5_PSEU5/152-391,0.0061376978066425,0.1047745175908226,0.0027187259223679,nan,0.0626427670643276,0.1430964526873376,0.07289580792989765,0.13361862941936356
203133,SP-32,A1TZA9_MARHV/8-432,nan,0.3346974713291732,0.253263224703333,1.973238284445484,0.0626427670643276,0.1430964526873376,0.07289580792989765,0.13361862941936356
477097,SP-32,Q8DX36_STRA5/144-377,nan,0.0874369163900873,0.2243106688061388,0.4019749925175649,0.0626427670643276,0.1430964526873376,0.07289580792989765,0.13361862941936356
164282,SP-288,G4L2U5_TETHN/10-440,nan,0.0740800375627064,0.099066137115519,0.1179971071343546,0.508213572815866,0.085152450118693,0.018333307654154998,0.7713907157721143
619410,SP-133,O69073_PSESG/129-307,0.0,0.0012031668412612,0.0017446795903565,nan,0.0,0.0774482200714734,0.0417445526720231,nan
216264,SP-259,A4XCA6_SALTO/2-164,0.2798218569763009,0.5674262955022888,0.44366120938495396,nan,0.109730106449759,0.0405075243950985,0.1187149684594459,nan
155244,NP-113,A4VUY6_STRSY/7-437,nan,0.07344987306405397,0.08621171995882371,0.13357990327198846,nan,0.14568785139199358,0.10976748481839901,0.13357990327198846
246385,NP-955,Y4ZB_SINFN/82-297,nan,0.16762250370394244,0.1689327120207785,0.1500567755868974,0.04138774607994645,0.1138038397873759,0.1195504475047556,0.07543626672640971
426805,NP-15,B8DUT4_BIFA0/51-125,0.0585977485233734,0.0309465716298813,0.04436578598720025,0.0345107318171274,0.1563163047178863,0.03217444939299275,0.0380698028743512,0.04702380917705457
427140,NP-15,Q981X5_RHILO/224-313,nan,0.08615732180764055,0.02910697925443265,0.0527292336483523,0.1563163047178863,0.03217444939299275,0.0380698028743512,0.04702380917705457
427168,NP-15,A0A0A0QX61_ECOLX/102-345,0.2052722838139612,0.1089083368061756,0.1374742807996488,0.07149824881104405,0.1563163047178863,0.03217444939299275,0.0380698028743512,0.04702380917705457
427169,NP-15,A2QU47_ASPNC/88-330,nan,0.1893451859409859,0.1731505449394004,0.2253653156878947,0.1563163047178863,0.03217444939299275,0.0380698028743512,0.04702380917705457
428049,NP-15,Q1D4X0_MYXXD/158-426,0.084566182910742,0.0499856560006673,0.0418077088196493,0.0783562596917877,0.1563163047178863,0.03217444939299275,0.0380698028743512,0.04702380917705457
429314,NP-15,Q9RBZ6_RALSL/130-308,0.1345890163816112,0.0419270653636571,0.038257306958829895,0.04532066433876715,0.1563163047178863,0.03217444939299275,0.0380698028743512,0.04702380917705457
353754,NP-43,Q5YM75_NOCFA/590-977,0.1184718311647848,0.0969305760161074,0.060564030722797,nan,0.0738853186554331,0.0969889048834812,0.049335492998303726,0.08480498466055625
