bin,sample_id,depth,MAG_pnps_median,total_count,scg_pnps_median,scg_count
NAT-1,ERR598944,MES,0.18112973265006374,17.0,,
NAT-1,ERR598958,MES,0.20430126791184988,91.0,,
NAT-1,ERR598963,SRF,2.3048355565249192,2.0,,
NAT-1,ERR598964,MES,0.16379144343826688,185.0,,
NAT-1,ERR598968,SRF,0.2122942441474675,1.0,,
NAT-1,ERR598976,SRF,0.2426082038906771,1.0,,
NAT-1,ERR598983,SRF,0.20962000233286626,1.0,,
NAT-1,ERR598985,MES,0.08847451096667529,14.0,,
NAT-1,ERR598986,DCM,0.2080049452475893,1.0,,
NAT-1,ERR598996,DCM,0.2490138781849521,1.0,,
NAT-1,ERR599047,MES,0.1753466152823938,155.0,,
NAT-1,ERR599078,SRF,0.20653411312654046,1.0,,
NAT-1,ERR599100,DCM,0.20977599496900629,1.0,,
NAT-1,ERR599123,SRF,1.7607767025238463,2.0,,
NAT-1,ERR599136,SRF,0.1960657498704048,1.0,,
NAT-1,ERR599166,MES,0.16386411519513633,36.0,,
NAT-1,ERR599170,SRF,2.4595838654893956,2.0,,
NAT-10,ERR598944,MES,0.014153193211309811,6.0,,
NAT-10,ERR598955,SRF,0.13073277445498782,1.0,,
NAT-10,ERR598964,MES,0.011738036720440617,6.0,,
NAT-10,ERR598985,MES,0.034673848927454794,5.0,,
NAT-10,ERR598996,DCM,0.054386441996117946,1360.0,0.001005979704595297,12.0
NAT-10,ERR599029,SRF,0.06262016218264797,11.0,0.6032078168437004,1.0
NAT-10,ERR599047,MES,0.025733603959995317,4.0,,
NAT-10,ERR599123,SRF,0.09922950978028244,2.0,,
NAT-10,ERR599136,SRF,0.0,1.0,,
NAT-10,ERR599166,MES,0.04978144874059808,8.0,,
NAT-100,ERR598944,MES,0.1218484294666086,934.0,0.0869780767511593,33.0
NAT-100,ERR598958,MES,0.04384077881332036,63.0,0.0,3.0
NAT-100,ERR598963,SRF,0.030213346653531224,1.0,,
NAT-100,ERR598964,MES,0.1459357734437062,1586.0,0.1075389920580201,48.0
NAT-100,ERR598985,MES,0.11313859287519758,798.0,0.09053214868853818,26.0
NAT-100,ERR599029,SRF,0.13562005621455608,2.0,,
NAT-100,ERR599047,MES,0.09555342266497407,512.0,0.08708227056694495,20.0
NAT-100,ERR599136,SRF,0.0,1.0,,
NAT-100,ERR599166,MES,0.15897062751854912,2006.0,0.1227686029988381,57.0
NAT-101,ERR598944,MES,0.09672475229030228,1247.0,0.09448887711025834,27.0
NAT-101,ERR598958,MES,0.1190042276508381,4.0,,
NAT-101,ERR598964,MES,0.10615577974384646,1595.0,0.11996908835133335,36.0
NAT-101,ERR598983,SRF,0.07411721918468313,1.0,,
NAT-101,ERR598985,MES,0.12554823881169758,1966.0,0.10958536482283282,62.0
NAT-101,ERR598986,DCM,0.06562050590246145,1.0,,
NAT-101,ERR598996,DCM,0.06777571449589558,1.0,,
NAT-101,ERR599047,MES,0.09032269634577086,871.0,0.09670980998473613,20.0
NAT-101,ERR599095,DCM,0.0,1.0,,
NAT-101,ERR599166,MES,0.14166645567587202,1954.0,0.14351868230232284,61.0
NAT-102,ERR598950,DCM,0.05866674262113231,6.0,,
NAT-102,ERR598955,SRF,0.1150700077238796,9.0,,
NAT-102,ERR598963,SRF,0.07373496504678967,13.0,,
NAT-102,ERR598968,SRF,0.06294757758463812,4.0,,
NAT-102,ERR598976,SRF,0.06838206774380484,14.0,,
NAT-102,ERR598983,SRF,0.0011622975155380782,5.0,,
NAT-102,ERR598985,MES,0.0009701597659994108,1.0,,
NAT-102,ERR598986,DCM,0.07479256906112358,23.0,,
NAT-102,ERR598996,DCM,0.07444062132458723,28.0,,
NAT-102,ERR599029,SRF,0.11155949297501308,4.0,,
NAT-102,ERR599078,SRF,0.0707404111890914,49.0,,
NAT-102,ERR599095,DCM,0.1104244859103044,940.0,0.15935880019527912,14.0
NAT-102,ERR599100,DCM,0.13666536938569368,5.0,,
NAT-102,ERR599123,SRF,0.08403136502182974,11.0,,
NAT-102,ERR599136,SRF,0.1771000258902271,8.0,,
NAT-102,ERR599170,SRF,0.06070155130600003,28.0,,
NAT-108,ERR598944,MES,0.04766378206089951,18.0,0.08159547108204655,3.0
NAT-108,ERR598955,SRF,0.1542127222397416,1016.0,0.07327984686251063,15.0
NAT-108,ERR598958,MES,0.004204942025480091,1.0,,
NAT-108,ERR598963,SRF,0.08657279231308918,2.0,,
NAT-108,ERR598964,MES,0.05335436489879963,28.0,0.11127176113471618,4.0
NAT-108,ERR598968,SRF,0.056716701383811796,2.0,,
NAT-108,ERR598985,MES,0.0393655758466963,25.0,0.08031408431623542,3.0
NAT-108,ERR598986,DCM,0.11704257053212533,1.0,,
NAT-108,ERR598996,DCM,0.0805454091383529,2.0,,
NAT-108,ERR599029,SRF,0.05123014898830463,444.0,0.0,7.0
NAT-108,ERR599047,MES,0.046037621918046924,19.0,0.08056863207413527,1.0
NAT-108,ERR599095,DCM,0.17308509786192247,2.0,,
NAT-108,ERR599100,DCM,0.15382991513194172,1.0,,
NAT-108,ERR599123,SRF,0.03676599992126251,2.0,,
NAT-108,ERR599136,SRF,0.07416839122811553,2.0,,
NAT-108,ERR599166,MES,0.06429450996342735,31.0,0.0992795768053002,2.0
NAT-108,ERR599170,SRF,0.1259593573123131,2.0,,
NAT-109,ERR598955,SRF,0.0926023996451407,611.0,0.0523818527342288,11.0
NAT-109,ERR598963,SRF,0.08367556363391526,2.0,,
NAT-109,ERR598964,MES,0.0,2.0,,
NAT-109,ERR598968,SRF,0.028157710386307395,3.0,,
NAT-109,ERR598976,SRF,0.18146284322691186,6.0,,
NAT-109,ERR598983,SRF,0.028428359657004205,1.0,,
NAT-109,ERR598986,DCM,0.09314759013877498,5.0,,
NAT-109,ERR598996,DCM,0.02325308643901674,4.0,,
NAT-109,ERR599029,SRF,0.0754625505958759,79.0,0.0016092747314004224,2.0
NAT-109,ERR599078,SRF,0.07292665065291573,2.0,,
NAT-109,ERR599095,DCM,0.00207238777017506,3.0,,
NAT-109,ERR599100,DCM,0.03990826697864752,3.0,,
NAT-109,ERR599123,SRF,0.08436297837086211,15.0,,
NAT-109,ERR599136,SRF,0.06348734554324999,2.0,,
NAT-109,ERR599166,MES,0.08703991736634392,2.0,,
NAT-109,ERR599170,SRF,0.08038212204283494,2.0,,
NAT-11,ERR598944,MES,0.08793980477533686,2.0,,
NAT-11,ERR598950,DCM,0.027660072578349553,4.0,,
NAT-11,ERR598955,SRF,0.016353861380351817,5.0,,
NAT-11,ERR598958,MES,0.07348829750683857,4.0,,
NAT-11,ERR598963,SRF,0.08315701134077759,105.0,0.11066701585615016,1.0
NAT-11,ERR598964,MES,0.11227380315672868,2.0,,
NAT-11,ERR598968,SRF,0.07333389819959896,30.0,0.11325495531533425,1.0
NAT-11,ERR598976,SRF,0.07487189164322625,155.0,0.05992908022064996,2.0
NAT-11,ERR598983,SRF,0.07915055481032003,2.0,,
