bin,sample_id,depth,MAG_pnps_median,total_count,scg_pnps_median,scg_count,transposase_pnps_median,transposase_count
deep-0011,SRR3960572,deep,0.18353226507331832,5.0,,,0.04494830001206622,1.0
deep-0011,SRR3960576,deep,0.13395699786335755,5.0,,,0.13979282718269298,2.0
deep-0011,SRR3960580,deep,0.2009552282920132,8.0,,,0.20210939287239646,3.0
deep-0011,SRR3960581,deep,0.1890612929408871,1.0,,,,
deep-0011,SRR3962508,deep,0.6761714859535757,1.0,,,,
deep-0011,SRR3962771,deep,0.14906405632835273,1.0,,,,
deep-0011,SRR3963498,deep,0.2418148108488587,2.0,,,0.13717502706185572,1.0
deep-0011,SRR3963571,deep,0.28117647249970323,6.0,,,0.27427332903823337,3.0
deep-0011,SRR3963599,deep,0.3661256288831338,1.0,,,,
deep-0011,SRR3963658,deep,0.10517597172311052,1.0,,,0.10517597172311052,1.0
deep-0011,SRR3964650,deep,0.18479292385478333,2.0,,,0.3405459044977546,1.0
deep-0011,SRR3965585,deep,0.4014014911372517,7.0,,,0.4014014911372517,3.0
deep-0011,SRR3965875,deep,0.39585083184061787,3.0,,,0.1962893676596033,1.0
deep-0011,SRR3967025,deep,0.0901147373788889,3.0,,,0.0901147373788889,1.0
deep-0011,SRR3967558,deep,0.18773182536206728,6.0,,,0.17549411763568434,2.0
deep-0011,SRR3967699,deep,0.1387828803405414,5.0,,,0.10788623578204737,2.0
deep-0011,SRR3968060,deep,0.12346090291514887,1.0,,,,
deep-0011,SRR3968770,deep,0.16477442971847195,5.0,,,0.1274397764715024,2.0
deep-0013,SRR3963804,deep,0.054439029345229074,1.0,,,,
deep-0018,SRR3960575,deep,0.25305677899422735,28.0,,,0.18735991845780894,1.0
deep-0018,SRR3960576,deep,0.31230587931767617,4.0,,,,
deep-0018,SRR3960577,deep,0.3149052637873081,15.0,,,0.23868853314818356,1.0
deep-0018,SRR3960580,deep,0.19923645215900773,2.0,,,,
deep-0018,SRR3961906,deep,0.29067291343040136,5.0,,,0.10580538241706357,1.0
deep-0018,SRR3961935,deep,0.2872610447569534,10.0,,,0.08454106639091312,1.0
deep-0018,SRR3962293,deep,0.3679689381162724,3.0,,,0.1396414951219182,1.0
deep-0018,SRR3962773,deep,0.24783331498745248,4.0,,,0.11051306350847802,1.0
deep-0018,SRR3963449,deep,0.6110434004311442,2.0,,,,
deep-0018,SRR3963457,deep,0.30028259184774486,6.0,,,0.10101752072468834,1.0
deep-0018,SRR3963622,deep,0.3105723655445693,7.0,,,0.11860137411253376,1.0
deep-0018,SRR3963982,deep,0.6565856777493623,1.0,,,,
deep-0018,SRR3965592,deep,0.20002776014211368,12.0,,,0.1808297009568187,1.0
deep-0018,SRR3965758,deep,0.3243525518086989,3.0,,,,
deep-0018,SRR3965873,deep,0.3215141751575167,1.0,,,,
deep-0018,SRR3965874,deep,0.274097206575394,3.0,,,,
deep-0018,SRR3966130,deep,0.24579669845720314,5.0,,,0.0846463943785153,1.0
deep-0018,SRR3967319,deep,0.23500693374422266,19.0,,,0.13925092288082358,1.0
deep-0018,SRR3967558,deep,0.2869270837625596,2.0,,,,
deep-0018,SRR3967690,deep,0.22767137674407673,12.0,,,0.14514110451295095,1.0
deep-0018,SRR3967700,deep,0.2806615038092716,1.0,,,,
deep-0018,SRR3968062,deep,0.2628212607086908,3.0,,,,
deep-0018,SRR3968063,deep,0.320069595139148,2.0,,,,
deep-0018,SRR3968777,deep,0.25624576358105383,15.0,,,0.17772576226985998,1.0
deep-0019,SRR3960575,deep,0.10484824228249616,441.0,0.10517732312524265,30.0,,
deep-0019,SRR3960578,deep,0.10013112303307413,349.0,0.09336072528184017,28.0,,
deep-0019,SRR3960579,deep,0.06103309062967412,4.0,,,,
deep-0019,SRR3960580,deep,0.10705972604298129,118.0,0.07435322179511179,8.0,,
deep-0019,SRR3960581,deep,0.7661944859379137,3.0,,,,
deep-0019,SRR3961047,deep,0.09836505989689744,122.0,0.06746266116838234,10.0,,
deep-0019,SRR3961906,deep,0.08783040611964618,183.0,0.10552639570336783,17.0,,
deep-0019,SRR3961935,deep,0.11244450767928338,25.0,,,,
deep-0019,SRR3961936,deep,0.10743016423425784,1.0,,,,
deep-0019,SRR3962293,deep,0.08957198771703578,350.0,0.10302484119514059,22.0,,
deep-0019,SRR3962680,deep,0.23148898831625564,2.0,,,,
deep-0019,SRR3962771,deep,0.1719308222086971,9.0,0.038268573046939744,1.0,,
deep-0019,SRR3962773,deep,0.09210845807156595,336.0,0.05857769841236122,24.0,,
deep-0019,SRR3963449,deep,0.06572946292601493,38.0,0.09116865624144246,3.0,,
deep-0019,SRR3963457,deep,0.09830077119155764,85.0,0.07813502495637625,7.0,,
deep-0019,SRR3963458,deep,0.09819833048508787,141.0,0.07754699187279548,10.0,,
deep-0019,SRR3963571,deep,0.5996994106895521,2.0,,,,
deep-0019,SRR3963622,deep,0.17305184371609442,2.0,,,,
deep-0019,SRR3963658,deep,0.16652070135817393,1.0,,,,
deep-0019,SRR3964650,deep,0.6864967863237549,3.0,,,,
deep-0019,SRR3965585,deep,0.3074325213483653,4.0,,,,
deep-0019,SRR3965586,deep,0.08398422100154966,81.0,0.07745548940694372,6.0,,
deep-0019,SRR3965592,deep,0.06536358862223353,11.0,,,,
deep-0019,SRR3965758,deep,0.09043805637906316,53.0,0.16735360744970754,3.0,,
deep-0019,SRR3965873,deep,0.06996225185121258,34.0,0.037605797584019184,3.0,,
deep-0019,SRR3965874,deep,0.7249593972801796,2.0,,,,
deep-0019,SRR3966130,deep,0.11377136885539743,12.0,,,,
deep-0019,SRR3967025,deep,0.2330926878342097,1.0,,,,
deep-0019,SRR3967319,deep,0.08992322170997903,11.0,,,,
deep-0019,SRR3967558,deep,0.08602789776874271,2.0,,,,
deep-0021,SRR3960577,deep,0.15268078347064762,3.0,,,0.15268078347064762,1.0
deep-0021,SRR3960578,deep,0.4770462830698776,3.0,,,0.06884071855617223,1.0
deep-0021,SRR3963458,deep,0.1680622061625784,1.0,,,,
deep-0021,SRR3963982,deep,1.0208186676776814,1.0,,,,
deep-0027,SRR3963622,deep,0.0764750654953883,1.0,,,,
deep-0027,SRR3963982,deep,0.07574149217691267,1.0,,,,
deep-0028,SRR3960577,deep,0.04245504577398549,2.0,,,,
deep-0028,SRR3960578,deep,0.1146612377857942,4.0,,,,
deep-0028,SRR3962293,deep,0.03732729903775407,2.0,,,0.03732729903775407,2.0
deep-0028,SRR3963457,deep,1.0285552624304577,1416.0,0.6726249549272715,18.0,1.0862526636558816,9.0
deep-0028,SRR3963458,deep,0.5042737009005486,1.0,,,0.5042737009005486,1.0
