bin,sample_id,MAG_pnps_median,total_count,scg_pnps_median,scg_count
IN-1,ERR598960,0.08348446170633217,2.0,,
IN-1,ERR599026,0.0,1.0,,
IN-1,ERR599028,0.0022067897415319337,3.0,,
IN-1,ERR599031,0.005595441373909722,1.0,,
IN-1,ERR599062,0.00970148929532125,3.0,,
IN-1,ERR599082,0.3007453679037975,10.0,,
IN-1,ERR599109,0.0008415492225793213,1.0,,
IN-1,ERR599110,0.10268251606411782,2.0,,
IN-1,ERR599112,0.05340518443929827,14.0,,
IN-1,ERR599143,0.0,1.0,,
IN-1,ERR599164,0.0,1.0,,
IN-1,ERR599167,0.08641530457449186,2.0,,
IN-10,ERR599110,1.0511342361457714,1.0,,
IN-10,ERR599112,0.0016067921009787136,1.0,,
IN-1077,ERR598949,0.9379806590586162,1.0,,
IN-1077,ERR598960,1.5761551735645545,1.0,,
IN-1077,ERR598970,0.975402110572935,1.0,,
IN-1077,ERR598972,0.9629441858551611,2.0,,
IN-1077,ERR598979,1.4966609672328826,1.0,,
IN-1077,ERR598990,0.08368508729696789,16.0,0.1574511340141699,1.0
IN-1077,ERR599018,0.9139179447518528,1.0,,
IN-1077,ERR599021,0.9847164329922926,1.0,,
IN-1077,ERR599023,0.14752524867919042,11.0,,
IN-1077,ERR599025,1.0312044086968948,1.0,,
IN-1077,ERR599026,0.7321313063182323,2.0,,
IN-1077,ERR599028,1.3460893918351344,1.0,,
IN-1077,ERR599057,1.3474497321850931,1.0,,
IN-1077,ERR599082,0.07831257278985368,1601.0,0.01642078132386356,37.0
IN-1077,ERR599088,0.7808913308913288,1.0,,
IN-1077,ERR599102,1.0330248593721618,1.0,,
IN-1077,ERR599110,0.09305277672636711,1130.0,0.041130347533423775,28.0
IN-1077,ERR599112,1.5048376018934695,1.0,,
IN-1077,ERR599143,1.218656801165158,1.0,,
IN-1077,ERR599146,0.09948537969752057,3.0,,
IN-1077,ERR599150,0.10973152163227888,7.0,,
IN-1077,ERR599164,1.474125969545796,1.0,,
IN-11,ERR598949,0.06663918276899611,17.0,,
IN-11,ERR598960,0.08574147047541818,6.0,,
IN-11,ERR598966,0.07794196474093196,20.0,,
IN-11,ERR598970,0.04490738218725261,1.0,,
IN-11,ERR598972,0.19215440850002352,1.0,,
IN-11,ERR598974,0.15962169249633273,8.0,,
IN-11,ERR599023,0.060653324935330315,5.0,,
IN-11,ERR599026,0.07904442135020337,45.0,,
IN-11,ERR599028,0.07500384354637263,108.0,,
IN-11,ERR599057,0.08000326302820279,33.0,,
IN-11,ERR599062,0.058292511670131074,2.0,,
IN-11,ERR599082,0.08294421527162953,177.0,,
IN-11,ERR599088,0.04086999537625605,1.0,,
IN-11,ERR599102,0.07184113661127702,78.0,,
IN-11,ERR599110,0.056030137594836146,2.0,,
IN-11,ERR599112,0.09501462047858128,173.0,0.11389971907963001,4.0
IN-11,ERR599143,0.07511610830230586,64.0,,
IN-11,ERR599146,0.05810912220611702,2.0,,
IN-11,ERR599150,0.08699103693628486,24.0,,
IN-11,ERR599158,0.07236284453384158,20.0,,
IN-12,ERR598960,0.1421845691359344,1.0,,
IN-12,ERR598972,0.15152155429446934,1.0,,
IN-12,ERR599021,0.1364313076137249,1.0,,
IN-12,ERR599023,0.12681552723906828,2.0,,
IN-12,ERR599025,0.1197317056140427,1.0,,
IN-12,ERR599026,0.1317862987451257,3.0,,
IN-12,ERR599031,0.09941417167305612,1.0,,
IN-12,ERR599034,0.06717480446503231,1.0,,
IN-12,ERR599057,0.054958880122658114,1.0,,
IN-12,ERR599062,0.17952462765556626,2.0,,
IN-12,ERR599082,0.09548873611671763,2.0,,
IN-12,ERR599102,0.03769834791691006,2.0,,
IN-12,ERR599110,0.09824089984632432,1.0,,
IN-12,ERR599112,0.13649801066037814,3.0,,
IN-12,ERR599150,0.12475320829220285,2.0,,
IN-12,ERR599164,0.16330118378137504,1.0,,
IN-12,ERR599167,0.15909615647957082,1.0,,
IN-1213,ERR598960,0.0011910330255937745,1.0,,
IN-1213,ERR598966,0.10313139676915599,3.0,,
IN-1213,ERR598974,0.027811800533471785,1.0,,
IN-1213,ERR599023,0.05428133440397182,5.0,,
IN-1213,ERR599026,0.04953076623107044,12.0,,
IN-1213,ERR599028,0.07014961341449989,25.0,,
IN-1213,ERR599057,0.037532380481233314,15.0,,
IN-1213,ERR599082,0.05203318266220135,3.0,,
IN-1213,ERR599102,0.08685767710950645,3.0,,
IN-1213,ERR599110,0.00369751321847605,3.0,,
IN-1213,ERR599143,0.04285566111628858,13.0,,
IN-1213,ERR599150,0.13274383153436267,1.0,,
IN-1213,ERR599158,0.1649121762223078,1.0,,
IN-13,ERR599023,0.0,1.0,,
IN-13,ERR599026,0.07185002184389995,12.0,,
IN-13,ERR599057,0.06396094499277455,10.0,,
IN-13,ERR599082,0.012128492017917865,2.0,,
IN-13,ERR599088,0.3312768986564944,1.0,,
IN-13,ERR599112,0.005479727241607614,5.0,,
IN-13,ERR599150,0.04738685405365201,3.0,,
IN-1311,ERR598949,1.0895065920101932,1.0,,
IN-1311,ERR598960,1.8206028138152075,1.0,,
IN-1311,ERR598966,0.479144603891473,2.0,,
IN-1311,ERR598970,0.3415095730823093,3.0,,
IN-1311,ERR598972,0.2181831460941769,4.0,,
IN-1311,ERR598974,0.3493069126361427,2.0,,
IN-1311,ERR598979,1.205759824701814,1.0,,
IN-1311,ERR598990,0.055024590900237424,9.0,0.019387506902858145,2.0
IN-1311,ERR599018,1.5688220419506465,1.0,,
IN-1311,ERR599021,1.3135972889992742,1.0,,
IN-1311,ERR599023,0.036430038723392906,25.0,0.00961817895612333,7.0
IN-1311,ERR599025,0.25108533759247376,4.0,,
IN-1311,ERR599026,0.09511844984837924,57.0,0.022721522074978708,10.0
IN-1311,ERR599028,0.09470073614254629,40.0,,
IN-1311,ERR599034,1.0797069432716293,1.0,,
IN-1311,ERR599057,0.0694216206272802,59.0,0.036914623780283165,10.0
IN-1311,ERR599062,2.271002843121794,2.0,,
IN-1311,ERR599082,0.059700845779459125,22.0,0.022573175453781676,4.0
IN-1311,ERR599088,0.17774116412883623,2.0,,
IN-1311,ERR599102,0.06699472468326932,21.0,,
IN-1311,ERR599110,0.13336538017069793,34.0,0.023944111682432136,6.0
IN-1311,ERR599112,1.4611502643488352,1.0,,
IN-1311,ERR599143,0.06969001254652632,17.0,,
IN-1311,ERR599146,0.10074862940953208,15.0,0.012858098991553364,2.0
IN-1311,ERR599150,0.09443260421036324,31.0,0.010931099086645966,6.0
IN-1311,ERR599158,0.03954700032522043,5.0,,
IN-1311,ERR599164,1.6039905766448197,1.0,,
IN-14,ERR598949,0.02949342697323154,8.0,,
IN-14,ERR598960,0.0547462429139548,6.0,,
IN-14,ERR598966,0.0536958375774413,9.0,,
IN-14,ERR598974,0.027398158036623654,4.0,,
IN-14,ERR599023,0.029726145532587706,6.0,,
IN-14,ERR599026,0.11822093200912273,13.0,,
IN-14,ERR599028,0.08669405443318651,77.0,,
IN-14,ERR599034,0.11390898123852106,1.0,,
IN-14,ERR599057,0.14305835704386544,7.0,,
IN-14,ERR599062,0.030863228457085487,8.0,,
IN-14,ERR599082,0.07269828691090283,121.0,,
IN-14,ERR599102,0.05850034352864363,42.0,,
IN-14,ERR599110,0.11329767823300002,2.0,,
IN-14,ERR599112,0.06982986001715397,46.0,0.050558407724637607,2.0
IN-14,ERR599143,0.08373458242318663,38.0,,
IN-14,ERR599150,0.03571985715074963,6.0,,
IN-14,ERR599158,0.03378052477480392,8.0,,
IN-14,ERR599164,0.02424492067105329,1.0,,
IN-14,ERR599167,0.04352621924502822,3.0,,
IN-15,ERR598949,0.45570002284380706,2.0,,
IN-15,ERR598960,0.2789099919682411,3.0,,
IN-15,ERR598966,0.4632261280900116,2.0,,
IN-15,ERR598970,0.2118249553205355,2.0,,
IN-15,ERR598972,0.4386379245761178,1.0,,
IN-15,ERR598974,0.12545155705129196,2.0,,
IN-15,ERR598979,0.302349366935358,2.0,,
IN-15,ERR598990,0.7340756822994922,1.0,,
IN-15,ERR599021,0.2442710220557611,1.0,,
IN-15,ERR599023,0.367599378775446,5.0,,
IN-15,ERR599025,0.44216779767211656,1.0,,
IN-15,ERR599026,0.15599152850161396,22.0,0.07067807462082512,1.0
IN-15,ERR599028,0.21693355873477274,4.0,,
IN-15,ERR599031,0.13167284909502394,1.0,,
IN-15,ERR599034,0.2459136944749113,2.0,,
IN-15,ERR599057,0.39046743584346016,1.0,,
IN-15,ERR599062,0.17934701255284805,2.0,,
IN-15,ERR599082,0.09100126024762224,6.0,,
IN-15,ERR599088,0.1604392308480925,1.0,,
IN-15,ERR599102,0.15005646543984946,4.0,,
IN-15,ERR599109,0.43029599819239855,2.0,,
IN-15,ERR599110,0.3912461302038234,1.0,,
IN-15,ERR599112,0.08126532017189407,6.0,,
IN-15,ERR599143,0.11905601178566172,4.0,,
IN-15,ERR599146,0.3828562880716528,1.0,,
IN-15,ERR599150,0.3685173061647167,3.0,,
IN-15,ERR599158,0.3032085506132867,2.0,,
IN-15,ERR599164,0.23042260237274975,1.0,,
IN-15,ERR599167,0.08949359896579116,1.0,,
IN-16,ERR598949,0.06517874639799072,21.0,,
IN-16,ERR598960,0.0928722879388186,55.0,0.05222016553287543,2.0
IN-16,ERR598966,0.054436290336794466,31.0,,
IN-16,ERR598974,0.058884486971716,25.0,,
IN-16,ERR599021,0.10769955379582884,9.0,,
IN-16,ERR599023,0.09645436939626154,4.0,,
IN-16,ERR599026,0.08581248149469221,15.0,,
IN-16,ERR599028,0.07200565061569825,39.0,0.4722978029094757,1.0
IN-16,ERR599034,0.07102911834948294,8.0,,
IN-16,ERR599057,0.06551899256452627,15.0,,
IN-16,ERR599062,0.09605936191311651,16.0,,
IN-16,ERR599082,0.06446877059455895,31.0,,
IN-16,ERR599102,0.07563718407041532,35.0,,
IN-16,ERR599109,0.012937646648316226,1.0,,
IN-16,ERR599110,0.063651784391444,14.0,,
IN-16,ERR599112,0.10001015818515502,152.0,0.11604579725949116,3.0
IN-16,ERR599143,0.07250262864660265,34.0,,
IN-16,ERR599146,0.0781874653086715,5.0,,
IN-16,ERR599150,0.06974946260980652,8.0,,
IN-16,ERR599158,0.06187569752128134,31.0,,
IN-16,ERR599164,0.1021683969435099,20.0,,
IN-16,ERR599167,0.033280836845599696,7.0,,
IN-17,ERR598960,0.04753793458487189,21.0,0.31683032322703375,2.0
IN-17,ERR599026,0.0047181353605578605,1.0,,
IN-17,ERR599028,0.00751902655873345,3.0,,
IN-17,ERR599057,0.03662594161204538,1.0,,
IN-17,ERR599082,0.0023656343458711283,2.0,,
IN-17,ERR599102,0.0,1.0,,
IN-17,ERR599110,0.006763645274306632,2.0,,
IN-17,ERR599112,0.049901894608016154,66.0,0.0074888777623100325,11.0
IN-17,ERR599150,0.08327330427594884,2.0,0.12810866297488596,1.0
IN-17,ERR599164,0.0,3.0,,
IN-18,ERR598960,0.11764958533732303,2.0,,
IN-18,ERR599026,0.04569817764956389,1.0,,
IN-18,ERR599028,0.01905256208307056,4.0,,
IN-18,ERR599031,0.07334390987453104,1.0,,
IN-18,ERR599062,0.0598042327889234,6.0,,
IN-18,ERR599082,0.07974775804936432,1.0,,
IN-18,ERR599102,0.08091443968816,3.0,,
IN-18,ERR599109,0.029883962728587926,1.0,,
IN-18,ERR599112,0.08020005659058427,8.0,,
IN-18,ERR599143,0.16333540081770764,1.0,,
IN-18,ERR599158,0.0,1.0,,
IN-18,ERR599164,0.006820433869362656,1.0,,
IN-18,ERR599167,0.008375889404072672,3.0,,
IN-19,ERR598949,0.14447325556024773,5.0,,
IN-19,ERR598960,0.8537041064024139,2.0,,
IN-19,ERR598966,0.11412835363305546,10.0,,
IN-19,ERR598970,1.2589049394585343,1.0,,
IN-19,ERR598972,0.7886469127240892,2.0,,
IN-19,ERR598974,0.09510946723557309,8.0,,
IN-19,ERR598979,0.0578572683574117,4.0,,
IN-19,ERR598990,0.11163483647053983,5.0,,
IN-19,ERR599018,1.0888886341733388,1.0,,
IN-19,ERR599021,1.0222400997063017,1.0,,
IN-19,ERR599023,0.8218744510390398,2.0,,
IN-19,ERR599025,0.7150210240972628,2.0,,
IN-19,ERR599026,0.10748906397599807,33.0,,
IN-19,ERR599028,0.08001588894012095,39.0,,
IN-19,ERR599034,1.1911567776419787,1.0,,
IN-19,ERR599057,0.06853937090859873,37.0,,
IN-19,ERR599062,2.99950168767183,1.0,,
IN-19,ERR599082,0.10442060504313236,31.0,,
IN-19,ERR599088,1.4708644072198471,1.0,,
IN-19,ERR599102,0.10083921299887344,24.0,,
IN-19,ERR599110,0.08640066486772191,16.0,,
IN-19,ERR599112,0.1027643472943372,10.0,,
IN-19,ERR599143,0.0637371856917971,28.0,,
IN-19,ERR599146,0.09871373769646721,10.0,,
IN-19,ERR599150,0.07258880201572769,27.0,,
IN-19,ERR599158,0.08455483272576561,14.0,,
IN-19,ERR599164,0.596752444380594,2.0,,
IN-2,ERR598949,0.035720385074380634,16.0,,
IN-2,ERR598966,0.01736287024471319,1.0,,
IN-2,ERR599026,0.05116491370713484,2.0,,
IN-2,ERR599028,0.07577323924584635,35.0,,
IN-2,ERR599082,0.08983752473640802,56.0,,
IN-2,ERR599102,0.07392760040348002,27.0,,
IN-2,ERR599112,0.050216325611433243,2.0,,
IN-2,ERR599143,0.05641558514243035,20.0,,
IN-2,ERR599158,0.03318690161056649,4.0,,
IN-20,ERR598949,0.06178442158989415,7.0,,
IN-20,ERR598960,0.06634288132190853,1918.0,0.07070768261191065,63.0
IN-20,ERR598966,0.062243734603883466,8.0,,
IN-20,ERR598974,0.028137537630531288,7.0,,
IN-20,ERR598979,0.055897582385240605,10.0,,
IN-20,ERR598990,0.05758549789031366,7.0,,
IN-20,ERR599018,0.1623788454847898,1.0,,
IN-20,ERR599021,0.07173957261656734,47.0,0.016286953830329836,3.0
IN-20,ERR599023,0.0500354021038932,2.0,,
IN-20,ERR599026,0.027732729032551914,2.0,,
IN-20,ERR599028,0.05430633416381278,9.0,,
IN-20,ERR599031,0.0,1.0,,
IN-20,ERR599034,0.0659627388624485,80.0,0.037414041597450265,3.0
IN-20,ERR599057,0.003269336451168861,1.0,,
IN-20,ERR599062,0.05555257633892853,118.0,0.010160985519380026,6.0
IN-20,ERR599082,0.052476786112900166,11.0,,
IN-20,ERR599102,0.06123630485871347,10.0,,
IN-20,ERR599110,0.06804656639935308,90.0,0.03843207743511244,6.0
IN-20,ERR599112,0.089762574911968,2468.0,0.08093868634139095,66.0
IN-20,ERR599143,0.07668236245226179,9.0,,
IN-20,ERR599146,0.05483274767951373,11.0,,
IN-20,ERR599150,0.04503640720470431,3.0,,
IN-20,ERR599158,0.032137540032015015,7.0,,
IN-20,ERR599164,0.07654334683010601,143.0,0.03893553068793672,6.0
