bin,sample_id,depth,MAG_pnps_median,total_count,scg_pnps_median,scg_count,transposase_pnps_median,transposase_count
EAC-1,ERR594361,SRF,0.0326247759098481,1.0,,,,
EAC-1,ERR594362,SRF,0.01342411289984289,6.0,,,,
EAC-1,ERR594382,DCM,0.058367079744521044,34.0,,,,
EAC-1,ERR594389,DCM,0.006870271538767475,6.0,,,,
EAC-1,ERR594392,SRF,0.055522647488278794,28.0,,,,
EAC-1,ERR594414,DCM,0.04005477334133796,28.0,,,,
EAC-1,ERR598972,DCM,0.30367105392463595,1.0,,,,
EAC-1,ERR598979,SRF,0.18885307719303315,1.0,,,,
EAC-1,ERR598990,DCM,0.16303349839329945,1.0,,,,
EAC-1,ERR599012,SRF,0.18975184295204492,1.0,,,,
EAC-1,ERR599023,DCM,0.2558268452577923,1.0,,,,
EAC-1,ERR599025,DCM,0.33311573920916365,1.0,,,,
EAC-1,ERR599026,DCM,0.11735352831549398,1.0,,,,
EAC-1,ERR599057,SRF,0.20514548357438786,1.0,,,,
EAC-1,ERR599058,SRF,0.2288170968924001,1.0,,,,
EAC-1,ERR599110,DCM,0.12585857519569632,32.0,,,,
EAC-1,ERR599146,SRF,0.11583972423289357,1.0,,,,
EAC-1,ERR599150,SRF,0.2136541071082617,1.0,,,,
EAC-1,ERR599173,SRF,0.2797612775655036,1.0,,,,
EAC-1,ERR599339,SRF,0.052962353786965816,1992.0,0.013485037944998064,31.0,,
EAC-1,ERR599376,SRF,0.3007561248796011,3.0,,,,
EAC-10,ERR594324,DCM,0.028903792194541256,1.0,,,,
EAC-10,ERR598970,SRF,0.05374532108691801,767.0,0.04205265316872056,27.0,,
EAC-10,ERR598972,DCM,0.01343624810502617,113.0,0.03690790344745636,5.0,,
EAC-10,ERR598973,SRF,0.21549961124931,1.0,,,,
EAC-10,ERR598979,SRF,0.06329176008091247,1025.0,0.04573418619943402,43.0,,
EAC-10,ERR598982,DCM,0.8441450133109919,2.0,,,,
EAC-10,ERR598990,DCM,0.059161227060142776,926.0,0.053183426578396066,43.0,,
EAC-10,ERR599012,SRF,0.058992952812819036,777.0,0.04163971194502186,29.0,,
EAC-10,ERR599018,DCM,0.05007062326084988,29.0,0.030122717431267505,2.0,,
EAC-10,ERR599023,DCM,0.044551812169914336,934.0,0.033967723619426224,50.0,,
EAC-10,ERR599025,DCM,0.013661894854644746,96.0,0.0,6.0,,
EAC-10,ERR599026,DCM,0.06542869000979444,985.0,0.05815985877200181,37.0,,
EAC-10,ERR599057,SRF,0.06383862584322994,369.0,0.05447326532448195,9.0,,
EAC-10,ERR599058,SRF,0.06716302597744662,1137.0,0.04752573002943762,51.0,,
EAC-10,ERR599068,SRF,0.9288173058272093,2.0,,,,
EAC-10,ERR599088,SRF,0.06063375436541145,752.0,0.04913429042372654,32.0,,
EAC-10,ERR599107,DCM,0.21832360375686666,3.0,,,,
EAC-10,ERR599110,DCM,0.0764546112941854,1291.0,0.06827971257905699,62.0,,
EAC-10,ERR599146,SRF,0.06415533160914394,1286.0,0.04451436663864117,61.0,,
EAC-10,ERR599150,SRF,0.06328274575680391,1330.0,0.0469015464189155,64.0,,
EAC-10,ERR599173,SRF,0.15266919666447287,8.0,,,,
EAC-102,ERR594291,DCM,0.10807468937860021,32.0,,,,
EAC-102,ERR594320,SRF,0.10054600039071954,28.0,,,,
EAC-102,ERR594324,DCM,0.09459584940659053,28.0,,,,
EAC-102,ERR594359,SRF,0.06621732644867712,706.0,0.05919516558515722,13.0,0.04660379830122649,6.0
EAC-102,ERR594361,SRF,0.06799630225889303,719.0,0.026041617024689285,14.0,0.033511053057513326,6.0
