gene_ID,taxon
11155,arch
18905,arch
19217,arch
36092,arch
39051,arch
54241,arch
55870,arch
58551,arch
75514,arch
77330,arch
78463,arch
79981,arch
90537,arch
95443,arch
102143,arch
107524,arch
123633,arch
130714,arch
133621,arch
139216,arch
140666,arch
148601,arch
158500,arch
161098,arch
161337,arch
170360,arch
178495,arch
184386,arch
187790,arch
193345,arch
194264,arch
194990,arch
198416,arch
200718,arch
207068,arch
210338,arch
234035,arch
238555,arch
245527,arch
255735,arch
255767,arch
256773,arch
266219,arch
272370,arch
278249,arch
280132,arch
291010,arch
293264,arch
299149,arch
299418,arch
310837,arch
312127,arch
336953,arch
377811,arch
384991,arch
405201,arch
405330,arch
406963,arch
428266,arch
449618,arch
454572,arch
462319,arch
462474,arch
467664,arch
473927,arch
489409,arch
493815,arch
515250,arch
517290,arch
526759,arch
535072,arch
535210,arch
535334,arch
535830,arch
544237,arch
555083,arch
561389,arch
563544,arch
564317,arch
573520,arch
574020,arch
574068,arch
576175,arch
578880,arch
579953,arch
587053,arch
605128,arch
605569,arch
617887,arch
627163,arch
635232,arch
642519,arch
647754,arch
647799,arch
654821,arch
656158,arch
659778,arch
672115,arch
699160,arch
707710,arch
719234,arch
722133,arch
724087,arch
737944,arch
743875,arch
744983,arch
747095,arch
752312,arch
765149,arch
770320,arch
774427,arch
775641,arch
777847,arch
781652,arch
781789,arch
789419,arch
802349,arch
819505,arch
823639,arch
827749,arch
840315,arch
841887,arch
845467,arch
849342,arch
850316,arch
852308,arch
860926,arch
869271,arch
875351,arch
876064,arch
876380,arch
888758,arch
891700,arch
907307,arch
916079,arch
927671,arch
932912,arch
950839,arch
969126,arch
980866,arch
988261,arch
990136,arch
991479,arch
991755,arch
996140,arch
998084,arch
1002097,arch
1002584,arch
1007115,arch
1015159,arch
1016685,arch
1018089,arch
1022052,arch
1023423,arch
1029980,arch
1032762,arch
1038279,arch
1044614,arch
1051818,arch
1052855,arch
1059843,arch
1060942,arch
1075531,arch
1078043,arch
1102233,arch
1103087,arch
1104348,arch
1104396,arch
1106602,arch
1118109,arch
1122719,arch
1123824,arch
1127177,arch
1129287,arch
1129534,arch
1137564,arch
1147127,arch
1147701,arch
1151628,arch
1173707,arch
1176927,arch
1178195,arch
1178615,arch
1184284,arch
1190445,arch
1205859,arch
1217433,arch
1226039,arch
1233332,arch
1237481,arch
1239377,arch
1247087,arch
1260349,arch
1261291,arch
1262780,arch
1263286,arch
1267175,arch
1270964,arch
1273874,arch
1279597,arch
1315024,arch
1326390,arch
1329310,arch
1337132,arch
1345810,arch
1346018,arch
1346735,arch
1362794,arch
1369169,arch
1379362,arch
1379771,arch
1384817,arch
1386097,arch
1395548,arch
1400300,arch
1419386,arch
1425943,arch
1432705,arch
1438357,arch
1440743,arch
1450249,arch
1455481,arch
1473845,arch
1484240,arch
1484918,arch
1485270,arch
1485285,arch
1497533,arch
1501677,arch
1508182,arch
1514651,arch
1524354,arch
1542768,arch
1547774,arch
