gene_ID,taxon
M-geneDB.v1_000001781,gramNeg
M-geneDB.v1_000002246,gramNeg
M-geneDB.v1_000002421,gramNeg
M-geneDB.v1_000002699,gramNeg
M-geneDB.v1_000003495,gramNeg
M-geneDB.v1_000003755,gramNeg
M-geneDB.v1_000004782,gramNeg
M-geneDB.v1_000005435,gramNeg
M-geneDB.v1_000017988,gramNeg
M-geneDB.v1_000018937,gramNeg
M-geneDB.v1_000019186,gramNeg
M-geneDB.v1_000019202,gramNeg
M-geneDB.v1_000020325,gramNeg
M-geneDB.v1_000020695,gramNeg
M-geneDB.v1_000021336,gramNeg
M-geneDB.v1_000021947,gramNeg
M-geneDB.v1_000035838,gramNeg
M-geneDB.v1_000036001,gramNeg
M-geneDB.v1_000036118,gramNeg
M-geneDB.v1_000036429,gramNeg
M-geneDB.v1_000036771,gramNeg
M-geneDB.v1_000037349,gramNeg
M-geneDB.v1_000037362,gramNeg
M-geneDB.v1_000040270,gramNeg
M-geneDB.v1_000058588,gramNeg
M-geneDB.v1_000058800,gramNeg
M-geneDB.v1_000058946,gramNeg
M-geneDB.v1_000059127,gramNeg
M-geneDB.v1_000059162,gramNeg
M-geneDB.v1_000059963,gramNeg
M-geneDB.v1_000062208,gramNeg
M-geneDB.v1_000062487,gramNeg
M-geneDB.v1_000062583,gramNeg
M-geneDB.v1_000062601,gramNeg
M-geneDB.v1_000062629,gramNeg
M-geneDB.v1_000062750,gramNeg
M-geneDB.v1_000065059,gramNeg
M-geneDB.v1_000065167,gramNeg
M-geneDB.v1_000065337,gramNeg
M-geneDB.v1_000065387,gramNeg
M-geneDB.v1_000065388,gramNeg
M-geneDB.v1_000065636,gramNeg
M-geneDB.v1_000065764,gramNeg
M-geneDB.v1_000066015,gramNeg
M-geneDB.v1_000066442,gramNeg
M-geneDB.v1_000066443,gramNeg
M-geneDB.v1_000066463,gramNeg
M-geneDB.v1_000066507,gramNeg
M-geneDB.v1_000066624,gramNeg
M-geneDB.v1_000066748,gramNeg
M-geneDB.v1_000067177,gramNeg
M-geneDB.v1_000067192,gramNeg
M-geneDB.v1_000067227,gramNeg
M-geneDB.v1_000067369,gramNeg
M-geneDB.v1_000067617,gramNeg
M-geneDB.v1_000068266,gramNeg
M-geneDB.v1_000068823,gramNeg
M-geneDB.v1_000069797,gramNeg
M-geneDB.v1_000070748,gramNeg
M-geneDB.v1_000070836,gramNeg
M-geneDB.v1_000073102,gramNeg
M-geneDB.v1_000073995,gramNeg
M-geneDB.v1_000087874,gramNeg
M-geneDB.v1_000088069,gramNeg
M-geneDB.v1_000088071,gramNeg
M-geneDB.v1_000088261,gramNeg
M-geneDB.v1_000089493,gramNeg
M-geneDB.v1_000098889,gramNeg
M-geneDB.v1_000098944,gramNeg
M-geneDB.v1_000099013,gramNeg
M-geneDB.v1_000099084,gramNeg
M-geneDB.v1_000110101,gramNeg
M-geneDB.v1_000110213,gramNeg
M-geneDB.v1_000110991,gramNeg
M-geneDB.v1_000111050,gramNeg
M-geneDB.v1_000111056,gramNeg
M-geneDB.v1_000111062,gramNeg
M-geneDB.v1_000111344,gramNeg
M-geneDB.v1_000111542,gramNeg
M-geneDB.v1_000111576,gramNeg
M-geneDB.v1_000111806,gramNeg
M-geneDB.v1_000113112,gramNeg
M-geneDB.v1_000113182,gramNeg
M-geneDB.v1_000113242,gramNeg
M-geneDB.v1_000113285,gramNeg
M-geneDB.v1_000113383,gramNeg
M-geneDB.v1_000113385,gramNeg
M-geneDB.v1_000114621,gramNeg
M-geneDB.v1_000115165,gramNeg
M-geneDB.v1_000116218,gramNeg
M-geneDB.v1_000117443,gramNeg
M-geneDB.v1_000117575,gramNeg
M-geneDB.v1_000146474,gramNeg
M-geneDB.v1_000147369,gramNeg
M-geneDB.v1_000147579,gramNeg
M-geneDB.v1_000148215,gramNeg
M-geneDB.v1_000164525,gramNeg
M-geneDB.v1_000164557,gramNeg
M-geneDB.v1_000164672,gramNeg
M-geneDB.v1_000174288,gramNeg
M-geneDB.v1_000176166,gramNeg
M-geneDB.v1_000218719,gramNeg
M-geneDB.v1_000218843,gramNeg
M-geneDB.v1_000219095,gramNeg
M-geneDB.v1_000219114,gramNeg
M-geneDB.v1_000219366,gramNeg
M-geneDB.v1_000219368,gramNeg
M-geneDB.v1_000219838,gramNeg
M-geneDB.v1_000219979,gramNeg
M-geneDB.v1_000220013,gramNeg
M-geneDB.v1_000220198,gramNeg
M-geneDB.v1_000221228,gramNeg
M-geneDB.v1_000221518,gramNeg
M-geneDB.v1_000221519,gramNeg
M-geneDB.v1_000221790,gramNeg
M-geneDB.v1_000222189,gramNeg
M-geneDB.v1_000222198,gramNeg
M-geneDB.v1_000222276,gramNeg
M-geneDB.v1_000222403,gramNeg
M-geneDB.v1_000222853,gramNeg
M-geneDB.v1_000222961,gramNeg
M-geneDB.v1_000223297,gramNeg
M-geneDB.v1_000223643,gramNeg
M-geneDB.v1_000224225,gramNeg
M-geneDB.v1_000224894,gramNeg
M-geneDB.v1_000238398,gramNeg
M-geneDB.v1_000239723,gramNeg
M-geneDB.v1_000239942,gramNeg
M-geneDB.v1_000241560,gramNeg
M-geneDB.v1_000242862,gramNeg
M-geneDB.v1_000245307,gramNeg
M-geneDB.v1_000263175,gramNeg
M-geneDB.v1_000263210,gramNeg
M-geneDB.v1_000263879,gramNeg
M-geneDB.v1_000264154,gramNeg
M-geneDB.v1_000264260,gramNeg
M-geneDB.v1_000264396,gramNeg
M-geneDB.v1_000264490,gramNeg
M-geneDB.v1_000264992,gramNeg
M-geneDB.v1_000265272,gramNeg
M-geneDB.v1_000272793,gramNeg
M-geneDB.v1_000287332,gramNeg
M-geneDB.v1_000287890,gramNeg
M-geneDB.v1_000305831,gramNeg
M-geneDB.v1_000305843,gramNeg
M-geneDB.v1_000309603,gramNeg
M-geneDB.v1_000313922,gramNeg
M-geneDB.v1_000328323,gramNeg
M-geneDB.v1_000328324,gramNeg
M-geneDB.v1_000328789,gramNeg
M-geneDB.v1_000329521,gramNeg
M-geneDB.v1_000330157,gramNeg
M-geneDB.v1_000330459,gramNeg
M-geneDB.v1_000330772,gramNeg
M-geneDB.v1_000331141,gramNeg
M-geneDB.v1_000331420,gramNeg
M-geneDB.v1_000333224,gramNeg
M-geneDB.v1_000333326,gramNeg
M-geneDB.v1_000335603,gramNeg
M-geneDB.v1_000337055,gramNeg
M-geneDB.v1_000338367,gramNeg
M-geneDB.v1_000340110,gramNeg
M-geneDB.v1_000342722,gramNeg
M-geneDB.v1_000342797,gramNeg
M-geneDB.v1_000343649,gramNeg
M-geneDB.v1_000343862,gramNeg
M-geneDB.v1_000347325,gramNeg
M-geneDB.v1_000378822,gramNeg
M-geneDB.v1_000380139,gramNeg
M-geneDB.v1_000380371,gramNeg
M-geneDB.v1_000380505,gramNeg
M-geneDB.v1_000382641,gramNeg
M-geneDB.v1_000382661,gramNeg
M-geneDB.v1_000383140,gramNeg
M-geneDB.v1_000383645,gramNeg
M-geneDB.v1_000383692,gramNeg
M-geneDB.v1_000384297,gramNeg
M-geneDB.v1_000384334,gramNeg
M-geneDB.v1_000385662,gramNeg
M-geneDB.v1_000386590,gramNeg
M-geneDB.v1_000387220,gramNeg
M-geneDB.v1_000387597,gramNeg
M-geneDB.v1_000387610,gramNeg
M-geneDB.v1_000387688,gramNeg
M-geneDB.v1_000388284,gramNeg
M-geneDB.v1_000388358,gramNeg
M-geneDB.v1_000388571,gramNeg
M-geneDB.v1_000388719,gramNeg
M-geneDB.v1_000389204,gramNeg
M-geneDB.v1_000389436,gramNeg
M-geneDB.v1_000391184,gramNeg
M-geneDB.v1_000403808,gramNeg
M-geneDB.v1_000404159,gramNeg
M-geneDB.v1_000404299,gramNeg
M-geneDB.v1_000421050,gramNeg
M-geneDB.v1_000421534,gramNeg
M-geneDB.v1_000421600,gramNeg
M-geneDB.v1_000421644,gramNeg
M-geneDB.v1_000423289,gramNeg
M-geneDB.v1_000438806,gramNeg
M-geneDB.v1_000440210,gramNeg
M-geneDB.v1_000440624,gramNeg
M-geneDB.v1_000441037,gramNeg
M-geneDB.v1_000450746,gramNeg
M-geneDB.v1_000450855,gramNeg
M-geneDB.v1_000450926,gramNeg
M-geneDB.v1_000450927,gramNeg
M-geneDB.v1_000450990,gramNeg
M-geneDB.v1_000451076,gramNeg
M-geneDB.v1_000451133,gramNeg
M-geneDB.v1_000451378,gramNeg
M-geneDB.v1_000451521,gramNeg
M-geneDB.v1_000451699,gramNeg
M-geneDB.v1_000451800,gramNeg
M-geneDB.v1_000451810,gramNeg
M-geneDB.v1_000451993,gramNeg
M-geneDB.v1_000452550,gramNeg
M-geneDB.v1_000452658,gramNeg
M-geneDB.v1_000453173,gramNeg
M-geneDB.v1_000453766,gramNeg
M-geneDB.v1_000454664,gramNeg
M-geneDB.v1_000455078,gramNeg
M-geneDB.v1_000455592,gramNeg
M-geneDB.v1_000455830,gramNeg
M-geneDB.v1_000456077,gramNeg
M-geneDB.v1_000456204,gramNeg
M-geneDB.v1_000457023,gramNeg
M-geneDB.v1_000457766,gramNeg
M-geneDB.v1_000458142,gramNeg
M-geneDB.v1_000458620,gramNeg
M-geneDB.v1_000460168,gramNeg
M-geneDB.v1_000460660,gramNeg
M-geneDB.v1_000461698,gramNeg
M-geneDB.v1_000462085,gramNeg
M-geneDB.v1_000481957,gramNeg
M-geneDB.v1_000485779,gramNeg
M-geneDB.v1_000487157,gramNeg
M-geneDB.v1_000506852,gramNeg
M-geneDB.v1_000507461,gramNeg
M-geneDB.v1_000510689,gramNeg
M-geneDB.v1_000545233,gramNeg
M-geneDB.v1_000545783,gramNeg
M-geneDB.v1_000546971,gramNeg
M-geneDB.v1_000547086,gramNeg
M-geneDB.v1_000548562,gramNeg
M-geneDB.v1_000549543,gramNeg
M-geneDB.v1_000566327,gramNeg
M-geneDB.v1_000566349,gramNeg
M-geneDB.v1_000566974,gramNeg
M-geneDB.v1_000574278,gramNeg
M-geneDB.v1_000574422,gramNeg
M-geneDB.v1_000574537,gramNeg
M-geneDB.v1_000574731,gramNeg
M-geneDB.v1_000574764,gramNeg
M-geneDB.v1_000574958,gramNeg
M-geneDB.v1_000575056,gramNeg
M-geneDB.v1_000575446,gramNeg
M-geneDB.v1_000575865,gramNeg
M-geneDB.v1_000575872,gramNeg
M-geneDB.v1_000576013,gramNeg
M-geneDB.v1_000576258,gramNeg
M-geneDB.v1_000577866,gramNeg
M-geneDB.v1_000592530,gramNeg
M-geneDB.v1_000594028,gramNeg
M-geneDB.v1_000594115,gramNeg
M-geneDB.v1_000595258,gramNeg
M-geneDB.v1_000595311,gramNeg
M-geneDB.v1_000602331,gramNeg
M-geneDB.v1_000602356,gramNeg
M-geneDB.v1_000635791,gramNeg
M-geneDB.v1_000637037,gramNeg
M-geneDB.v1_000638071,gramNeg
M-geneDB.v1_000638971,gramNeg
M-geneDB.v1_000663731,gramNeg
M-geneDB.v1_000674947,gramNeg
M-geneDB.v1_000675046,gramNeg
M-geneDB.v1_000675214,gramNeg
M-geneDB.v1_000675519,gramNeg
M-geneDB.v1_000675525,gramNeg
M-geneDB.v1_000675526,gramNeg
M-geneDB.v1_000675791,gramNeg
M-geneDB.v1_000676801,gramNeg
M-geneDB.v1_000677026,gramNeg
M-geneDB.v1_000677610,gramNeg
M-geneDB.v1_000677951,gramNeg
M-geneDB.v1_000678037,gramNeg
M-geneDB.v1_000678260,gramNeg
M-geneDB.v1_000678348,gramNeg
M-geneDB.v1_000678411,gramNeg
M-geneDB.v1_000678459,gramNeg
M-geneDB.v1_000678462,gramNeg
M-geneDB.v1_000678531,gramNeg
M-geneDB.v1_000678629,gramNeg
M-geneDB.v1_000678681,gramNeg
M-geneDB.v1_000678808,gramNeg
M-geneDB.v1_000678840,gramNeg
M-geneDB.v1_000679040,gramNeg
M-geneDB.v1_000679833,gramNeg
M-geneDB.v1_000680098,gramNeg
M-geneDB.v1_000680154,gramNeg
M-geneDB.v1_000683955,gramNeg
M-geneDB.v1_000708957,gramNeg
M-geneDB.v1_000711136,gramNeg
M-geneDB.v1_000712346,gramNeg
M-geneDB.v1_000727265,gramNeg
M-geneDB.v1_000727714,gramNeg
M-geneDB.v1_000727978,gramNeg
M-geneDB.v1_000728799,gramNeg
M-geneDB.v1_000728933,gramNeg
M-geneDB.v1_000730284,gramNeg
M-geneDB.v1_000730556,gramNeg
M-geneDB.v1_000730701,gramNeg
M-geneDB.v1_000730808,gramNeg
M-geneDB.v1_000731044,gramNeg
M-geneDB.v1_000731314,gramNeg
M-geneDB.v1_000731903,gramNeg
M-geneDB.v1_000745620,gramNeg
M-geneDB.v1_000769526,gramNeg
M-geneDB.v1_000769888,gramNeg
M-geneDB.v1_000775310,gramNeg
M-geneDB.v1_000775927,gramNeg
M-geneDB.v1_000776918,gramNeg
M-geneDB.v1_000789170,gramNeg
M-geneDB.v1_000789204,gramNeg
M-geneDB.v1_000789211,gramNeg
M-geneDB.v1_000789475,gramNeg
M-geneDB.v1_000789489,gramNeg
M-geneDB.v1_000789647,gramNeg
M-geneDB.v1_000789678,gramNeg
M-geneDB.v1_000789769,gramNeg
M-geneDB.v1_000789803,gramNeg
M-geneDB.v1_000789843,gramNeg
M-geneDB.v1_000789854,gramNeg
M-geneDB.v1_000789865,gramNeg
M-geneDB.v1_000789890,gramNeg
M-geneDB.v1_000790205,gramNeg
M-geneDB.v1_000790208,gramNeg
M-geneDB.v1_000790209,gramNeg
M-geneDB.v1_000790210,gramNeg
M-geneDB.v1_000790214,gramNeg
M-geneDB.v1_000790233,gramNeg
M-geneDB.v1_000790235,gramNeg
M-geneDB.v1_000790270,gramNeg
