Subject	Readcount	Correct_bases	Incorrect_bases	Total_bases	Subjlen	Coverage	Percent_ID
protist-Lithomelissa_setosa-1197019at2759-S1	96	573	23	596	639	93.27	96.14
protist-Chaetoceros_debilis-834694at2759-S1	10	405	3	408	2403	16.98	99.26
protist-Chaetoceros_debilis-866359at2759-S1	1	101	0	101	1068	9.46	100.0
protist-Chaetoceros_debilis-937686at2759-S1	6	145	0	145	1383	10.48	100.0
greenalgae-Prasinoderma_singulare-390348at2759-S1	1	100	0	100	3007	3.33	100.0
greenalgae-Prasinoderma_singulare-392369at2759-S1	1	101	0	101	1647	6.13	100.0
greenalgae-Prasinoderma_singulare-692986at2759-S1	2	121	1	122	2145	5.69	99.18
greenalgae-Prasinoderma_singulare-817008at2759-S1	1	99	0	99	1245	7.95	100.0
greenalgae-Prasinoderma_singulare-866359at2759-S1	18	255	2	257	1074	23.93	99.22
greenalgae-Prasinoderma_singulare-937686at2759-S1	1	101	0	101	1515	6.67	100.0
greenalgae-Prasinoderma_singulare-1138059at2759-S1	4	154	0	154	876	17.58	100.0
greenalgae-Prasinoderma_singulare-1194797at2759-S1	23	574	6	580	2190	26.48	98.97
greenalgae-Prasinoderma_singulare-1398309at2759-S1	4	165	2	167	516	32.36	98.8
protist-Phaeocystis_antarctica-156083at2759-S1	12	594	6	600	6843	8.77	99.0
protist-Phaeocystis_antarctica-245208at2759-S1	284	734	58	792	3768	21.02	92.68
protist-Phaeocystis_antarctica-355408at2759-S1	47	431	18	449	2007	22.37	95.99
protist-Phaeocystis_antarctica-418107at2759-S1	3	112	3	115	1335	8.61	97.39
protist-Phaeocystis_antarctica-513979at2759-S1	2	133	2	135	2262	5.97	98.52
protist-Phaeocystis_antarctica-570797at2759-S1	3	190	3	193	2280	8.46	98.45
protist-Phaeocystis_antarctica-621827at2759-D1	4	105	3	108	1671	6.46	97.22
protist-Phaeocystis_antarctica-736068at2759-S1	9	227	9	236	1404	16.81	96.19
protist-Phaeocystis_antarctica-779909at2759-S1	6	159	9	168	945	17.78	94.64
protist-Phaeocystis_antarctica-855834at2759-S1	8	311	12	323	1747	18.49	96.28
protist-Phaeocystis_antarctica-866359at2759-S1	221	759	54	813	1017	79.94	93.36
protist-Phaeocystis_antarctica-919955at2759-S1	184	626	48	674	1167	57.75	92.88
protist-Phaeocystis_antarctica-923657at2759-S1	2	99	4	103	966	10.66	96.12
protist-Phaeocystis_antarctica-931188at2759-S1	1	98	3	101	1482	6.82	97.03
protist-Phaeocystis_antarctica-937686at2759-S1	217	906	52	958	1411	67.9	94.57
protist-Phaeocystis_antarctica-1001705at2759-D1	6	323	12	335	1374	24.38	96.42
protist-Phaeocystis_antarctica-1041560at2759-S1	13	292	14	306	1236	24.76	95.42
protist-Phaeocystis_antarctica-1049599at2759-S1	70	644	28	672	1467	45.81	95.83
protist-Phaeocystis_antarctica-1079827at2759-S1	4	265	9	274	786	34.86	96.72
protist-Phaeocystis_antarctica-1193442at2759-S1	1	98	3	101	1338	7.55	97.03
protist-Phaeocystis_antarctica-1194691at2759-S1	44	806	44	850	1176	72.28	94.82
protist-Phaeocystis_antarctica-1228942at2759-S1	6	311	15	326	773	42.17	95.4
