ERR598977	DCM	0.22-1.6	Tara041	Tara041_ERR598977_DCM_0.22-1.6
ERR599082	DCM	0.22-1.6	Tara038	Tara038_ERR599082_DCM_0.22-1.6
ERR599111	DCM	0.22-1.6	Tara034	Tara034_ERR599111_DCM_0.22-1.6
ERR599130	DCM	0.22-1.6	Tara042	Tara042_ERR599130_DCM_0.22-1.6
ERR599145	DCM	0.22-1.6	Tara039	Tara039_ERR599145_DCM_0.22-1.6
ERR599153	DCM	0.22-1.6	Tara025	Tara025_ERR599153_DCM_0.22-1.6
ERR599031	MES	0.22-1.6	Tara037	Tara037_ERR599031_MES_0.22-1.6
ERR599037	MES	0.22-1.6	Tara039	Tara039_ERR599037_MES_0.22-1.6
ERR599062	MES	0.22-1.6	Tara037	Tara037_ERR599062_MES_0.22-1.6
ERR599109	MES	0.22-1.6	Tara038	Tara038_ERR599109_MES_0.22-1.6
ERR599167	MES	0.22-1.6	Tara038	Tara038_ERR599167_MES_0.22-1.6
ERR599172	MES	0.22-1.6	Tara039	Tara039_ERR599172_MES_0.22-1.6
ERR599041	SRF	0.22-1.6	Tara032	Tara032_ERR599041_SRF_0.22-1.6
ERR599043	SRF	0.22-1.6	Tara025	Tara025_ERR599043_SRF_0.22-1.6
ERR599045	SRF	0.22-1.6	Tara045	Tara045_ERR599045_SRF_0.22-1.6
ERR599049	SRF	0.22-1.6	Tara033	Tara033_ERR599049_SRF_0.22-1.6
ERR599134	SRF	0.22-1.6	Tara033	Tara033_ERR599134_SRF_0.22-1.6
ERR599138	SRF	0.22-1.6	Tara048	Tara048_ERR599138_SRF_0.22-1.6
