bin,ERR594313,ERR594325,ERR594395,ERR594404,ERR598943,ERR598978,ERR598994,ERR598997,ERR599064,ERR599118,ERR599144,ERR599353
CPC-1,444919.5049153041,1391444.4089773616,259.6409951701617,284.1445438992024,23530.926811641064,84381.85777608934,709712.8543628105,13153.64477657759,37060.72126896822,70525.83245773832,725349.853983447,3724.751747177397
CPC-11,7158295.945582744,1974369.659474781,9075692.474681724,9086923.016754212,9437.18122232473,28801.644015979164,300748.52215966873,179303.29525767412,534424.3000151117,992543.041891256,309363.52665329835,237900.9370102117
CPC-12,92728.17647958604,118105.5736475683,883457.4494860402,892932.1736779672,18229.266855960195,56823.24127182988,14198.651511890079,11378.719508693084,45736.03218775671,72446.73695825381,14716.655835798025,3823872.3229153245
CPC-1232,792397.6433469144,397038.13421310263,2721.380775857525,2526.6962684123605,60316.521776898146,230552.15341168706,134305.21732217752,10509.847750530096,5811962.981303177,68904.58297957627,135203.51238365774,890.7072192510916
CPC-13,4727.139581042178,6358.98234311581,2263.156547788173,2552.848286206249,1018.1055554682368,3558.0655015920797,784.3509786572906,1140.9090535932137,4581257.074464837,4329.059396188032,475.2126218596907,5602.840662153544
CPC-1326,3372943.708343561,19395033.98253195,279.33572135397515,277.3940634402826,16696.73719464707,57096.7750100415,2410719.4279455342,12970.349063845244,1161155.1967244935,92968.88310056114,2448089.2211231566,129.18733907704498
CPC-1399,4109204.4667753284,57046671.16039882,182355.5393325324,178140.67794790617,5595.759407165675,16585.907951116373,11100929.796410559,2648.3797551048515,4802719.49367902,11920.08908953454,11348780.642974593,5631.470686540126
CPC-14,15818.618845248959,25720.125335876804,3662.9839497568237,3632.206046092115,10480.470911454126,35083.3314409257,1548.102080374988,150838.87830238618,54966.75026548033,944168.6309304725,976.2230932939891,18893.943223882834
CPC-16,13795.943207870778,4562.127730904864,10647.103664154503,10956.501436289705,1173.0011639556992,5673.433258872768,1001.7354692021511,847.1136105990408,40305270.27497591,5952.7640497919365,716.420491477439,0.0
CPC-17,5303.13139152363,12400.769969934268,1794.5697044557432,1515.1440679175562,606.4264411653378,3447.6493836741524,909.7402840315326,995.0837003066084,426756.0124016602,2980.899387889751,993.3179044584049,7019.073668910788
