bin,ERR315856,ERR315859,ERR315860,ERR318618,ERR318619,ERR318620,ERR318621,ERR594315,ERR594329,ERR594352,ERR594375,ERR594405,ERR594408,ERR599073,ERR599092,ERR599094,ERR599153
MED-1001,662835.0642743016,615544.8169561562,592285.2171249691,8225446.476904455,518186.11165601877,8416461.279418195,519310.8305383274,2227060.817134968,13723964.357182426,12320.40985628988,813.0447666339637,1195.7640787432033,2187.2734057932257,5373239.121614137,26795043.94600334,2473093.0950110806,424707.8758208982
MED-1008,2240283.745343403,788701.0301449663,779406.0231207818,227998.76313070208,36942.72855582192,194984.5876865134,37193.94648378642,60818.6174410045,344947.6876789584,4203.401207242581,34017.12317233287,7622.603665661019,829.5063589859908,155484.75553933065,725623.6271036598,182850.38054029812,31788.565687884045
MED-1017,299905.4705169463,1503768.9235246307,1529091.280376974,92562.52861354609,13508.217081977851,82147.42069142632,14132.784214455423,1054.2040440599635,7416.782863943902,131.01216553587687,1651.649129639149,7813.416812145034,5038.883296133359,1053.8717127171792,5254.836093243237,81843.61342606849,14997.344874518145
MED-104,5985794.739018751,4474644.905343304,4398849.992330938,9645112.954948423,574609.3109769817,9865508.349418113,580061.7015350803,4835725.776222066,30776451.935891505,377798.20424147154,411955.0045704133,245567.48536772223,734389.8464038563,6860863.9539402975,34838560.29538502,14671338.078520108,2483800.2155666756
MED-1047,741825.5860880642,41670.62930278454,41272.91279593895,3588.3126564684276,152.88843705308446,3470.2008644900684,271.8401254986918,431039.8316328937,2624639.2183039477,300164.8374969263,34947.57405979395,19021.595836011,7234.65339810727,7686905.902439931,37680444.014778614,44503.096567441986,9995.411805440875
MED-1076,122683.41610260514,14534.88689892314,13046.485384921103,88484.60787888114,6577.153266005379,89250.32926827959,6529.043230174647,52576.85944074853,360642.24528076337,520686.5485050701,31869.995881714673,5569.411376756878,6427.505894415241,1665149.5575601496,8248660.593131082,93085.92271242752,15691.210817403613
MED-1093,169033.55185263776,1554408.0364898262,1522056.861820104,52485.63976709311,4984.127275417308,50654.55459503127,4529.774014663569,2534186.1902762526,15216909.090438435,1462.5027175354974,12780.746033399604,1283.7827842077488,28587.07019400608,3009587.6822127122,14739451.432919426,5903763.5991301155,1043180.5971160893
MED-1094,28747.876597980536,7297.228397157004,5744.188817516358,3609869.3260962632,217632.96795707068,3790207.8538452405,220550.9687068588,5925.663666688871,43812.61033608107,10.975280898876402,160.9509522048153,170.48875465580068,23.629219409282705,347364.39088256995,1751218.1368125277,38552.32236956914,6144.5352674024725
MED-1105,614087.6763411876,1330808.7602231072,1301487.6536454177,1098550.0747569576,77214.38096266057,1109884.2470151118,78987.9873043967,5852478.10302097,35802141.72693333,11454.333333333334,28943.85633422115,4038.6291427902465,8834.812144498088,1960669.0184334985,9700353.908697767,9546582.509404734,1674379.385652067
MED-1116,419243.7926329285,425736.60052671545,411947.0123096159,4134480.4864331237,223274.07167500554,4284288.855373523,233032.50281699037,67495.21145977532,464270.9922217713,14409.737190711052,3860.6541777730376,85284.75103575476,25221.391298616985,322936.2291899269,1633644.5075320692,1175662.6390651418,193464.6211411131
MED-1122,12145014.195974914,742148.296063242,731901.0582212743,2173.474257475766,594.5561238658167,1956.4882908501352,340.1515464043985,102629.50269619747,589042.2267726104,592.8474819185268,432.39593065488657,1498.915540329568,3860.677442111036,3418929.987272861,16328382.815710925,366496.97561891365,68891.68986982702
