bin,SRR3962680,SRR3962772,SRR3962773,SRR3962777,SRR3963449,SRR3963456
SP-1,4359.369040545836,22430.13401685146,16529.245036724642,23146.290226511544,7842.914121112318,25146.833417699178
SP-10,0.0,197.92749666788234,23.75757575757576,118.62234241548663,30.026936026936028,12.91320613542836
SP-101,99.83633387888709,0.0,149.82100238663483,0.0,449.26702089920514,0.0
SP-102,49.88151658767772,97.93682795698925,201.44282907007727,0.0,1081.7569294739085,247.22840343387017
SP-104,2848.048653892506,1937.5394345309905,9907.197589985748,1964.7841672967438,27878.143852315497,8224.130584887607
SP-105,346.45867155354114,5092.240093741386,12089.150840106478,1392.0531893987027,2192.0857837385397,1588.880527222556
SP-107,49.83108108108108,299.39465543907886,1497.3895672259246,49.57006994281767,2953.4995773066094,1229.446787523891
SP-108,199.67042883565773,0.0,3307.065557005703,0.0,2182.2823169940707,99.68553459119497
SP-109,0.0,0.0,149.8655113664331,99.78425589836661,157.1489295829788,0.0
SP-11,1820.4507087026736,3652.322684020169,5780.609889738501,2958.884862144076,2342.308385665299,2271.253174984869
SP-110,199.40014345205918,747.4523794844204,5224.6425740578625,349.4559805136572,599.3045862850876,698.8347962570731
SP-112,95143.0075351204,931393.8684870915,188179.75330954892,1448318.655509573,342037.3759072189,1986203.6114062064
SP-113,1289.1604796672777,2801.589992039432,1593.601962060667,5723.115671696438,3042.026249498758,2982.09825058525
SP-114,340.2648611817167,959.8363310610006,9033.132262038946,470.5275714769326,598.6367734476029,199.6030093957496
SP-115,539.466740490288,198.9208294542069,1724.4676284988261,349.0169857217476,2787.6946764514514,1612.699502874697
SP-118,37555.62986583225,46091.991800260344,71648.76184951358,101036.88549105873,31920.10427938947,51373.16046683455
SP-119,5399.434702148707,3544.163907516843,41641.984416923035,2292.0060087164898,8084.144043428718,4908.727366057873
SP-12,5941.710154665083,1894.1943792034517,4131.432741582434,6811.56805501705,19601.14444055008,7394.237597368664
SP-121,4493.944528760681,10208.242359281041,9290.74532588186,8431.772398898996,6089.519705636224,5514.464371399385
SP-123,349732.80208020506,87894.17947740707,888240.4519532672,185967.60335346602,660672.4285698979,89709.5282817401
SP-124,247.86998190855638,1589.6359791872846,1197.2589938787307,4144.956132760485,962.2802562160329,5036.631851545592
SP-125,35157.32504174862,45052.84472572586,108572.70544387732,28741.2860962103,46782.175705300375,20887.108469213064
SP-126,59445.72570298268,259132.26246983273,184406.59699868612,358803.84857205,65895.10425446097,230556.94972116107
SP-127,1364.597553962557,1159.9239961756898,1756.5176764803032,2082.322079265489,4725.015671905158,2980.550539852453
SP-128,30640.37260672801,1772.9129532959387,13594.611854906272,1837.2937327290929,10247.955101719212,3217.015735107611
SP-13,2635.878065440344,2831.4547733534555,28144.99279371785,2416.3407719581965,12523.679859626662,4200.307530989093
SP-131,37563.77078495348,8370.22097331188,30864.474047136362,19500.322905741083,26424.77950785966,10479.963348732705
SP-133,4887.978423965882,17271.77421600981,16948.349079779946,20235.721217769446,8875.319285783418,18222.768915668545
SP-135,181.60262401616845,903.8791875633456,1179.8016813283627,340.57196349016215,248.90559998215497,288.71488067933757
SP-136,0.0,0.0,214.25518250566256,390.12603019959005,248.41899145617154,99.60817272200707
SP-137,3037.078186640798,9461.24598687962,7936.931316133799,5013.77541180232,2282.7735865883787,5211.9732721403025
SP-138,910.2180163485988,964.7448635252587,4753.16297229353,1404.078444364703,3175.2155836463594,1892.501383210024
SP-14,399.29472180073077,597.8449345051868,498.8421476588137,866.7852703914991,987.3182427416998,498.6554083811197
SP-140,12755.685483882155,5731.363185220837,38931.63421455828,9054.652243583474,22210.7449761047,7417.747420368905
SP-141,399.407631738823,548.4956942544267,1492.1829274077354,698.5538280981965,1043.0121150452376,997.8164055688835
