bin,ERR598975,ERR599061,ERR599097,ERR599111
RS-342,0.005887154538849885,0.02869423822197569,0.03526751450223312,0.005239914481680687
RS-355,0.0,0.0,0.0,0.0011755897909397704
RS-363,0.0003828384994420588,0.0,0.0,0.00038683475922666734
RS-364,0.0032029870282395236,0.0030150349378516034,0.0038703590194242676,0.0032525719907455825
RS-367,0.0007458397195212797,0.000750257363025862,0.0008246498206537197,0.0008019210174037325
RS-372,0.004012308025466772,0.0,0.0,0.004321508473254689
RS-376,0.00014018710569812758,0.0001168425255892104,9.347927551149359e-05,2.7841158921551974e-05
RS-382,0.00013857159427879424,0.00033860497220177,0.0003899596443548274,0.00017975483945610452
RS-383,0.00019471043241766153,0.00025197644524946073,0.00022318032165910128,0.00021534453840889008
RS-388,0.00030149397386458376,9.772485377788875e-05,0.00015579655999738783,0.00027483815841101116
RS-423,0.00019010657991376311,0.00018584882688978718,0.0002756494240709823,0.00015211670709940569
RS-426,0.00022583701888588168,0.0002609697211831983,0.0002340897506050148,0.00021969972322078918
RS-447,0.0004345377309193998,0.0,0.00015422721188982526,0.00035985925877037316
RS-456,0.001237683331584428,0.0010348046270425694,0.0011488057379447172,0.0013398924766922652
RS-458,0.00035961907906855117,0.00010325605464860377,0.00013160462881596857,0.00029335989764638337
RS-615,0.000594266350466021,0.0005098472276497424,0.0005480358069888351,0.0005076585280291995
RS-665,0.0007899530394351541,0.0005197146832378987,0.0007674262712228833,0.0007719460841960645
RS-821,0.0005204927037357318,0.00045074620726579065,0.0005162226474327932,0.00052360793087587
RS-822,0.00042059305615626256,0.000485650649299485,0.0005111095063550736,0.00044949381816888467
