bin,ERR598971,ERR598980,ERR599004,ERR599015,ERR599051,ERR599060,ERR599067,ERR599076,ERR599115,ERR599127,ERR599152,ERR599175
NP-1,19805479.1518397,2192960.630929836,1760879.13420869,531148.6378550235,1754902.24591079,1761134.5294312604,4084258.034967013,533805.9248297332,5625296.704030114,533606.0690999374,538330.2227693636,1767496.6674276053
NP-10,52769.58759400812,52067.51915299657,65758.33469430738,41020.77052950993,66288.7307316239,66505.11496031318,10294.259034677252,40514.52490583772,289267.2990024358,38390.001197175625,41029.514233675625,61002.957257085334
NP-100,30346.90263315938,125453.39258022622,32083.685691106595,4086.4967017889467,32966.597004217445,30253.40979281095,4905.6075181743945,4449.460677799764,248997.5727102218,4356.868105750586,4419.011227258456,30475.80058358679
NP-101,30629.1734691399,33078.462182548705,5252.779166155865,4589.837885827229,5208.345600008215,4907.24794541994,5238.7190317483155,4640.253299216407,27787.022713037564,4220.5145448904,4016.1058939753207,5513.077595888697
NP-103,13832.075310046312,101967.96963229137,91932.61387237631,104068.50241184967,89357.45677212578,89981.18051595747,2157.571312317504,108014.741516174,182961.32016304438,100055.75249809003,106787.91810953456,89273.88012786988
NP-104,38912.41443665379,46145.863595098854,2722.0631346537875,7503.257465883208,3285.6124850228316,3119.4601868579152,6559.318695584537,6125.4008333953025,23186.902787298386,7656.625257873144,5509.920248520145,3007.3342796724487
NP-1044,514260.54133017064,376535.2689896273,20273.72682453694,13015.9345304906,19700.024758114192,19206.388835863672,105136.39354309179,12594.334731116964,17331232.827349927,12107.97577596898,10546.73892551379,18447.765538870884
NP-1046,45775.033162961896,31263.193776152882,7718.481665371716,7665.067905317357,8013.779218913875,7850.474615075837,8328.244274448247,8943.973601672771,71951.46058572296,9289.790062957047,8376.212372438642,8227.878310853332
NP-105,3910831.439754696,8713465.58338098,1314399.6803860893,1742181.3864464518,1335604.833102803,1332514.7215717928,826092.0963028155,1727099.8496464468,11308555.452164257,1747152.6586355814,1726880.8277789738,1334604.657216752
NP-1051,219312.56568260098,153284.29957428214,8108379.370348612,8482382.324416976,8142829.008101707,8141793.491175193,41400.02166446775,8488880.40575728,122136.58859064778,8528785.424493022,8563429.606444046,8178683.152711303
NP-1052,4836.145016056605,16770.185574055817,516.8303715670436,847.594370107678,902.2067851373182,502.37884622609613,754.9958032669181,649.5853663618433,52538.870710836265,640.9628432956381,514.5008077544427,806.0290791599355
NP-106,769866.4693550443,1450051.650318709,2307785.2048186436,2800025.5289759072,2337484.86837485,2351428.263288398,163930.69210008226,2814733.6956888014,2616029.1394852754,2829373.589134824,2842616.3148732134,2354020.897859486
NP-107,2153.2286393038403,7732.417908675557,77.2252400769967,77.31967954860002,24.826211397125377,171.25194573654784,714.9954989004865,182.35961288992087,66180.89402696297,81.27670577931565,131.17062696715678,188.24958056232862
NP-1070,6954436.634441666,6843082.824273773,342197.0490896584,260075.00212276503,341436.54543115915,340384.26326804416,1335400.4733539103,271543.9841641815,14119938.766014582,265886.1459390909,270715.2512457018,331845.625059932
NP-109,15316.020268826904,21077.43593401071,1735.8688066249624,2687.520351737807,1201.8885165016425,1600.3037945622525,1451.2496730855073,2066.337959884694,26604.31976450955,2223.623142929796,2370.8067730094344,1296.6928286960226
NP-11,447725.85950688727,702148.1740768398,28093.365221821627,16622.176615567674,30690.635325291947,32420.34120894382,84550.85378233957,14234.63029043715,73499.08225103506,15404.013378974716,15832.083579732858,28531.243337844495
NP-110,2571584.9604918864,1123175.1220830204,85382.20923594304,76614.91858458242,86482.46288942864,80883.87813139995,529720.0767363248,77916.28423354117,978352.2875484827,79738.05024357873,79347.76431008276,87470.80837133418
NP-112,1922151.5316083585,6100847.256347447,3175967.665375921,4789498.716922087,3249541.173843459,3214531.3640037836,395329.16758213274,4834640.028482025,6830634.955408218,4819586.379796941,4813922.350697944,3199727.639750925
NP-113,1624573.5803484023,316623.2120400422,3273139.530627438,4185043.58383776,3318879.7921864553,3314988.233957588,322243.4069751568,4188872.938736303,256909.48381035766,4192763.3071200424,4222766.937558296,3319494.7821792862
NP-1160,216418.96163258958,188912.58306485935,7943.088653988286,8764.075794053077,8340.985034405117,9837.196297503662,36707.34434997358,8885.32162470451,120026.43238175845,8589.537076942748,8123.966781417508,7675.256358045979
NP-117,2076865.8892205667,1307825.6658477555,80041.88254889367,66693.75507825933,80373.40388965656,80586.90155309699,429093.4065133221,62546.99497240387,3061495.6584612695,67158.34063278082,65115.0924453578,80146.74788381251
NP-119,4459.075020043261,23815.240622034413,109712.7377461954,105013.36174283517,111225.8713293461,115604.00343355787,692.2914024818717,102174.05738691486,31423.922399727933,102861.77957463854,106728.0119350093,109320.9557033161
NP-12,1082836.8961325192,1178491.7196994312,688121.0703209749,1206503.9632112882,696104.26998271,690006.7512216477,233044.71384731747,1199611.4142341071,1620575.399714183,1198204.0852946811,1200709.0830027752,672704.6802637764
NP-120,67849.89761238708,205553.23227781992,40868.797322614,56216.59731135922,43076.53070174687,44756.274409629244,12304.972800335208,59929.73854809766,566303.3258135505,61490.71116862894,59901.23394299932,43940.316442249285
NP-122,89163664.73027885,75026352.54559466,18487795.289211627,23820757.547602132,18723450.91931626,18690538.6751179,18206465.878368076,23891234.491498105,71335452.60377909,23899105.367326256,23925536.228667945,18714626.019258462
NP-124,337370.2674353012,1034665.070996709,338441.8577128183,1208935.471152208,337767.54525404377,337656.8690473338,67368.30767890396,1195393.6644286953,984967.8682121387,1197760.5426757028,1205890.3024616337,328986.4190998159
NP-125,1386357.6645114457,2761516.046940343,2004018.5056736025,170590.55657543117,2042167.1588226587,2033770.3039146306,290290.6890652459,171789.77183255102,4949539.357098657,178858.7498093666,172671.07371019747,2040799.405682214
NP-127,20455.23814794053,95778.7554601066,24547.815257693106,9731.989736194282,25233.82140393329,25998.712511879294,4045.434319082389,10728.625294113219,242258.7161040098,10027.333718250084,8886.292420341528,24054.82583215237
