bin,ERR598975,ERR599061,ERR599097,ERR599111
RS-341,4317.159078782598,54476.91313170296,299361.7431191532,29744.75320973184
RS-342,5019121.748387622,26826.99569323878,135395.5157077147,23737265.67459166
RS-344,265611.3630747012,1305438.245337733,7035016.713450769,1226677.972155382
RS-346,1574886.7870326748,13926839.632399164,78000841.4423734,8001624.488613715
RS-348,103682.72441834639,10596942.736498468,58188992.805815,539504.9768662122
RS-349,444817.319459539,3512692.4238012074,19382435.477339733,2248492.7926635523
RS-350,110666.63014327349,4454692.759446878,24985791.19151797,588237.6759272906
RS-352,114152.46351107297,3330664.8829240296,18977020.565294422,643728.1649204564
RS-355,145530.85309114293,9392.33740830899,55931.98148171032,658744.2368748218
RS-357,2454181.0469475565,2093116.4372105906,11107363.678601945,11125301.733412812
RS-359,54168.83053001129,1403115.4722792096,7354458.277669706,257952.43359547353
RS-361,297906.02469350514,2784338.0951257786,14748946.929021053,1401050.4079384897
RS-363,3392851.485808502,34972.5814895234,188207.7313075134,15250228.22423443
RS-364,3408623.5695411353,420292.7744821111,2220124.6640143245,15569962.55918742
RS-365,3159902.5694998177,63044.285225628344,354875.2451424138,15745634.795273026
RS-367,10508480.14946163,2846628.5623226566,15197268.861974468,47599665.377400436
RS-371,6399735.899507989,713698.4311959929,3977302.1829168396,31517770.214777
RS-372,816517.146704475,77475.60905590084,418586.8542857274,3824077.276538345
RS-373,2786749.0655298815,78781.83486758864,424397.28009004233,13137415.921034707
RS-376,482629.9565504891,5876240.416573403,30995510.958367262,2232376.9265295058
RS-380,6233307.7939879885,4614258.401828264,25515210.028549064,31125828.195157796
RS-381,2846508.1779032378,5414723.071134708,29698034.570413727,13960066.3618142
RS-382,750567.1866444206,2854761.5590161155,15697719.422893286,3747076.9097029674
RS-383,11552440.867570046,3735537.0972932903,19579639.00583684,52291351.45991898
RS-384,3431886.3167700963,1638400.3525376003,9082072.52298001,17073589.40716509
RS-386,180023.99448977233,3079436.183665632,16651385.969340088,836823.9396625926
RS-387,18458961.00993119,6512695.590077541,36142883.673058525,92216788.03493932
RS-388,1458420.0654989036,5086737.664241137,27236373.72612385,6879553.770191241
RS-389,262023.7359939384,2789788.127292765,15914593.890379965,1345287.9544157996
RS-391,7487694.743122594,3228810.272035629,17496857.672391843,35231389.857690044
RS-392,7687181.666844068,3313323.082934456,17977879.845579546,36603829.25013244
RS-394,3565712.352594525,180634.03967322965,946734.8925038807,16409373.724687485
RS-395,7943316.747233778,829655.559822966,4216468.668637217,35826140.12220355
RS-397,2249275.5914105335,409814.3836312602,2165891.771704774,10268814.308051417
RS-398,9486314.94379522,1834482.791564916,9784076.05625714,43810900.65848877
RS-401,1067.8991096405293,66068.64630256989,326205.3757331221,5214.461731027242
RS-402,2889.3022524519174,6277.828709210281,29093.74756406408,9854.474151051336
RS-404,115168.60411961828,2060522.5790634723,10794503.471918738,537252.7558138663
RS-406,8193.740873214072,239015.6197023949,1340606.007594807,39844.04192974537
RS-408,190521.90161673442,107096.02431439218,631326.1051685478,1009541.2387632836
RS-412,147677.27691116557,3063087.1122676707,17237715.637826793,766414.1417082477
RS-415,3364310.6940806154,23484.41077815328,115755.0691410607,15621310.115342213
RS-416,5595947.530501478,3584650.629130392,20534900.355548464,29075953.235111106
RS-419,156417.82614499357,2418610.5543460324,13744829.119331667,820409.2879424202
RS-420,276916.24387155194,1990900.4351053105,11233905.801850958,1470552.5777198896
RS-421,54186.73352319481,71946.44886878383,421660.62550034706,300900.9767965623
RS-422,44715.2445120848,1309386.4596882323,7009937.670329003,209108.29119588961
RS-423,4079641.3623267654,5729966.627064544,32109040.9174389,20354636.660698526
RS-426,1451046.4299282616,5599664.399829006,29499628.652847905,6577646.624547041
RS-428,9804.582740789197,230460.71256124228,1281293.68240263,47888.091332735035
RS-431,8484.301621364431,29421.588464094508,167346.73465768681,37478.10673735113
