COG_function,integron_count,integron_prop,normal_count,normal_prop
Inorganic ion transport and metabolism,37,0.022616137,1046133,0.05042266
Lipid transport and metabolism,48,0.029339853,1355277,0.06532312
"Translation, ribosomal structure and biogenesis",130,0.079462103,1965949,0.094756956
"Posttranslational modification, protein turnover, chaperones",108,0.06601467,1356302,0.065372524
"Replication, recombination and repair",247,0.150977995,1300911,0.062702728
Coenzyme transport and metabolism,62,0.037897311,1550988,0.074756213
Transcription,122,0.074572127,867578,0.041816471
Cell motility,10,0.006112469,312316,0.015053347
Extracellular structures,12,0.007334963,151971,0.007324864
Defense mechanisms,240,0.146699267,493672,0.023794542
Signal transduction mechanisms,65,0.039731051,1018467,0.049089184
Energy production and conversion,105,0.064180929,1532670,0.073873302
Cell wall/membrane/envelope biogenesis,71,0.043398533,1992022,0.096013651
Amino acid transport and metabolism,71,0.043398533,2088150,0.100646933
Nucleotide transport and metabolism,38,0.023227384,840383,0.040505697
"Secondary metabolites biosynthesis, transport and catabolism",59,0.03606357,513800,0.024764693
"Mobilome: prophages, transposons",116,0.070904645,278134,0.013405806
Carbohydrate transport and metabolism,43,0.026283619,1279184,0.061655507
"Intracellular trafficking, secretion, and vesicular transport",26,0.015892421,378454,0.018241139
"Cell cycle control, cell division, chromosome partitioning",18,0.011002445,383749,0.018496353
Cytoskeleton,8,0.004889976,41169,0.001984308
~Total,1636,1,20747279,1
