sample1,sample,trans_sum,trans_prop,biofilm_sum,biofilm_prop,defense_sum,defense_prop,toxin_sum,toxin_prop,station,lower_filter_size,Ocean_DNA,Ocean,Depth,Longitude,Latitude,Salinity_PSU,Temperature,Oxygen_DNA,WATERMASS,Basin,Sequencing_depth_Gbp
MP0103,SRR3968777,5555053.232,0.001569224,630044.6707,0.000177979,42558747,0.012022245,6221101,0.001757373,7,0.2,North Atlantic,Atlantic,-4005,-23.45,21.51,34.8951,2.0182,228.6143,NADW,Canary basin,3.54
MP0104,SRR3968770,8983577.339,0.00259641,584161.4665,0.000168833,28192446,0.008148106,3319896,0.000959508,7,0.8,North Atlantic,Atlantic,-4005,-23.45,21.51,34.8951,2.0182,228.6143,NADW,Canary basin,3.46
MP0144,SRR3967905,3281745.625,0.001616623,217444.9556,0.000107116,15804020,0.007785232,2461771,0.001212695,10,0.8,North Atlantic,Atlantic,-4002,-26,14.52,34.8948,2.0429,216.9404,NADW,Canary basin,2.03
MP0145,SRR3968061,1735902.71,0.001142041,220871.0284,0.00014531,17821995,0.011724997,2564328,0.001687058,10,0.2,North Atlantic,Atlantic,-4002,-26,14.52,34.8948,2.0429,216.9404,NADW,Canary basin,1.52
MP0203,SRR3968063,11037478.58,0.003246317,1156877.774,0.000340258,58501432,0.017206304,6893396,0.002027469,13,0.8,North Atlantic,Atlantic,-4003,-26,7.33,34.8901,2.0165,231.2535,NADW,Canary basin,3.4
MP0204,SRR3968062,6761382.691,0.001931824,740823.8192,0.000211664,47989388,0.013711254,6256335,0.001787524,13,0.2,North Atlantic,Atlantic,-4003,-26,7.33,34.8901,2.0165,231.2535,NADW,Canary basin,3.5
MP0261,SRR3968060,9256283.612,0.002919963,479405.8618,0.000151232,31523656,0.009944371,3955659,0.001247842,17,0.8,South Atlantic,Atlantic,-4002,-27.33,-3.03,34.8676,1.7369,236.0128,NADW,Brazil basin,3.17
MP0262,SRR3967700,3809523.018,0.000971817,327026.7176,8.34E-05,23768503,0.006063394,3362333,0.000857738,17,0.2,South Atlantic,Atlantic,-4002,-27.33,-3.03,34.8676,1.7369,236.0128,NADW,Brazil basin,3.92
MP0326,SRR3967699,7827850.455,0.003034051,416954.0254,0.00016161,25503129,0.009884934,2994272,0.001160571,20,0.8,South Atlantic,Atlantic,-4001,-30.19,-9.12,34.8447,1.5802,227.6145,NADW,Brazil basin,2.58
MP0327,SRR3967690,6369583.927,0.001749886,628483.385,0.00017266,44289053,0.012167322,6527164,0.001793177,20,0.2,South Atlantic,Atlantic,-4001,-30.19,-9.12,34.8447,1.5802,227.6145,NADW,Brazil basin,3.64
MP0371,SRR3967558,10430878.68,0.002460113,434835.688,0.000102556,32398496,0.007641155,3934155,0.000927867,23,0.8,South Atlantic,Atlantic,-4003,-33.41,-15.83,34.8269,1.4542,223.0178,NADW,Brazil basin,4.24
MP0372,SRR3967319,7489528.897,0.001474317,711586.1297,0.000140076,56482645,0.011118631,7776619,0.001530831,23,0.2,South Atlantic,Atlantic,-4003,-33.41,-15.83,34.8269,1.4542,223.0178,NADW,Brazil basin,5.08
MP0440,SRR3967025,7772416.615,0.002292748,505307.8706,0.000149058,36284993,0.010703538,5500934,0.001622694,26,0.8,South Atlantic,Atlantic,-3907,-36.95,-22.97,34.7347,0.5836,208.8818,WSDW,Brazil basin,3.39
MP0441,SRR3966130,5397005.68,0.001686564,655325.3414,0.000204789,44480502,0.013900157,5922560,0.0018508,26,0.2,South Atlantic,Atlantic,-3907,-36.95,-22.97,34.7347,0.5836,208.8818,WSDW,Brazil basin,3.2
MP0555,SRR3965676,5575201.836,0.001769905,778068.2653,0.000247006,31257379,0.009922977,4017867,0.001275513,32,0.8,South Atlantic,Atlantic,-3199,-21.43,-26.91,34.9003,2.2513,230.776,NADW,Brazil basin,3.15
MP0556,SRR3965592,4903880.333,0.001581897,1109617.312,0.000357941,43780192,0.014122643,5242639,0.001691174,32,0.2,South Atlantic,Atlantic,-3199,-21.43,-26.91,34.9003,2.2513,230.776,NADW,Brazil basin,3.1
MP0626,SRR3965875,5789592.174,0.001843819,726265.3188,0.000231295,27318442,0.008700141,3394484,0.001081046,35,0.8,South Atlantic,Atlantic,-3662,-11.8,-28.62,34.8613,2.0761,220.6555,NADW,Out of basins,3.14
MP0627,SRR3965874,3264804.544,0.001316453,797297.5302,0.000321491,34286094,0.013825038,4035390,0.001627173,35,0.2,South Atlantic,Atlantic,-3662,-11.8,-28.62,34.8613,2.0761,220.6555,NADW,Out of basins,2.48
MP0739,SRR3965647,1939703.707,0.00144754,222553.9705,0.000166085,12737958,0.009505939,1452127,0.001083677,41,0.8,South Atlantic,Atlantic,-4001,6.84,-31.81,34.8047,1.4922,205.7978,NADW,Agulhas-Cape basin,1.34
MP0740,SRR3965758,3638152.367,0.001129861,847811.3804,0.000263295,45035907,0.013986307,6052099,0.001879534,41,0.2,South Atlantic,Atlantic,-4001,6.84,-31.81,34.8047,1.4922,205.7978,NADW,Agulhas-Cape basin,3.22
MP0758,SRR3965809,4006330.16,0.001628589,303807.6462,0.000123499,23539972,0.009569094,2627844,0.001068229,43,0.8,South Atlantic,Atlantic,-3900,12.7692,-32.8128,34.7503,0.9196,199.2961,WSDW,Agulhas-Cape basin,2.46
MP0759,SRR3965873,3542565.888,0.001045005,620468.86,0.000183029,46993909,0.01386251,6782076,0.002000612,43,0.2,South Atlantic,Atlantic,-3900,12.7692,-32.8128,34.7503,0.9196,199.2961,WSDW,Agulhas-Cape basin,3.39
MP0900,SRR3965585,3518335.559,0.001188627,162349.1647,5.48E-05,16656684,0.005627258,2708189,0.000914929,50,0.8,Indian Ocean,Indian,-4002,39.89,-33.55,34.7402,0.851,199.1923,WSDW,Agulhas-Cape basin,2.96
MP0901,SRR3965586,3746088.86,0.00120453,739276.1485,0.000237709,49338142,0.015864354,6413278,0.002062147,50,0.2,Indian Ocean,Indian,-4002,39.89,-33.55,34.7402,0.851,199.1923,WSDW,Agulhas-Cape basin,3.11
MP0959,SRR3964650,6461430.183,0.001794842,558998.9433,0.000155277,35684654,0.009912404,5787220,0.001607561,53,0.8,Indian Ocean,Indian,-3500,63.2478,-27.9783,34.7241,1.3208,164.9308,CDW,Madagascar basin,3.6
MP0960,SRR3963982,5944200.197,0.001733003,1205567.443,0.000351477,56982906,0.016613092,6317502,0.001841837,53,0.2,Indian Ocean,Indian,-3500,63.2478,-27.9783,34.7241,1.3208,164.9308,CDW,Madagascar basin,3.43
MP1091,SRR3963658,5342180.625,0.001653926,403967.8046,0.000125067,26972912,0.008350747,3614395,0.001119008,59,0.8,Indian Ocean,Indian,-4000,82.62,-29.81,34.7244,1.0745,176.0691,CDW,Mid Indian basin,3.23
MP1092,SRR3963622,3327151.012,0.001205489,670624.3992,0.00024298,37735771,0.013672381,5311963,0.001924624,59,0.2,Indian Ocean,Indian,-4000,82.62,-29.81,34.7244,1.0745,176.0691,CDW,Mid Indian basin,2.76
MP1140,SRR3963805,1258925.35,0.000404799,103975.7535,3.34E-05,8825459,0.002837768,1139933,0.000366538,62,0.8,Indian Ocean,Indian,-2400,92.9852,-29.6525,34.7266,1.8199,158.945,CDW,Out of basins,3.11
MP1141,SRR3963804,1351716.315,0.000337929,256894.6791,6.42E-05,23533738,0.005883435,2888860,0.000722215,62,0.2,Indian Ocean,Indian,-2400,92.9852,-29.6525,34.7266,1.8199,158.945,CDW,Out of basins,4
MP1201,SRR3963571,5051087.255,0.001718057,337146.1065,0.000114676,26793994,0.009113603,3972427,0.001351166,65,0.8,Indian Ocean,Indian,-4001,103.3075,-30.3327,34.7178,0.8069,186.0802,WSDW,South Australian basin,2.94
MP1202,SRR3963457,5275181.608,0.001437379,748771.8267,0.000204025,52924510,0.014420847,8228502,0.002242099,65,0.2,Indian Ocean,Indian,-4001,103.3075,-30.3327,34.7178,0.8069,186.0802,WSDW,South Australian basin,3.67
MP1241,SRR3963498,4848298.823,0.00171318,402633.4224,0.000142273,26056426,0.009207218,3762203,0.0013294,67,0.8,Indian Ocean,Indian,-4004,110.18,-31.16,34.7202,0.9869,174.3169,CDW,South Australian basin,2.83
