gene_callers_id,pnps,ocean,depth,bin,defense_count,sample_id,Trans_abun,scg_pnps_median,scg_count,MAG_pnps_median,total_count
192269,0.9313347550734756,ARS,SRF,ARS-1019,8.0,ERR599102,0.0025055463504885024,0.030703424557685318,29.0,0.035271712485872166,366.0
192269,1.0762069086906605,ARS,DCM,ARS-1019,5.0,ERR598949,0.007005099419276814,0.03312911865679938,24.0,0.03092930634772477,280.0
192269,0.9302186354677896,ARS,DCM,ARS-1019,11.0,ERR599028,0.0029053463711649643,0.03274346622517468,31.0,0.03665702100792528,474.0
192269,1.1159169856119102,ARS,DCM,ARS-1019,32.0,ERR599082,0.006795405761035672,0.04851756640017274,54.0,0.10406625418488866,2196.0
192269,0.8047654738464126,ARS,DCM,ARS-1019,15.0,ERR599145,0.006701831492253896,0.030738380009545818,32.0,0.0441712467820778,644.0
10138,0.14995031596305167,ARS,MES,ARS-34,35.0,ERR599062,0.04048446800641978,0.15929778476306,21.0,0.3121530888492709,1602.0
10347,0.6007472615404408,ARS,MES,ARS-34,35.0,ERR599062,0.04048446800641978,0.15929778476306,21.0,0.3121530888492709,1602.0
10350,1.928662131274831,ARS,MES,ARS-34,35.0,ERR599062,0.04048446800641978,0.15929778476306,21.0,0.3121530888492709,1602.0
10660,1.5808860632813382,ARS,MES,ARS-34,35.0,ERR599062,0.04048446800641978,0.15929778476306,21.0,0.3121530888492709,1602.0
10744,0.4236043626999441,ARS,MES,ARS-34,35.0,ERR599062,0.04048446800641978,0.15929778476306,21.0,0.3121530888492709,1602.0
11061,3.878034500815581,ARS,MES,ARS-34,35.0,ERR599062,0.04048446800641978,0.15929778476306,21.0,0.3121530888492709,1602.0
11079,0.2517689534435228,ARS,MES,ARS-34,35.0,ERR599062,0.04048446800641978,0.15929778476306,21.0,0.3121530888492709,1602.0
11097,0.1312483037104271,ARS,MES,ARS-34,35.0,ERR599062,0.04048446800641978,0.15929778476306,21.0,0.3121530888492709,1602.0
11098,0.4064825768309868,ARS,MES,ARS-34,35.0,ERR599062,0.04048446800641978,0.15929778476306,21.0,0.3121530888492709,1602.0
11280,0.18486112698831905,ARS,MES,ARS-34,35.0,ERR599062,0.04048446800641978,0.15929778476306,21.0,0.3121530888492709,1602.0
11473,3.60589654115956,ARS,MES,ARS-34,35.0,ERR599062,0.04048446800641978,0.15929778476306,21.0,0.3121530888492709,1602.0
12089,0.106132495628128,ARS,MES,ARS-34,35.0,ERR599062,0.04048446800641978,0.15929778476306,21.0,0.3121530888492709,1602.0
13049,0.3023862202876012,ARS,MES,ARS-34,35.0,ERR599062,0.04048446800641978,0.15929778476306,21.0,0.3121530888492709,1602.0
13116,0.16573398549402066,ARS,MES,ARS-34,35.0,ERR599062,0.04048446800641978,0.15929778476306,21.0,0.3121530888492709,1602.0
13337,0.5051407009676149,ARS,MES,ARS-1037,55.0,ERR594312,0.0140812244157894,0.07221242773078664,67.0,0.1250706333756154,2118.0
14251,0.07241751205567395,ARS,MES,ARS-1037,55.0,ERR594312,0.0140812244157894,0.07221242773078664,67.0,0.1250706333756154,2118.0
14516,0.07883207428010175,ARS,MES,ARS-1037,55.0,ERR594312,0.0140812244157894,0.07221242773078664,67.0,0.1250706333756154,2118.0
15587,0.11793497121213302,ARS,MES,ARS-1037,55.0,ERR594312,0.0140812244157894,0.07221242773078664,67.0,0.1250706333756154,2118.0
15615,0.07765219287698408,ARS,MES,ARS-1037,55.0,ERR594312,0.0140812244157894,0.07221242773078664,67.0,0.1250706333756154,2118.0
13406,0.14732242466392834,ARS,MES,ARS-1037,55.0,ERR594312,0.0140812244157894,0.07221242773078664,67.0,0.1250706333756154,2118.0
13425,0.12430138311900092,ARS,MES,ARS-1037,55.0,ERR594312,0.0140812244157894,0.07221242773078664,67.0,0.1250706333756154,2118.0
15165,0.038085941787784926,ARS,MES,ARS-1037,55.0,ERR594312,0.0140812244157894,0.07221242773078664,67.0,0.1250706333756154,2118.0
15681,0.09539982075850416,ARS,MES,ARS-1037,55.0,ERR594312,0.0140812244157894,0.07221242773078664,67.0,0.1250706333756154,2118.0
13337,0.4143449863841405,ARS,MES,ARS-1037,17.0,ERR594346,0.011284046065799629,0.047719940291965635,23.0,0.08163176677454004,705.0
14251,0.06622214059063775,ARS,MES,ARS-1037,17.0,ERR594346,0.011284046065799629,0.047719940291965635,23.0,0.08163176677454004,705.0
14516,0.09647951704885097,ARS,MES,ARS-1037,17.0,ERR594346,0.011284046065799629,0.047719940291965635,23.0,0.08163176677454004,705.0
15587,0.08310650376111417,ARS,MES,ARS-1037,17.0,ERR594346,0.011284046065799629,0.047719940291965635,23.0,0.08163176677454004,705.0
15615,0.07378359725380816,ARS,MES,ARS-1037,17.0,ERR594346,0.011284046065799629,0.047719940291965635,23.0,0.08163176677454004,705.0
13425,0.08785477387325362,ARS,MES,ARS-1037,17.0,ERR594346,0.011284046065799629,0.047719940291965635,23.0,0.08163176677454004,705.0
15033,0.08593081328246709,ARS,MES,ARS-1037,17.0,ERR594346,0.011284046065799629,0.047719940291965635,23.0,0.08163176677454004,705.0
15165,0.002835442096553775,ARS,MES,ARS-1037,17.0,ERR594346,0.011284046065799629,0.047719940291965635,23.0,0.08163176677454004,705.0
161709,0.12255223595579015,ARS,MES,ARS-1032,19.0,ERR599037,0.018417503259890344,0.056163285825130985,28.0,0.08044714622493092,803.0
159892,0.13630975562324962,ARS,MES,ARS-1032,19.0,ERR599037,0.018417503259890344,0.056163285825130985,28.0,0.08044714622493092,803.0
160305,1.2230411424698884,ARS,MES,ARS-1032,19.0,ERR599037,0.018417503259890344,0.056163285825130985,28.0,0.08044714622493092,803.0
160923,0.1813187736226609,ARS,MES,ARS-1032,19.0,ERR599037,0.018417503259890344,0.056163285825130985,28.0,0.08044714622493092,803.0
161266,0.1638316410779336,ARS,MES,ARS-1032,19.0,ERR599037,0.018417503259890344,0.056163285825130985,28.0,0.08044714622493092,803.0
161675,0.17766928719766825,ARS,MES,ARS-1032,19.0,ERR599037,0.018417503259890344,0.056163285825130985,28.0,0.08044714622493092,803.0
161709,0.12657945915025748,ARS,MES,ARS-1032,29.0,ERR599062,0.02009738678652261,0.05138748229230887,52.0,0.09309590562514347,2081.0
