bin,sample_id,depth,MAG_pnps_median,total_count,scg_pnps_median,scg_count,defense_pnps_median,defense_count,signal_CAZyme_abun
ARS-1,ERR594290,MES,0.15510225970512564,1200,0.1613003612646733,65,0.1312812106368743,16,0.0161435394465502
ARS-1,ERR594345,MES,0.1570965265369046,1261,0.1522567349362948,69,0.1183013497975868,17,0.0158347849350309
ARS-1,ERR594346,MES,0.1597726681956922,1141,0.1713723383765425,67,0.11451944134688,15,0.0159353089381163
ARS-1,ERR599031,MES,0.1411849244634072,1099,0.13050511195926662,58,0.0994278593778766,17,0.0157807556693122
ARS-1,ERR599037,MES,0.15418749620045735,1222,0.1557772151290583,69,0.1174818537922977,16,0.0172788727367388
ARS-1,ERR599062,MES,0.1430140918509556,1273,0.14286758990798104,72,0.13430108269262814,16,0.0158675688128918
ARS-1,ERR599109,MES,0.1591967944524792,1207,0.16235972405651683,68,0.1152179372322911,16,0.017090690422998
ARS-1,ERR599167,MES,0.1535069804382314,1209,0.15616426829270064,68,0.12495889147438251,16,0.0171422406603747
ARS-1,ERR599172,MES,0.15335478133860592,1196,0.15394133575487712,70,0.12803845614743614,16,0.0170827335817566
ARS-100,ERR599028,DCM,0.0511870758281096,1309,0.026582110785084,28,0.0603341653165086,17,0.0151266786823068
ARS-1009,ERR599028,DCM,0.0882220043496701,1901,0.0445302250322976,29,0.1110316496622787,29,0.0319315128121503
ARS-1009,ERR599102,SRF,0.0897017332725337,639,0.18354810194652765,6,0.0840754073512704,9,0.0321797393941178
ARS-1012,ERR599028,DCM,0.0809719125642074,2911,0.0306084412040687,61,0.0742047376503723,73,0.0189806758961208
ARS-1012,ERR599102,SRF,0.0599226880837614,1092,0.0473502741727441,13,0.03664189791928475,30,0.0187783337770259
ARS-1012,ERR599143,SRF,0.0613808079093123,1670,0.022232394606872152,26,0.0549810713136313,42,0.0191497478909422
ARS-1012,ERR599145,DCM,0.07310586350234895,1864,0.0732563170660973,35,0.0595768614657081,37,0.019863880225723
ARS-1019,ERR598949,DCM,0.0309293063477247,280,0.033129118656799295,24,0.0302249048115337,5,0.0443950081995233
ARS-1019,ERR599028,DCM,0.036657021007925256,474,0.0327434662251746,31,0.0357974438596446,11,0.0340663238762572
ARS-1019,ERR599082,DCM,0.10406625418488866,2196,0.0485175664001727,54,0.09440987126723245,32,0.0441776992996453
ARS-1019,ERR599102,SRF,0.035271712485872145,366,0.0307034245576853,29,0.045499155606714345,8,0.0378505214974005
ARS-1019,ERR599145,DCM,0.0441712467820778,644,0.03073838000954575,32,0.0346575588751688,15,0.0375346395303036
