bin,sample_id,depth,MAG_pnps_median,total_count,scg_pnps_median,scg_count,defense_pnps_median,defense_count,transposase_pnps_median,transposase_count,ocean,ratio_all_scg,ratio_all_MAG
ARS-1019,ERR598949,DCM,0.03092930634772477,280.0,0.03312911865679938,24.0,0.03022490481153372,5.0,1.0762069086906605,1.0,ARS,0.9123365195629917,0.9772254337594329
ARS-1019,ERR599028,DCM,0.036657021007925276,474.0,0.03274346622517468,31.0,0.03579744385964463,11.0,0.9302186354677896,1.0,ARS,1.093269833238422,0.976550818243119
ARS-1019,ERR599082,DCM,0.10406625418488866,2196.0,0.04851756640017274,54.0,0.09440987126723252,32.0,1.1159169856119102,1.0,ARS,1.9458904943529152,0.9072092774618352
ARS-1019,ERR599102,SRF,0.03527171248587217,366.0,0.030703424557685318,29.0,0.045499155606714387,8.0,0.9313347550734756,1.0,ARS,1.4818918821654887,1.2899616264716023
ARS-1019,ERR599145,DCM,0.0441712467820778,644.0,0.030738380009545818,32.0,0.034657558875168804,15.0,0.8047654738464126,1.0,ARS,1.1275011521233678,0.7846180807654015
ARS-1032,ERR599037,MES,0.08044714622493092,803.0,0.056163285825130985,28.0,0.10458544320187176,19.0,0.17075046413780093,6.0,ARS,1.8621674580705114,1.300051625317447
ARS-1032,ERR599062,MES,0.09309590562514347,2081.0,0.05138748229230887,52.0,0.11495658293964355,29.0,0.19112615042679215,11.0,ARS,2.237054197085056,1.2348188909888633
ARS-1032,ERR599167,MES,0.07478320596667543,482.0,0.04642749173239493,16.0,0.10614462600355257,14.0,0.18608783576270596,7.0,ARS,2.2862451113095523,1.4193644767095475
ARS-1037,ERR594312,MES,0.12507063337561541,2118.0,0.07221242773078664,67.0,0.12336862580806796,55.0,0.09539982075850416,9.0,ARS,1.7084126608787544,0.9863916291010061
ARS-1037,ERR594346,MES,0.08163176677454004,705.0,0.047719940291965635,23.0,0.07682828760088377,17.0,0.08451865852179063,8.0,ARS,1.6099828945892238,0.9411567412607512
ARS-11,ERR594312,MES,0.6804750911738663,385.0,0.04053119913882118,18.0,0.8313459738336684,12.0,1.0844814974785313,1.0,ARS,20.511260251301003,1.2217140415816536
ARS-16,ERR599037,MES,0.1710761411562145,600.0,0.12302052037513506,9.0,0.2319802378455893,8.0,0.37864137694914674,2.0,ARS,1.8857035975640144,1.356005789455828
ARS-16,ERR599167,MES,0.16763460754122195,421.0,0.13564217618613827,5.0,0.2146916174293913,6.0,0.32150444353740437,2.0,ARS,1.5827792170981945,1.2807117848657705
ARS-17,ERR599037,MES,0.21973411087659825,1081.0,0.10733509268264868,7.0,0.19621728544281347,43.0,0.16637219876803616,2.0,ARS,1.8280813901466273,0.8929759911195958
ARS-24,ERR599062,MES,0.06129298408393696,1925.0,0.023820469912756825,48.0,0.061151898423035186,50.0,0.13025644014748974,1.0,ARS,2.567199498876631,0.9976981760145898
ARS-27,ERR594345,MES,0.2452012277768023,1383.0,0.226942000413358,55.0,0.2141065179217358,21.0,0.3529030219253454,1.0,ARS,0.9434415733172206,0.8731869732586702
ARS-27,ERR599031,MES,0.1938436680328015,1215.0,0.2113442014613548,43.0,0.11662075800402355,18.0,0.04534647713711937,1.0,ARS,0.5518048623886573,0.6016227364429021
ARS-27,ERR599037,MES,0.19834493998206187,1379.0,0.1677240679520584,54.0,0.17031684408379444,22.0,0.0861191804918241,1.0,ARS,1.0154585812483223,0.8586901390032825
ARS-27,ERR599062,MES,0.2006096623769884,1441.0,0.1767121858909842,56.0,0.15268227554276084,23.0,0.09134079422364412,1.0,ARS,0.8640166764557613,0.7610913339549829
ARS-27,ERR599167,MES,0.2043623347925651,1370.0,0.1796891163087201,54.0,0.15427996853072806,20.0,0.09116606757892708,1.0,ARS,0.8585938408515678,0.754933479730145
ARS-27,ERR599172,MES,0.18525818141631484,1186.0,0.18867370027416971,38.0,0.1343470377853408,18.0,0.054469377830562896,1.0,ARS,0.7120602266776739,0.7251881496312123
ARS-3,ERR594312,MES,1.3075068887371049,2066.0,1.1170704907256561,20.0,1.3645690511938375,55.0,0.7755503887988977,8.0,ARS,1.2215603782599296,1.0436419593260025
ARS-34,ERR594345,MES,0.4913817099071477,664.0,0.1337502833772359,5.0,0.7037510505142901,16.0,0.34752437101239875,14.0,ARS,5.261678949340211,1.4321881265122223
ARS-34,ERR599062,MES,0.31215308884927095,1602.0,0.15929778476306,21.0,0.3297190379894548,35.0,0.35443439855929404,14.0,ARS,2.0698281428073835,1.0562735073515992
ARS-38,ERR594312,MES,0.7329938973719581,497.0,0.22416976249877152,6.0,0.23299121216179286,11.0,0.06365963678762071,1.0,ARS,1.03935164834316,0.3178624174050406
ARS-46,ERR599037,MES,0.17184278526090813,838.0,0.17519189031588217,8.0,0.1303874512243101,14.0,0.1666047613192039,6.0,ARS,0.7442550622018702,0.758760113357936
ARS-46,ERR599062,MES,0.1549161104186709,831.0,0.112252668199704,7.0,0.1510367370919685,18.0,0.1823327386309639,6.0,ARS,1.3455068776028145,0.974958231805471
ARS-46,ERR599109,MES,0.13855079194175673,497.0,0.07275264678558094,5.0,0.10434856440938994,12.0,0.17356561859666064,6.0,ARS,1.434292345636985,0.7531430383541615
ARS-46,ERR599167,MES,0.17943875331165482,847.0,0.23751516826731894,6.0,0.13610371194577608,16.0,0.16256855298821107,5.0,ARS,0.5730316633613642,0.7584967540951809
ARS-46,ERR599172,MES,0.13657200722237356,541.0,0.1911961790444041,6.0,0.1032909317557504,11.0,0.15600508401416696,5.0,ARS,0.5402353345762299,0.7563111493819286
ARS-7,ERR594345,MES,0.055563847108819085,65.0,0.1750422300127688,5.0,0.06307891569539609,2.0,0.04778202108154346,4.0,ARS,0.36036398582670404,1.1352510486154623
CPC-1,ERR598971,MES,0.1554242555933844,2310.0,0.11539223796843638,65.0,0.17527428929259736,41.0,0.17873570667698707,1.0,CPC,1.5189434954935246,1.1277151601815867
CPC-1,ERR599067,MES,0.14635478217785292,1944.0,0.1014505187250857,57.0,0.18598968732060836,33.0,0.1987767721320731,1.0,CPC,1.8333044488871464,1.2708138712856707
CPC-1,ERR599128,MES,0.14474815040088473,1940.0,0.11821164046451405,49.0,0.16884188407510542,33.0,0.1521872926819744,1.0,CPC,1.4283016749589061,1.1664527913309586
CPC-1,ERR599132,MES,0.15051008316034215,2244.0,0.11691952622032807,65.0,0.23536201912493016,39.0,0.21752188005971754,1.0,CPC,2.0130257685222235,1.5637624681543305
CPC-12,ERR599346,MES,0.06440011465038673,1912.0,0.04849429945817345,26.0,0.08762446040199147,49.0,0.0954291536981542,1.0,CPC,1.8069022829697325,1.3606258448091952
CPC-14,ERR598965,DCM,0.046656611780916526,168.0,0.06389190110370173,11.0,0.09148824272523733,5.0,0.16281428091557093,1.0,CPC,1.4319223742731415,1.9608848399629786
CPC-14,ERR598971,MES,0.029779107449334225,1203.0,0.02990363166258822,43.0,0.03281864045009118,40.0,0.013584623996490137,4.0,CPC,1.097480092732344,1.102069311712192
CPC-16,ERR599064,SRF,0.07665548221422666,844.0,0.07277119339323168,21.0,0.033126847685532645,24.0,0.14965090251372998,1.0,CPC,0.45521924460584307,0.43215236182265593
CPC-2,ERR599132,MES,0.09498036590238754,54.0,0.04953737519406179,6.0,0.16976055182334476,2.0,0.10074606412558612,1.0,CPC,3.4269185873960986,1.7873225714650303
CPC-27,ERR598965,DCM,0.1687646892267818,2787.0,0.0934612998591531,59.0,0.1521659775352956,70.0,0.3703272082263815,3.0,CPC,1.6281174963820415,0.9016458255128164
CPC-27,ERR599064,SRF,0.14869153161751802,315.0,0.11001885461794136,5.0,0.14096889236108148,4.0,0.900982834994466,1.0,CPC,1.2813157603814296,0.9480626827067622
CPC-28,ERR598965,DCM,0.1086139721627484,805.0,0.07133701226985276,16.0,0.13060554123040102,16.0,0.11113433400252734,6.0,CPC,1.8308243795850045,1.2024745861858381
CPC-28,ERR598971,MES,0.026977338813736332,316.0,0.06454887712920708,15.0,0.05501263491859251,3.0,0.08377087684655367,5.0,CPC,0.8522632362523374,2.0392165179235975
CPC-294,ERR598971,MES,0.08574734094743833,2440.0,0.026287223402475045,51.0,0.09959614466369304,67.0,0.07624240788202492,3.0,CPC,3.7887662435400338,1.1615070923860344
CPC-294,ERR599132,MES,0.07346258533495834,256.0,0.03382613333208229,24.0,0.07266445153222308,9.0,0.7521808099270049,1.0,CPC,2.14817492791305,0.9891355062022918
CPC-320,ERR594325,SRF,0.14002821100306573,3112.0,0.04982926372376204,66.0,0.1650534886725332,57.0,0.4954060314837304,4.0,CPC,3.3123806441840773,1.1787159708047656
CPC-320,ERR598965,DCM,0.09927300022835012,2258.0,0.030119149313957854,40.0,0.15267484182943802,42.0,0.4061839318060122,3.0,CPC,5.069029016655701,1.5379291597740747
CPC-320,ERR598994,SRF,0.09315617225228197,2407.0,0.02361584798476052,41.0,0.1563094183630695,43.0,1.048716197428926,2.0,CPC,6.618835726921054,1.6779287360558175
CPC-320,ERR599144,SRF,0.09281575246686471,2438.0,0.0272344554669454,40.0,0.12908296193713725,48.0,0.903647977976842,3.0,CPC,4.739693146933153,1.3907441194663583
CPC-327,ERR598965,DCM,0.043452125375697884,235.0,0.06969744544633337,21.0,0.0750207808154736,2.0,0.029814757457212893,2.0,CPC,1.076377768726677,1.7265157956446382
CPC-327,ERR598971,MES,0.03138679282832012,485.0,0.041039332956503874,38.0,0.057135073994095474,7.0,0.02894776713191923,3.0,CPC,1.3922027937113624,1.8203540038835326
CPC-327,ERR599007,DCM,0.02400249892278434,124.0,0.033021099435036755,20.0,0.2331455806711095,1.0,0.0,2.0,CPC,7.060503273968291,9.713387819373938
CPC-327,ERR599055,MES,0.02359628099199383,97.0,0.049577195984728505,17.0,0.12114864275115575,1.0,0.0696729402474337,1.0,CPC,2.4436364410055327,5.134226143190159
CPC-327,ERR599064,SRF,0.041602217831456095,237.0,0.056040778027563215,29.0,0.11789859117251521,4.0,0.07989908365926453,2.0,CPC,2.103800042078783,2.8339496622550304
CPC-327,ERR599067,MES,0.02356709444475167,248.0,0.03889441999598652,29.0,0.06436774502937147,2.0,0.023734447105666613,2.0,CPC,1.654935207569968,2.731255020862616
CPC-327,ERR599128,MES,0.01775396275375892,232.0,0.042224973730815435,31.0,0.039705484323792166,1.0,0.014680894183631795,2.0,CPC,0.94033177088315,2.236429403085551
