bin,ERR598975,ERR599061,ERR599097,ERR599111
RS-342,0.005887154538849891,0.02869423822197572,0.035267514502233095,0.005239914481680698
RS-355,0.0,0.0,0.0,0.0011755897909397697
RS-363,0.0003828384994420594,0.0,0.0,0.0003868347592266683
RS-364,0.0032029870282395193,0.0030150349378516065,0.0038703590194242767,0.0032525719907455846
RS-367,0.00074583971952128,0.0007502573630258616,0.000824649820653719,0.0008019210174037308
RS-372,0.004012308025466764,0.0,0.0,0.004321508473254685
RS-376,0.00014018710569812756,0.00011684252558921035,9.347927551149376e-05,2.784115892155192e-05
RS-382,0.00013857159427879432,0.00033860497220176993,0.0003899596443548276,0.0001797548394561042
RS-383,0.0001947104324176617,0.00025197644524946143,0.000223180321659101,0.00021534453840888948
RS-388,0.00030149397386458366,9.772485377788886e-05,0.0001557965599973879,0.00027483815841101094
RS-423,0.00019010657991376357,0.0001858488268897876,0.0002756494240709827,0.0001521167070994059
RS-426,0.00022583701888588187,0.00026096972118319807,0.00023408975060501536,0.00021969972322078907
RS-447,0.0004345377309194002,0.0,0.0001542272118898254,0.0003598592587703726
RS-456,0.0012376833315844297,0.0010348046270425688,0.0011488057379447165,0.0013398924766922636
RS-458,0.0003596190790685519,0.00010325605464860394,0.0001316046288159686,0.00029335989764638337
RS-615,0.0005942663504660207,0.0005098472276497411,0.0005480358069888339,0.0005076585280291984
RS-665,0.0007899530394351532,0.0005197146832378982,0.0007674262712228821,0.0007719460841960658
RS-821,0.0005204927037357313,0.00045074620726579103,0.0005162226474327933,0.0005236079308758712
RS-822,0.00042059305615626196,0.00048565064929948393,0.0005111095063550714,0.0004494938181688858
