0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
14378,ARS-1037,58668,27314,28160,complete,ARS,0.21687429129783453,ERR594312,MES,L,"Replication, recombination and repair",0,MES,0.1250706333756154,2118.0,0.07221242773078664,67.0,0.12336862580806796,55.0,0.09539982075850416,9.0,0.00393347325120628
15587,ARS-1037,MHASMcontig_391753,1754,2699,complete,ARS,0.11793497121213302,ERR594312,MES,X,"Mobilome: prophages, transposons",0,MES,0.1250706333756154,2118.0,0.07221242773078664,67.0,0.12336862580806796,55.0,0.09539982075850416,9.0,0.00393347325120628
15589,ARS-1037,MHASMcontig_391753,3619,4465,complete,ARS,0.42479557772584464,ERR594312,MES,L,"Replication, recombination and repair",0,MES,0.1250706333756154,2118.0,0.07221242773078664,67.0,0.12336862580806796,55.0,0.09539982075850416,9.0,0.00393347325120628
15587,ARS-1037,MHASMcontig_391753,1754,2699,complete,ARS,0.0,ERR598949,DCM,X,"Mobilome: prophages, transposons",0,DCM,0.0,1.0,nan,nan,nan,nan,0.0,1.0,0.004060631210320775
15587,ARS-1037,MHASMcontig_391753,1754,2699,complete,ARS,0.06294645750522296,ERR599082,DCM,X,"Mobilome: prophages, transposons",0,DCM,0.08053021554164175,26.0,nan,nan,0.06913533142593524,1.0,0.0844666723250765,5.0,0.003464950610212695
15587,ARS-1037,MHASMcontig_391753,1754,2699,complete,ARS,0.08574443362212719,ERR594345,MES,X,"Mobilome: prophages, transposons",0,MES,0.11489768486469228,9.0,0.05537493518254569,1.0,nan,nan,0.08574443362212719,1.0,0.002329003059714833
15587,ARS-1037,MHASMcontig_391753,1754,2699,complete,ARS,0.08310650376111417,ERR594346,MES,X,"Mobilome: prophages, transposons",0,MES,0.08163176677454004,705.0,0.047719940291965635,23.0,0.07682828760088377,17.0,0.08451865852179062,8.0,0.0039462740059409826
143388,ARS-95,MHASMcontig_411919,1,1045,In0,ARS,0.108953628179904,ERR594290,MES,L,"Replication, recombination and repair",0,MES,0.20975872838071472,237.0,0.3593961522695317,3.0,0.2902535293005554,7.0,nan,nan,0.004796856684845518
143388,ARS-95,MHASMcontig_411919,1,1045,In0,ARS,0.11710787940448045,ERR594345,MES,L,"Replication, recombination and repair",0,MES,0.23279289576452136,333.0,0.2663717177426373,5.0,0.5591806132666148,11.0,nan,nan,0.004903554433971785
143388,ARS-95,MHASMcontig_411919,1,1045,In0,ARS,0.1106335316808312,ERR594346,MES,L,"Replication, recombination and repair",0,MES,0.21056211235407504,304.0,0.32322292732901137,5.0,0.21625268825655625,8.0,nan,nan,0.004777893271352278
143388,ARS-95,MHASMcontig_411919,1,1045,In0,ARS,0.10681977263876996,ERR599031,MES,L,"Replication, recombination and repair",0,MES,0.15844063947592085,195.0,0.2882844612805939,4.0,0.1133482835154274,6.0,nan,nan,0.005040364476827817
143388,ARS-95,MHASMcontig_411919,1,1045,In0,ARS,0.09806588437881532,ERR599037,MES,L,"Replication, recombination and repair",0,MES,0.15799936876713822,246.0,0.23694053046654465,4.0,0.17949963078051626,6.0,nan,nan,0.0045521007339065535
143388,ARS-95,MHASMcontig_411919,1,1045,In0,ARS,0.1682588242689164,ERR599062,MES,L,"Replication, recombination and repair",0,MES,0.14582647979398067,235.0,0.2516200923612237,4.0,0.18734792923035054,6.0,nan,nan,0.004998732809541479
143388,ARS-95,MHASMcontig_411919,1,1045,In0,ARS,0.0928766457449276,ERR599109,MES,L,"Replication, recombination and repair",0,MES,0.15759671747595486,228.0,0.31054035640883604,3.0,0.1738559298690366,5.0,nan,nan,0.0045656357343643395
143388,ARS-95,MHASMcontig_411919,1,1045,In0,ARS,0.09400731635646717,ERR599167,MES,L,"Replication, recombination and repair",0,MES,0.16008169255366686,252.0,0.29155835576002354,3.0,0.2309721145499132,7.0,nan,nan,0.004597425654684194
143388,ARS-95,MHASMcontig_411919,1,1045,In0,ARS,0.09760949107797824,ERR599172,MES,L,"Replication, recombination and repair",0,MES,0.15698162122135967,230.0,0.32314836721130924,3.0,0.15538995726982632,5.0,nan,nan,0.004664508083213585
49648,CPC-8,MHASMcontig_742984,991,1984,complete,CPC,0.11920534521227018,ERR599346,MES,L,"Replication, recombination and repair",0,MES,0.05989925617403246,3059.0,0.031823107173408666,53.0,0.05778964968171866,52.0,0.12911634186303764,5.0,0.005854625699531145
68491,CPC-48,25101,1440,2409,In0,CPC,1.0802180332225635,ERR599064,SRF,L,"Replication, recombination and repair",0,SRF,0.0774823329730557,81.0,0.05125074918469015,6.0,0.06322526954560324,1.0,0.076706373552388,7.0,0.003953679553300145
68491,CPC-48,25101,1440,2409,In0,CPC,2.9994855654550427,ERR598971,MES,L,"Replication, recombination and repair",0,MES,0.06025282786986382,3091.0,0.04691453109447697,65.0,0.06717703530743281,79.0,0.08268451075036119,15.0,0.003983617977891495
70373,CPC-48,MHASMcontig_120922,3781,4324,CALIN,CPC,0.4662992602459382,ERR598971,MES,Q,"Secondary metabolites biosynthesis, transport and catabolism",0,MES,0.06025282786986382,3091.0,0.04691453109447697,65.0,0.06717703530743281,79.0,0.08268451075036119,15.0,0.003983617977891495
70374,CPC-48,MHASMcontig_120922,4411,4798,CALIN,CPC,0.0,ERR598971,MES,Q,"Secondary metabolites biosynthesis, transport and catabolism",0,MES,0.06025282786986382,3091.0,0.04691453109447697,65.0,0.06717703530743281,79.0,0.08268451075036119,15.0,0.003983617977891495
70375,CPC-48,MHASMcontig_120922,4953,5427,CALIN,CPC,0.11701104520481286,ERR598971,MES,J!!!O,"Translation, ribosomal structure and biogenesis",0,MES,0.06025282786986382,3091.0,0.04691453109447697,65.0,0.06717703530743281,79.0,0.08268451075036119,15.0,0.003983617977891495
70375,CPC-48,MHASMcontig_120922,4953,5427,CALIN,CPC,0.11701104520481286,ERR598971,MES,J!!!O,"Posttranslational modification, protein turnover, chaperones",0,MES,0.06025282786986382,3091.0,0.04691453109447697,65.0,0.06717703530743281,79.0,0.08268451075036119,15.0,0.003983617977891495
73258,CPC-6,92276,794,1838,CALIN,CPC,0.042253047243732314,ERR598965,DCM,X,"Mobilome: prophages, transposons",0,DCM,0.050461033219654484,15.0,0.048599183595191664,3.0,nan,nan,0.04225304724373232,1.0,0.002502524461548245
186755,CPC-12,118202,145243,146083,CALIN,CPC,0.12976369724288914,ERR599346,MES,O,"Posttranslational modification, protein turnover, chaperones",0,MES,0.06440011465038673,1912.0,0.04849429945817345,26.0,0.08762446040199147,49.0,0.0954291536981542,1.0,0.0031308518271743017
191743,CPC-69,MHASMcontig_743989,17060,17864,CALIN,CPC,0.1312975432392264,ERR599346,MES,L,"Replication, recombination and repair",0,MES,0.0935425532741558,45.0,nan,nan,0.056329044870129415,1.0,0.030979014096225117,4.0,0.00605423809178913
222838,CPC-45,13884,2055,3021,complete,CPC,0.47940738990455395,ERR598965,DCM,L,"Replication, recombination and repair",0,DCM,0.05630642718955652,1411.0,0.04265399226620482,24.0,0.0738994056932494,34.0,0.09088895701001952,3.0,0.004083193654447261
60551,MED-668,MHASMcontig_6913,846,1815,complete,MED,0.04954230284019595,ERR315856,DCM,L,"Replication, recombination and repair",0,DCM,0.672496323291201,2611.0,0.09968580746241383,36.0,0.7579763348012515,76.0,0.7946996423607401,17.0,0.021726839978905784
61659,MED-668,MHASMcontig_40304,5895,8358,CALIN,MED,0.8183343962640095,ERR315856,DCM,Q,"Secondary metabolites biosynthesis, transport and catabolism",0,DCM,0.672496323291201,2611.0,0.09968580746241383,36.0,0.7579763348012515,76.0,0.7946996423607401,17.0,0.021726839978905784
61661,MED-668,MHASMcontig_40304,9636,12123,CALIN,MED,0.9174475299621122,ERR315856,DCM,E,Amino acid transport and metabolism,0,DCM,0.672496323291201,2611.0,0.09968580746241383,36.0,0.7579763348012515,76.0,0.7946996423607401,17.0,0.021726839978905784
62929,MED-668,5610,177618,178125,In0,MED,1.0719681675129349,ERR315856,DCM,L,"Replication, recombination and repair",0,DCM,0.672496323291201,2611.0,0.09968580746241383,36.0,0.7579763348012515,76.0,0.7946996423607401,17.0,0.021726839978905784
86666,MED-592,34096,3551,4994,CALIN,MED,0.11170695210254383,ERR315858,SRF,X,"Mobilome: prophages, transposons",0,SRF,0.2637737333602511,15.0,nan,nan,nan,nan,0.08479725604488958,2.0,0.014918178328932994
86666,MED-592,34096,3551,4994,CALIN,MED,0.11911329086825898,ERR315861,SRF,X,"Mobilome: prophages, transposons",0,SRF,0.27604512195939857,14.0,nan,nan,nan,nan,0.0683030011192607,2.0,0.01316478155749005
