bin,sample_id,depth,MAG_pnps_median,total_count,scg_pnps_median,scg_count,defense_pnps_median,defense_count,transposase_pnps_median,transposase_count,signal_CAZyme_abun
ARS-1,ERR594290,MES,0.15510225970512567,1200.0,0.1613003612646733,65.0,0.13128121063687437,16.0,,,-1.0
ARS-1,ERR594312,MES,0.1268123091875908,373.0,0.06712635428145658,8.0,0.30716198954291996,4.0,,,-1.0
ARS-1,ERR594345,MES,0.15709652653690465,1261.0,0.1522567349362948,69.0,0.11830134979758683,17.0,,,-1.0
ARS-1,ERR594346,MES,0.15977266819569225,1141.0,0.17137233837654256,67.0,0.11451944134688002,15.0,,,-1.0
ARS-1,ERR598949,DCM,0.047575876889040934,17.0,0.002267048381893388,1.0,,,,,-1.0
ARS-1,ERR598966,SRF,0.06405207530784332,33.0,0.07212017712019493,2.0,,,,,-1.0
ARS-1,ERR598974,DCM,0.060030733027180413,79.0,0.0027474971835289817,2.0,0.26109838189466705,1.0,,,-1.0
ARS-1,ERR599028,DCM,0.061400773706133456,116.0,0.054709226822360714,2.0,,,,,-1.0
ARS-1,ERR599031,MES,0.14118492446340727,1099.0,0.13050511195926662,58.0,0.09942785937787668,17.0,,,-1.0
ARS-1,ERR599037,MES,0.1541874962004574,1222.0,0.1557772151290583,69.0,0.1174818537922977,16.0,,,-1.0
ARS-1,ERR599062,MES,0.14301409185095562,1273.0,0.1428675899079811,72.0,0.1343010826926282,16.0,,,-1.0
ARS-1,ERR599082,DCM,0.05422436271758439,108.0,0.0638988641737213,2.0,,,,,-1.0
ARS-1,ERR599102,SRF,0.04642487648779235,69.0,0.07174672522137109,2.0,,,,,-1.0
ARS-1,ERR599109,MES,0.15919679445247925,1207.0,0.1623597240565169,68.0,0.11521793723229115,16.0,,,-1.0
ARS-1,ERR599143,SRF,0.06135904548209535,65.0,0.05982551779208779,2.0,,,,,-1.0
ARS-1,ERR599145,DCM,0.052592471320102176,66.0,0.08280258934538028,2.0,,,,,-1.0
ARS-1,ERR599158,SRF,0.05324705919925983,25.0,0.0022328173687924504,1.0,,,,,-1.0
ARS-1,ERR599167,MES,0.1535069804382314,1209.0,0.15616426829270066,68.0,0.12495889147438258,16.0,,,-1.0
ARS-1,ERR599172,MES,0.15335478133860592,1196.0,0.15394133575487717,70.0,0.12803845614743622,16.0,,,-1.0
ARS-100,ERR598966,SRF,0.09574161388069972,1.0,,,,,,,0.0038547229885166007
ARS-100,ERR598974,DCM,0.051723265793306814,16.0,0.06006606884814676,2.0,,,,,0.004322369052682188
ARS-100,ERR599028,DCM,0.051187075828109614,1309.0,0.02658211078508404,28.0,0.0603341653165086,17.0,,,0.00421748145214811
ARS-100,ERR599082,DCM,0.11741956540567294,3.0,,,,,,,0.002449983847437933
ARS-100,ERR599102,SRF,0.024071231639998907,74.0,0.005794309590897016,10.0,,,,,0.003958980778309413
ARS-100,ERR599143,SRF,0.018393747681314694,12.0,,,,,,,0.003917536097959139
ARS-100,ERR599145,DCM,0.06867624259953338,3.0,,,,,,,0.002784154453191553
ARS-100,ERR599158,SRF,0.14509685551893686,2.0,,,,,,,0.003865978438172707
ARS-1004,ERR594330,SRF,0.2262093409764252,5.0,,,,,,,0.02331605193926382
ARS-1004,ERR594334,SRF,0.014095848621314263,2.0,,,,,,,0.02405078568644811
ARS-1004,ERR598949,DCM,0.1963747965610335,4.0,,,,,,,0.008488911946204238
ARS-1004,ERR598966,SRF,0.12700068730606498,5.0,,,,,,,0.01439760485965546
ARS-1004,ERR598974,DCM,0.13656282737491648,6.0,,,,,,,0.014734909435930197
ARS-1004,ERR599028,DCM,0.067168307100448,128.0,0.03308527120126242,2.0,0.050771282976882624,3.0,,,0.01585646526142613
ARS-1004,ERR599082,DCM,0.09816501537661129,16.0,,,,,,,0.012515547993573451
ARS-1004,ERR599102,SRF,0.06898196120191866,48.0,0.2416890783398681,1.0,,,,,0.012630293772840187
ARS-1004,ERR599143,SRF,0.10396794026395634,12.0,,,,,,,0.013987649376785124
