Subject	Readcount	Correct_bases	Incorrect_bases	Total_bases	Subjlen	Coverage	Percent_ID
protist-Lithomelissa_setosa-1197019at2759-S1	983	461	178	639	639	100.0	72.14
protist-Amphilonche_elongata-1479417at2759-S1	4	378	7	385	1689	22.79	98.18
greenalgae-Chloropicon_roscoffensis-1258856at2759-S1	2	110	1	111	3320	3.34	99.1
protist-Thalassiothrix_antarctica-817008at2759-S1	2	165	5	170	2118	8.03	97.06
protist-Thalassiothrix_antarctica-836599at2759-S1	1	96	5	101	1532	6.59	95.05
greenalgae-Prasinoderma_singulare-97116at2759-S1	23	966	7	973	3621	26.87	99.28
greenalgae-Prasinoderma_singulare-100698at2759-S1	5	417	1	418	2719	15.37	99.76
greenalgae-Prasinoderma_singulare-179362at2759-S1	8	484	1	485	3972	12.21	99.79
greenalgae-Prasinoderma_singulare-245208at2759-S1	10	734	2	736	2958	24.88	99.73
greenalgae-Prasinoderma_singulare-261328at2759-S1	9	499	3	502	2205	22.77	99.4
greenalgae-Prasinoderma_singulare-331411at2759-S1	26	1499	7	1506	2377	63.36	99.54
greenalgae-Prasinoderma_singulare-355408at2759-S1	3	285	1	286	2469	11.58	99.65
greenalgae-Prasinoderma_singulare-388820at2759-S1	8	761	3	764	3132	24.39	99.61
greenalgae-Prasinoderma_singulare-390348at2759-S1	28	1757	7	1764	3007	58.66	99.6
greenalgae-Prasinoderma_singulare-392369at2759-S1	41	1348	8	1356	1647	82.33	99.41
greenalgae-Prasinoderma_singulare-418107at2759-S1	4	358	0	358	1365	26.23	100.0
greenalgae-Prasinoderma_singulare-426305at2759-S1	11	823	5	828	2152	38.48	99.4
greenalgae-Prasinoderma_singulare-491869at2759-S1	17	849	8	857	1675	51.16	99.07
greenalgae-Prasinoderma_singulare-513979at2759-S1	14	969	6	975	1797	54.26	99.38
greenalgae-Prasinoderma_singulare-543764at2759-S1	10	635	2	637	1284	49.61	99.69
greenalgae-Prasinoderma_singulare-549762at2759-S1	6	537	2	539	2120	25.42	99.63
greenalgae-Prasinoderma_singulare-604979at2759-S1	7	526	4	530	1519	34.89	99.25
greenalgae-Prasinoderma_singulare-664730at2759-S1	22	993	9	1002	1197	83.71	99.1
greenalgae-Prasinoderma_singulare-692986at2759-S1	8	695	4	699	2145	32.59	99.43
greenalgae-Prasinoderma_singulare-720340at2759-S1	10	442	4	446	1471	30.32	99.1
greenalgae-Prasinoderma_singulare-734666at2759-S1	4	162	1	163	1647	9.9	99.39
greenalgae-Prasinoderma_singulare-751335at2759-S1	21	911	7	918	1494	61.45	99.24
greenalgae-Prasinoderma_singulare-759498at2759-S1	2	182	2	184	2400	7.67	98.91
greenalgae-Prasinoderma_singulare-817008at2759-S1	4	379	0	379	1245	30.44	100.0
greenalgae-Prasinoderma_singulare-834694at2759-S1	8	554	2	556	1947	28.56	99.64
greenalgae-Prasinoderma_singulare-866359at2759-S1	41	961	6	967	1074	90.04	99.38
greenalgae-Prasinoderma_singulare-887370at2759-S1	6	386	1	387	1730	22.37	99.74
greenalgae-Prasinoderma_singulare-917326at2759-S1	9	681	2	683	1942	35.17	99.71
greenalgae-Prasinoderma_singulare-918816at2759-S1	10	623	5	628	1368	45.91	99.2
greenalgae-Prasinoderma_singulare-919955at2759-S1	14	730	10	740	1188	62.29	98.65
greenalgae-Prasinoderma_singulare-931188at2759-S1	1	89	3	92	1386	6.64	96.74
greenalgae-Prasinoderma_singulare-937686at2759-S1	29	1294	9	1303	1515	86.01	99.31
greenalgae-Prasinoderma_singulare-944899at2759-S1	8	613	3	616	1129	54.56	99.51
greenalgae-Prasinoderma_singulare-975158at2759-S1	5	489	3	492	1341	36.69	99.39
greenalgae-Prasinoderma_singulare-975557at2759-S1	6	552	3	555	2420	22.93	99.46
greenalgae-Prasinoderma_singulare-976469at2759-S1	37	931	6	937	1005	93.23	99.36
greenalgae-Prasinoderma_singulare-1032689at2759-S1	3	255	2	257	1056	24.34	99.22
greenalgae-Prasinoderma_singulare-1038775at2759-S1	50	889	12	901	915	98.47	98.67
greenalgae-Prasinoderma_singulare-1076134at2759-S1	24	661	5	666	804	82.84	99.25
greenalgae-Prasinoderma_singulare-1079827at2759-S1	11	634	6	640	783	81.74	99.06
greenalgae-Prasinoderma_singulare-1087488at2759-S1	2	174	0	174	1449	12.01	100.0
greenalgae-Prasinoderma_singulare-1096688at2759-S1	1	75	0	75	1050	7.14	100.0
greenalgae-Prasinoderma_singulare-1138059at2759-S1	9	339	9	348	876	39.73	97.41
greenalgae-Prasinoderma_singulare-1157302at2759-S1	12	464	6	470	738	63.69	98.72
greenalgae-Prasinoderma_singulare-1161199at2759-S1	54	824	10	834	864	96.53	98.8
greenalgae-Prasinoderma_singulare-1178688at2759-S1	27	561	5	566	644	87.89	99.12
greenalgae-Prasinoderma_singulare-1182451at2759-S1	8	424	2	426	975	43.69	99.53
greenalgae-Prasinoderma_singulare-1194691at2759-S1	29	981	8	989	1164	84.97	99.19
greenalgae-Prasinoderma_singulare-1194797at2759-S1	32	1612	13	1625	2190	74.2	99.2
greenalgae-Prasinoderma_singulare-1228942at2759-S1	28	762	8	770	813	94.71	98.96
greenalgae-Prasinoderma_singulare-1233814at2759-S1	1	100	0	100	582	17.18	100.0
greenalgae-Prasinoderma_singulare-1249159at2759-S1	5	323	1	324	624	51.92	99.69
