Subject	Readcount	Correct_bases	Incorrect_bases	Total_bases	Subjlen	Coverage	Percent_ID
other_MGCollapse_EASP3-111	2	187	4	191	2940	6.5	97.91
other_MGCollapse_EASP3-167	2	150	3	153	2358	6.49	98.04
other_MGCollapse_EASP3-268	2	194	1	195	1680	11.61	99.49
other_MGCollapse_EASP3-100	2	108	0	108	3123	3.46	100.0
other_MGCollapse_EASP3-99	2	171	1	172	3141	5.48	99.42
other_MGCollapse_EASP3-436	4	133	5	138	1122	12.3	96.38
other_MGCollapse_EASP3-152	2	151	0	151	2547	5.93	100.0
other_MGCollapse_EASP3-692	1	101	0	101	498	20.28	100.0
other_MGCollapse_EASP3-617	2	106	4	110	648	16.98	96.36
protist-Thalassionema_frauenfeldii-491869at2759-S1	15	732	20	752	1593	47.21	97.34
protist-Thalassionema_frauenfeldii-865202at2759-S1	14	423	13	436	996	43.78	97.02
protist-Thalassionema_frauenfeldii-866359at2759-S1	17	510	6	516	1026	50.29	98.84
protist-Thalassionema_frauenfeldii-939345at2759-S1	1	98	3	101	900	11.22	97.03
protist-Thalassionema_frauenfeldii-1010730at2759-S1	10	609	7	616	1713	35.96	98.86
protist-Thalassionema_frauenfeldii-1030907at2759-S1	5	362	8	370	1198	30.88	97.84
protist-Thalassionema_frauenfeldii-1157302at2759-S1	2	143	4	147	771	19.07	97.28
protist-Thalassionema_frauenfeldii-1194691at2759-S1	5	281	7	288	1251	23.02	97.57
protist-Thalassionema_frauenfeldii-1194797at2759-D2	18	1113	21	1134	2142	52.94	98.15
protist-Thalassionema_frauenfeldii-1257440at2759-S1	2	133	5	138	606	22.77	96.38
protist-Thalassionema_frauenfeldii-1421503at2759-S1	1	98	3	101	678	14.9	97.03
protist-Thalassionema_frauenfeldii-1474000at2759-S1	2	108	4	112	978	11.45	96.43
protist-Thalassionema_frauenfeldii-1479417at2759-D1	2	136	3	139	1686	8.24	97.84
protist-Paraphysomonas_bandaiensis-817008at2759-S1	26	656	2	658	1344	48.96	99.7
protist-Paraphysomonas_bandaiensis-1161199at2759-S1	8	328	2	330	903	36.54	99.39
protist-Paraphysomonas_bandaiensis-1513531at2759-S1	10	449	3	452	870	51.95	99.34
protist-Leptocylindrus_danicus-87842at2759-S1	2	105	2	107	3793	2.82	98.13
protist-Leptocylindrus_danicus-156083at2759-D1	2	120	2	122	7134	1.71	98.36
protist-Leptocylindrus_danicus-156083at2759-D2	1	101	0	101	6621	1.53	100.0
protist-Leptocylindrus_danicus-245208at2759-D3	2	112	1	113	3429	3.3	99.12
protist-Leptocylindrus_danicus-257318at2759-S1	23	940	25	965	2288	42.18	97.41
protist-Leptocylindrus_danicus-324863at2759-D2	23	626	9	635	3033	20.94	98.58
protist-Leptocylindrus_danicus-383503at2759-S1	6	342	9	351	2068	16.97	97.44
protist-Leptocylindrus_danicus-426305at2759-S1	53	1774	38	1812	2145	84.48	97.9
protist-Leptocylindrus_danicus-453044at2759-S1	5	215	4	219	1863	11.76	98.17
protist-Leptocylindrus_danicus-491869at2759-D1	2	92	1	93	1335	6.97	98.92
protist-Leptocylindrus_danicus-491869at2759-D2	1	98	3	101	1536	6.58	97.03
protist-Leptocylindrus_danicus-598949at2759-D2	1	98	3	101	2454	4.12	97.03
protist-Leptocylindrus_danicus-604979at2759-D2	35	975	21	996	1347	73.94	97.89
protist-Leptocylindrus_danicus-671536at2759-S1	25	747	11	758	1531	49.51	98.55
protist-Leptocylindrus_danicus-734666at2759-D2	3	290	6	296	1593	18.58	97.97
protist-Leptocylindrus_danicus-759498at2759-D1	2	106	3	109	2480	4.4	97.25
protist-Leptocylindrus_danicus-759498at2759-D2	1	100	1	101	2461	4.1	99.01
protist-Leptocylindrus_danicus-858842at2759-S1	1	97	3	100	1457	6.86	97.0
protist-Leptocylindrus_danicus-869548at2759-S1	1	98	2	100	813	12.3	98.0
protist-Leptocylindrus_danicus-937686at2759-D1	41	693	9	702	1341	52.35	98.72
protist-Leptocylindrus_danicus-956854at2759-S1	30	595	18	613	889	68.95	97.06
protist-Leptocylindrus_danicus-1003258at2759-S1	1	99	2	101	1428	7.07	98.02
protist-Leptocylindrus_danicus-1079827at2759-D1	10	472	17	489	783	62.45	96.52
protist-Leptocylindrus_danicus-1079827at2759-D2	1	97	2	99	783	12.64	97.98
protist-Leptocylindrus_danicus-1157302at2759-S1	5	342	10	352	750	46.93	97.16
protist-Leptocylindrus_danicus-1194691at2759-D1	6	289	10	299	1212	24.67	96.66
protist-Leptocylindrus_danicus-1194797at2759-D2	54	1684	33	1717	2118	81.07	98.08
protist-Leptocylindrus_danicus-1220881at2759-D2	12	469	10	479	1097	43.66	97.91
protist-Leptocylindrus_danicus-1228942at2759-D1	32	543	8	551	867	63.55	98.55
protist-Leptocylindrus_danicus-1228942at2759-D2	33	712	19	731	783	93.36	97.4
protist-Leptocylindrus_danicus-1264469at2759-S1	1	98	3	101	765	13.2	97.03
protist-Leptocylindrus_danicus-1275837at2759-S1	20	605	12	617	1043	59.16	98.06
protist-Leptocylindrus_danicus-1346432at2759-S1	1	99	2	101	877	11.52	98.02
protist-Leptocylindrus_danicus-1355894at2759-S1	10	345	8	353	615	57.4	97.73
protist-Leptocylindrus_danicus-1370304at2759-S1	5	397	13	410	2115	19.39	96.83
protist-Leptocylindrus_danicus-1405073at2759-S1	14	420	1	421	543	77.53	99.76
protist-Leptocylindrus_danicus-1432328at2759-S1	10	628	13	641	1035	61.93	97.97
protist-Leptocylindrus_danicus-1454155at2759-S1	1	98	3	101	921	10.97	97.03
protist-Leptocylindrus_danicus-1488235at2759-S1	8	242	5	247	579	42.66	97.98
protist-Leptocylindrus_danicus-1488436at2759-S1	2	183	6	189	474	39.87	96.83
