bin,depth,size_fraction,sum_SRF,sum_DCM,sum_MES,sum_particle,sum_planktonic
ARS-1,MES,planktonic,0.039001086731519675,0.2112337119685745,1.5972828395899614,0.13187459132465562,0.7878418998025131
ARS-100,DCM,planktonic,0.00945714805827497,0.017556402407317723,0.000838008688606824,0.0007211423836159184,0.02791460267283417
ARS-1004,SRF,planktonic,0.07991318568823601,0.017697125429558272,0.0022212727493772645,0.003111934936471867,0.07157582179543388
ARS-1009,unsure,planktonic,0.11256408475138029,0.1145063786146817,0.009789825992345754,0.06509600702398986,0.15179213191097551
ARS-1012,DCM,planktonic,0.02959946122192429,0.04099635686557163,0.0025297666268131107,0.009093406276882916,0.05930083398898299
ARS-1018,MES,planktonic,0.00026892146472384056,0.0004763034126712311,0.017718468676586087,0.0003016922725622369,0.0008157578117004726
ARS-1019,SRF,planktonic,0.05809503470407692,0.05192190943974504,0.0021349989907640406,0.025996011223329278,0.0806783079588355
ARS-102,MES,planktonic,3.203372280807488e-05,0.01035138783173027,0.0804927783636202,0.0023533478450561505,0.028829250151993398
ARS-1030,SRF,planktonic,0.06721573737962439,0.04234507883962367,0.011552068530155928,0.004582069268146345,0.09581800032680204
ARS-1032,MES,planktonic,0.0006956664891271996,0.0031192989374162483,0.029233426792835554,0.004580849895016199,0.010882540477992933
ARS-1034,SRF,planktonic,0.4017934818975098,0.19062020342453817,0.007767302041820814,0.013204415245626516,0.4113297546712162
ARS-1036,MES,planktonic,0.02120781472610525,0.02269714969259526,0.19738051299968906,0.024756204210844814,0.05122024627221776
ARS-1037,MES,mixed,0.10278777764563511,0.1794481791343827,0.47359584127827253,0.09401355910388223,0.08808160812921927
ARS-104,unsure,particle,0.37707201649616645,0.49406534165151933,0.4278872893080944,0.6835966542477236,0.21720908685250645
ARS-11,MES,planktonic,0.012356210341421054,0.009618941508121003,0.11635106755145412,0.005510388058422624,0.02043235998136635
ARS-112,MES,planktonic,0.03869442913476387,0.014894761662255923,0.08324427334225855,0.005166598951138354,0.02246482778954233
ARS-1134,DCM,planktonic,0.08386611364281951,0.10525001183138044,0.00489456160603568,0.005514084534009376,0.20853879314069104
ARS-115,MES,mixed,0.01548292914875533,0.014904801797580636,0.06219973435365958,0.01785420817749417,0.02726198229090214
ARS-1168,MES,mixed,0.0005867578863500391,0.0008261210747061749,0.02457438483053597,0.004667912276448203,0.005333883153950965
ARS-117,MES,particle,6.527958205838423e-05,0.00032524427528047255,0.039930871819505505,0.013461765139246197,0.0013939465512250503
ARS-1176,MES,planktonic,1.7618170615863065e-05,2.414665449173067e-05,0.012228398067773481,2.495872029214895e-05,0.0007508458519780211
ARS-1199,MES,planktonic,5.4580884317623587e-05,0.00012702657234047124,0.014490794216979037,0.00010169105347816417,0.0014555973629741994
ARS-120,MES,particle,0.0005692072642899686,0.0006471556817284773,0.011320716569397388,0.004233152072917409,0.0009195137598972315
ARS-1203,MES,planktonic,2.167791986257816e-05,0.00012369845431448801,0.012469999618299494,0.0002598070168842219,0.0014703149645824694
ARS-1215,MES,planktonic,0.0022872852144690003,0.05300959871002738,0.404508727703915,0.021585325057820185,0.22149939827227696
ARS-123,SRF,planktonic,0.037233870864485666,0.015135338663094867,0.0018207056337820732,0.0020070344238694456,0.055373510043199015
ARS-125,MES,planktonic,0.0002705305628182878,0.0004732412920716605,0.010924475325315156,0.00042094098365664574,0.0052543006949107764
ARS-1279,MES,particle,7.961473308815852e-05,0.00014310408923265145,0.012893590234786347,0.004480912057611282,0.00033592103604279184
ARS-1297,MES,planktonic,0.0023180136855239434,0.0017680111823327547,0.04033045932281256,0.0015191829172964144,0.020507928535934968
ARS-13,MES,planktonic,0.02765994314395459,0.056472091789097914,0.9075519623175995,0.003987687257401458,0.020365883888066566
ARS-1307,MES,particle,2.538038748485056e-06,2.6238348983837625e-05,0.009510127270806029,0.0001193615550481545,3.665971182119871e-05
ARS-1330,MES,mixed,0.000395990398960887,0.0006799697240266397,0.019860817421267527,0.0029485859993290623,0.005121640737205481
ARS-1358,MES,planktonic,0.00023036436380762204,0.000981362247093153,0.03923322293252551,0.0004885616831196553,0.0019148766514970512
ARS-1360,MES,planktonic,0.00025047889062354214,0.00036899317168899697,0.037353558929356816,0.00036837883546565563,0.002221198610813493
ARS-1386,MES,planktonic,0.0006627106034284151,0.0008271623615835911,0.03604657889958721,0.00048307046934440443,0.009094791327418151
ARS-14,MES,planktonic,0.006228040289312599,0.005047405608291392,0.1492727180171091,0.00022396005738388358,0.006045015687416792
ARS-1414,MES,mixed,0.001970335273081279,0.0022037422331422077,0.011137969880738762,0.0028582925324844633,0.0014964138403155826
ARS-1419,MES,planktonic,1.9171524836474438e-06,9.828097199999534e-05,0.01497409057382577,9.832983240015999e-05,0.0017709964222864217
ARS-1426,MES,planktonic,0.0017496207665612894,0.030924841917945436,0.3211846993058954,0.02168279660842716,0.17018277806484347
ARS-1427,MES,planktonic,0.00011044084761274119,0.00014538003385095133,0.013496895286471558,8.849436414621708e-05,0.0001916008695801297
ARS-1434,MES,particle,0.0014601322057160627,0.0013747716737650762,0.010187520894736863,0.005417409650261047,0.0007370939116686049
ARS-1441,MES,planktonic,0.00017273735779255932,0.00029854293008752333,0.012163123151252377,0.00027623459178227497,0.004664840433059515
ARS-15,MES,particle,0.0012886010510532466,0.001757142037324881,0.028282024933345615,0.011513927887904027,0.0012679907068974623
ARS-16,MES,planktonic,0.0008839167762995406,0.004374802650538798,0.08989411170335943,0.004956015647626788,0.04180144472805868
ARS-17,MES,planktonic,0.0005121109421697041,0.004786390771434733,0.03457432843378776,0.0020546365046456997,0.020230231017415
