Subject	Readcount	Correct_bases	Incorrect_bases	Total_bases	Subjlen	Coverage	Percent_ID
protist-Paraphysomonas_bandaiensis-1490022at2759-S1	1	144	1	145	621	23.35	99.31
greenalgae-Chloropicon_roscoffensis-679187at2759-S1	2	218	0	218	2514	8.67	100.0
fungi-Meira_nashicola-179362at2759-S1	2	233	0	233	4377	5.32	100.0
fungi-Meira_nashicola-306227at2759-S1	2	297	0	297	3033	9.79	100.0
fungi-Meira_nashicola-1248958at2759-S1	2	300	0	300	4143	7.24	100.0
fungi-Meira_nashicola-722805at2759-S1	2	212	1	213	5349	3.98	99.53
fungi-Meira_nashicola-1526152at2759-S1	1	148	0	148	468	31.62	100.0
fungi-Meira_nashicola-582756at2759-S1	1	150	0	150	3825	3.92	100.0
fungi-Meira_nashicola-324863at2759-S1	4	469	0	469	3090	15.18	100.0
fungi-Meira_nashicola-858842at2759-S1	1	149	0	149	1818	8.2	100.0
fungi-Meira_nashicola-674160at2759-S1	4	527	2	529	8964	5.9	99.62
fungi-Meira_nashicola-1474000at2759-S1	1	150	0	150	903	16.61	100.0
fungi-Meira_nashicola-891751at2759-S1	2	261	0	261	4057	6.43	100.0
fungi-Meira_nashicola-679187at2759-S1	2	218	0	218	3039	7.17	100.0
fungi-Meira_nashicola-1003258at2759-S1	2	279	0	279	1689	16.52	100.0
fungi-Meira_nashicola-1323575at2759-S1	2	229	0	229	1317	17.39	100.0
fungi-Meira_nashicola-720340at2759-S1	2	190	0	190	3879	4.9	100.0
fungi-Meira_nashicola-1051021at2759-S1	4	496	1	497	1671	29.74	99.8
fungi-Meira_nashicola-1194691at2759-S1	2	243	0	243	1185	20.51	100.0
fungi-Meira_nashicola-1370285at2759-S1	2	296	0	296	3903	7.58	100.0
fungi-Meira_nashicola-1266231at2759-S1	2	198	0	198	1092	18.13	100.0
fungi-Meira_nashicola-261419at2759-S1	4	388	0	388	5115	7.59	100.0
fungi-Meira_nashicola-1428265at2759-S1	2	299	0	299	1140	26.23	100.0
fungi-Meira_nashicola-261328at2759-S1	2	281	0	281	3915	7.18	100.0
fungi-Meira_nashicola-426305at2759-S1	2	189	3	192	2541	7.56	98.44
fungi-Hortaea_werneckii_EXF-2000-1041560at2759-D1	1	134	4	138	1614	8.55	97.1
fungi-Malassezia_restricta-271586at2759-S1	1	146	0	146	4947	2.95	100.0
fungi-Malassezia_restricta-975557at2759-S1	2	271	5	276	7011	3.94	98.19
fungi-Malassezia_globosa_CBS_7966-551907at2759-S1	2	208	5	213	6711	3.17	97.65
fungi-Saccharomyces_cerevisiae_S288C-1380409at2759-S1	2	233	1	234	867	26.99	99.57
other_MGCollapse_NSP3-123	2	214	0	214	2904	7.37	100.0
other_MGCollapse_NSP3-217	2	260	0	260	2268	11.46	100.0
other_MGCollapse_NSP3-649	1	149	0	149	1107	13.46	100.0
other_MGCollapse_NSP3-463	2	230	0	230	1479	15.55	100.0
fungi-Candida_parapsilosis-937686at2759-S1	2	268	0	268	2670	10.04	100.0
fungi-Lecanicillium_sp_LEC01-160593at2759-S1	8	989	14	1003	8016	12.51	98.6
fungi-Lecanicillium_sp_LEC01-176625at2759-S1	3	368	6	374	3294	11.35	98.4
fungi-Lecanicillium_sp_LEC01-924753at2759-S1	1	139	1	140	1530	9.15	99.29
fungi-Lecanicillium_sp_LEC01-674160at2759-S1	2	291	4	295	8004	3.69	98.64
fungi-Lecanicillium_sp_LEC01-679187at2759-S1	4	508	9	517	2685	19.26	98.26
fungi-Lecanicillium_sp_LEC01-891751at2759-S1	4	581	8	589	1707	34.5	98.64
fungi-Lecanicillium_sp_LEC01-814241at2759-S1	1	54	0	54	2691	2.01	100.0
fungi-Lecanicillium_sp_LEC01-513979at2759-S1	1	56	0	56	2424	2.31	100.0
fungi-Lecanicillium_sp_LEC01-1379600at2759-S1	4	320	4	324	2484	13.04	98.77
fungi-Lecanicillium_sp_LEC01-1423847at2759-S1	2	172	0	172	1218	14.12	100.0
fungi-Lecanicillium_sp_LEC01-937275at2759-S1	1	148	2	150	1587	9.45	98.67
fungi-Lecanicillium_sp_LEC01-1010730at2759-S1	2	270	6	276	1182	23.35	97.83
fungi-Lecanicillium_sp_LEC01-324863at2759-S1	2	189	3	192	2832	6.78	98.44
fungi-Lecanicillium_sp_LEC01-671846at2759-S1	4	411	5	416	2721	15.29	98.8
fungi-Lecanicillium_sp_LEC01-355408at2759-S1	8	523	5	528	2046	25.81	99.05
fungi-Lecanicillium_sp_LEC01-1322299at2759-S1	1	143	2	145	1467	9.88	98.62
fungi-Lecanicillium_sp_LEC01-858842at2759-S1	2	204	2	206	1728	11.92	99.03
fungi-Lecanicillium_sp_LEC01-450058at2759-S1	2	271	3	274	1716	15.97	98.91
fungi-Lecanicillium_sp_LEC01-919955at2759-S1	1	145	5	150	1149	13.05	96.67
fungi-Lecanicillium_sp_LEC01-708105at2759-S1	2	260	6	266	1431	18.59	97.74
fungi-Lecanicillium_sp_LEC01-331411at2759-S1	1	148	1	149	2817	5.29	99.33
fungi-Lecanicillium_sp_LEC01-1108845at2759-S1	1	135	1	136	2052	6.63	99.26
fungi-Lecanicillium_sp_LEC01-722805at2759-S1	1	135	3	138	4032	3.42	97.83
fungi-Lecanicillium_sp_LEC01-1248958at2759-S1	1	138	2	140	2880	4.86	98.57
fungi-Lecanicillium_sp_LEC01-901894at2759-S1	1	128	1	129	1833	7.04	99.22
fungi-Lecanicillium_sp_LEC01-1106766at2759-S1	2	241	4	245	2010	12.19	98.37
fungi-Lecanicillium_sp_LEC01-1404162at2759-S1	1	141	1	142	1761	8.06	99.3
fungi-Lecanicillium_sp_LEC01-674169at2759-S1	4	334	5	339	2655	12.77	98.53
fungi-Lecanicillium_sp_LEC01-1001705at2759-S1	5	553	4	557	1410	39.5	99.28
fungi-Lecanicillium_sp_LEC01-836599at2759-S1	2	250	3	253	1713	14.77	98.81
fungi-Lecanicillium_sp_LEC01-543764at2759-S1	2	254	5	259	1713	15.12	98.07
fungi-Lecanicillium_sp_LEC01-582756at2759-S1	3	356	2	358	2901	12.34	99.44
fungi-Lecanicillium_sp_LEC01-570797at2759-S1	2	222	2	224	3141	7.13	99.11
