Subject	Readcount	Correct_bases	Incorrect_bases	Total_bases	Subjlen	Coverage	Percent_ID
metazoa-Acartia_fossae-179362at2759-S1	1	99	2	101	3496	2.89	98.02
metazoa-Acartia_fossae-1178688at2759-D1	1	96	3	99	627	15.79	96.97
metazoa-Acartia_fossae-1338131at2759-S1	6	211	7	218	564	38.65	96.79
metazoa-Acartia_fossae-1576404at2759-S1	4	246	8	254	687	36.97	96.85
protist-Gracilaria_changii-1076134at2759-S1	9	414	6	420	813	51.66	98.57
other_MGCollapse_EASP3	2	202	0	202	13242	1.53	100.0
other_MGCollapse_EASP3-93	1	100	0	100	3261	3.07	100.0
other_MGCollapse_EASP3-380	2	119	1	120	1308	9.17	99.17
other_MGCollapse_EASP3-264	1	96	0	96	1695	5.66	100.0
other_MGCollapse_EASP3-549	2	136	1	137	861	15.91	99.27
other_MGCollapse_EASP3-648	5	318	3	321	588	54.59	99.07
other_MGCollapse_EASP3-662	10	387	1	388	558	69.53	99.74
protist-Thalassionema_frauenfeldii-396755at2759-S1	1	95	3	98	3861	2.54	96.94
protist-Thalassionema_frauenfeldii-866359at2759-S1	1	97	3	100	1026	9.75	97.0
protist-Thalassionema_frauenfeldii-1479417at2759-D2	2	177	4	181	2157	8.39	97.79
protist-Thalassionema_frauenfeldii-1490022at2759-S1	1	98	3	101	747	13.52	97.03
protist-Paraphysomonas_bandaiensis-39650at2759-S1	2	174	0	174	6205	2.8	100.0
protist-Paraphysomonas_bandaiensis-156083at2759-S1	25	1532	1	1533	6957	22.04	99.93
protist-Paraphysomonas_bandaiensis-160593at2759-S1	12	1015	1	1016	7890	12.88	99.9
protist-Paraphysomonas_bandaiensis-176625at2759-S1	5	282	1	283	3248	8.71	99.65
protist-Paraphysomonas_bandaiensis-245208at2759-S1	14	707	5	712	3738	19.05	99.3
protist-Paraphysomonas_bandaiensis-396755at2759-S1	5	350	2	352	3779	9.31	99.43
protist-Paraphysomonas_bandaiensis-453044at2759-S1	6	413	2	415	1827	22.71	99.52
protist-Paraphysomonas_bandaiensis-625387at2759-S1	8	490	2	492	3159	15.57	99.59
protist-Paraphysomonas_bandaiensis-679771at2759-S1	2	127	1	128	1160	11.03	99.22
protist-Paraphysomonas_bandaiensis-751335at2759-S1	24	755	10	765	1377	55.56	98.69
protist-Paraphysomonas_bandaiensis-817008at2759-S1	9	432	2	434	1344	32.29	99.54
protist-Paraphysomonas_bandaiensis-836599at2759-D1	3	281	0	281	1443	19.47	100.0
protist-Paraphysomonas_bandaiensis-855834at2759-S1	9	721	1	722	2148	33.61	99.86
protist-Paraphysomonas_bandaiensis-858842at2759-S1	5	451	4	455	1743	26.1	99.12
protist-Paraphysomonas_bandaiensis-905026at2759-S1	5	258	1	259	2175	11.91	99.61
protist-Paraphysomonas_bandaiensis-975557at2759-S1	5	199	1	200	2055	9.73	99.5
protist-Paraphysomonas_bandaiensis-1010730at2759-S1	2	153	0	153	1296	11.81	100.0
protist-Paraphysomonas_bandaiensis-1049599at2759-S1	3	286	2	288	1554	18.53	99.31
protist-Paraphysomonas_bandaiensis-1079827at2759-S1	8	559	2	561	783	71.65	99.64
protist-Paraphysomonas_bandaiensis-1087488at2759-S1	9	427	5	432	2460	17.56	98.84
protist-Paraphysomonas_bandaiensis-1108845at2759-S1	1	83	0	83	1331	6.24	100.0
protist-Paraphysomonas_bandaiensis-1161199at2759-S1	2	162	0	162	903	17.94	100.0
protist-Paraphysomonas_bandaiensis-1194797at2759-S1	10	618	3	621	2232	27.82	99.52
protist-Paraphysomonas_bandaiensis-1217666at2759-S1	6	388	1	389	879	44.25	99.74
protist-Paraphysomonas_bandaiensis-1228942at2759-S1	2	148	0	148	743	19.92	100.0
protist-Paraphysomonas_bandaiensis-1248958at2759-S1	8	592	4	596	3003	19.85	99.33
protist-Paraphysomonas_bandaiensis-1275837at2759-D1	8	477	2	479	990	48.38	99.58
protist-Paraphysomonas_bandaiensis-1275837at2759-D2	2	151	1	152	987	15.4	99.34
protist-Paraphysomonas_bandaiensis-1428854at2759-S1	2	89	1	90	2454	3.67	98.89
protist-Paraphysomonas_bandaiensis-1459797at2759-D1	1	100	0	100	411	24.33	100.0
protist-Paraphysomonas_bandaiensis-1474000at2759-S1	1	88	0	88	1053	8.36	100.0
protist-Paraphysomonas_bandaiensis-1513531at2759-S1	2	90	0	90	870	10.34	100.0
protist-Paraphysomonas_bandaiensis-1588798at2759-S1	4	287	0	287	756	37.96	100.0
greenalgae-Chloropicon_roscoffensis-330169at2759-D1	4	107	3	110	1608	6.84	97.27
greenalgae-Chloropicon_roscoffensis-390348at2759-S1	1	101	0	101	3078	3.28	100.0
greenalgae-Chloropicon_roscoffensis-1094121at2759-S1	2	176	0	176	552	31.88	100.0
greenalgae-Chloropicon_roscoffensis-1161199at2759-S1	1	98	2	100	882	11.34	98.0
protist-Rhizosolenia_setigera-453044at2759-S1	1	98	3	101	1760	5.74	97.03
protist-Rhizosolenia_setigera-944899at2759-S1	8	468	2	470	963	48.81	99.57
protist-Rhizosolenia_setigera-1018517at2759-S1	2	93	0	93	852	10.92	100.0
protist-Rhizosolenia_setigera-1193442at2759-S1	1	101	0	101	1446	6.98	100.0
protist-Rhizosolenia_setigera-1228942at2759-S1	3	216	4	220	774	28.42	98.18
protist-Rhizosolenia_setigera-1421503at2759-S1	2	141	2	143	496	28.83	98.6
