Subject	Readcount	Correct_bases	Incorrect_bases	Total_bases	Subjlen	Coverage	Percent_ID
protist-Lithomelissa_setosa-1545004at2759-S1	167	367	16	383	384	99.74	95.82
other_MGCollapse_EASP3-11	11	216	7	223	7437	3.0	96.86
other_MGCollapse_EASP3-12	26	511	22	533	7383	7.22	95.87
other_MGCollapse_EASP3	190	1086	48	1134	13242	8.56	95.77
other_MGCollapse_EASP3-56	6	229	8	237	4050	5.85	96.62
other_MGCollapse_EASP3-93	4	109	4	113	3261	3.47	96.46
other_MGCollapse_EASP3-67	5	275	9	284	3855	7.37	96.83
other_MGCollapse_EASP3-25	1	96	3	99	6081	1.63	96.97
other_MGCollapse_EASP3-135	29	303	15	318	2715	11.71	95.28
other_MGCollapse_EASP3-23	1	86	4	90	6474	1.39	95.56
greenalgae-Micromonas_pusilla-299766at2759-S1	5	105	4	109	3372	3.23	96.33
other_MGCollapse_EASP3-59	2	99	3	102	4011	2.54	97.06
other_MGCollapse_EASP3-36	8	212	6	218	4998	4.36	97.25
other_MGCollapse_EASP3-122	8	137	6	143	2856	5.01	95.8
greenalgae-Micromonas_pusilla-369837at2759-S1	12	236	12	248	3711	6.68	95.16
other_MGCollapse_EASP3-4	12	223	7	230	8164	2.82	96.96
greenalgae-Micromonas_pusilla-392369at2759-S1	6	185	6	191	1638	11.66	96.86
other_MGCollapse_EASP3-31	2	193	6	199	5511	3.61	96.98
other_MGCollapse_EASP3-364	1	71	2	73	1368	5.34	97.26
other_MGCollapse_EASP3-111	78	713	26	739	2940	25.14	96.48
other_MGCollapse_EASP3-164	43	529	25	554	2376	23.32	95.49
greenalgae-Micromonas_pusilla-664730at2759-S1	8	241	10	251	1356	18.51	96.02
other_MGCollapse_EASP3-340	47	569	26	595	1428	41.67	95.63
other_MGCollapse_EASP3-414	21	392	17	409	1197	34.17	95.84
other_MGCollapse_EASP3-167	10	300	9	309	2358	13.1	97.09
other_MGCollapse_EASP3-380	4	114	7	121	1308	9.25	94.21
other_MGCollapse_EASP3-228	2	106	3	109	1917	5.69	97.25
greenalgae-Micromonas_pusilla-801857at2759-S1	3	107	3	110	1044	10.54	97.27
other_MGCollapse_EASP3-264	67	588	22	610	1695	35.99	96.39
other_MGCollapse_EASP3-116	7	114	4	118	2889	4.08	96.61
other_MGCollapse_EASP3-585	11	197	10	207	738	28.05	95.17
greenalgae-Micromonas_pusilla-898782at2759-D2	2	193	7	200	1659	12.06	96.5
other_MGCollapse_EASP3-199	4	123	4	127	2154	5.9	96.85
greenalgae-Micromonas_pusilla-911863at2759-S1	1	88	3	91	1176	7.74	96.7
other_MGCollapse_EASP3-157	3	102	2	104	2475	4.2	98.08
other_MGCollapse_EASP3-268	5	194	9	203	1680	12.08	95.57
other_MGCollapse_EASP3-53	1	94	4	98	4209	2.33	95.92
other_MGCollapse_EASP3-415	8	218	9	227	1197	18.96	96.04
other_MGCollapse_EASP3-453	15	206	10	216	1071	20.17	95.37
other_MGCollapse_EASP3-447	8	234	9	243	1101	22.07	96.3
other_MGCollapse_EASP3-131	6	207	8	215	2724	7.89	96.28
other_MGCollapse_EASP3-549	53	395	16	411	861	47.74	96.11
other_MGCollapse_EASP3-231	1	88	3	91	1905	4.78	96.7
greenalgae-Micromonas_pusilla-1025450at2759-S1	9	328	11	339	2580	13.14	96.76
other_MGCollapse_EASP3-516	69	377	15	392	921	42.56	96.17
other_MGCollapse_EASP3-275	7	247	11	258	1662	15.52	95.74
other_MGCollapse_EASP3-565	32	413	18	431	783	55.04	95.82
other_MGCollapse_EASP3-79	3	216	5	221	3429	6.45	97.74
other_MGCollapse_EASP3-425	1	96	3	99	1161	8.53	96.97
greenalgae-Micromonas_pusilla-1178688at2759-S1	1	97	3	100	687	14.56	97.0
