bin,mean_bin_pnps,median_bin_pnps,count
deep_MAG_0002,0.7482064866688527,0.585027699736502,2378
deep_MAG_0008,0.578579438417074,0.4760963268365729,21
deep_MAG_0011,0.9659802189623595,0.48352146282211883,800
deep_MAG_0013,0.5567790441614933,0.3881027412260855,564
deep_MAG_0015,0.3461459519574417,0.2520900737311851,540
deep_MAG_0018,0.5024369697228919,0.30413416855123965,1154
deep_MAG_0019,1.841285265628024,1.6443045071047782,1804
deep_MAG_0020,0.3316463784927031,0.17603394132536065,122
deep_MAG_0021,1.452705137657389,1.0025624439659042,1837
deep_MAG_0023,0.12069519806883262,0.07004719422303496,1312
deep_MAG_0027,0.9758061984864422,0.5823824469787464,571
deep_MAG_0028,1.3031863514395456,0.8631125522762761,2721
deep_MAG_0029,0.36576907860285357,0.14859282696096743,426
deep_MAG_0035,1.2335351503257952,0.6294514497804172,59
deep_MAG_0036,0.6300678901010853,0.3734685756936771,2425
deep_MAG_0037,0.44523168954900305,0.13974070018787474,298
deep_MAG_0038,0.4557107893290406,0.2720141721672087,569
deep_MAG_0039,0.7626780305000217,0.5256281395235307,1438
deep_MAG_0040,3.069026550472908,2.1471914786005537,2342
deep_MAG_0042,0.30224015074094807,0.20434200775568095,612
deep_MAG_0044,0.666478612015669,0.28932112939603233,672
deep_MAG_0045,0.5542623272057821,0.35882644877411723,2028
deep_MAG_0047,0.6624931064853439,0.474197559072467,1638
deep_MAG_0048,0.6509299949537369,0.33184180367567795,500
deep_MAG_0050,0.7318723867220566,0.4551458177813989,1212
deep_MAG_0052,0.528440326033021,0.3484290592802456,2030
deep_MAG_0053,0.3649016521862091,0.05778384938277169,17
deep_MAG_0055,0.44573137256574663,0.29522327077394217,1561
deep_MAG_0058,1.8432161715043038,1.1322795330741968,38
deep_MAG_0060,0.13138289854006432,0.07115187211028487,497
deep_MAG_0064,1.7814135045682027,1.3739242657305177,2450
deep_MAG_0070,0.6498890751810884,0.3558623134703926,852
deep_MAG_0075,3.8825622762562726,2.7988601456477733,2724
deep_MAG_0077,0.3025451689519244,0.21798215119694475,1406
deep_MAG_0078,0.3517562610254246,0.2401744146488181,1005
deep_MAG_0081,1.409037038670787,0.7960019072279649,1584
deep_MAG_0082,1.1716687472497833,0.4791448126653794,639
deep_MAG_0084,1.503183314251771,1.0118375775630115,2231
deep_MAG_0093,0.2759347987542712,0.15526059076457926,948
deep_MAG_0094,1.35165558286128,1.1087249546817766,2603
deep_MAG_0095,0.32291867962849385,0.23860787667448424,872
deep_MAG_0096,1.261065767091561,0.9727844600165942,2822
deep_MAG_0098,0.8330840229011459,0.6819245810052023,2091
deep_MAG_0101,0.4177527314860769,0.27651094840709645,1431
deep_MAG_0102,0.43114087455494715,0.3060423335369484,1608
deep_MAG_0103,0.6574138004297869,0.21883227741899505,229
deep_MAG_0108,0.4306057169235331,0.3192578490750724,2112
deep_MAG_0111,1.2964199507059635,0.5356357735104592,138
deep_MAG_0112,0.3745086718956827,0.2170133348262369,99
deep_MAG_0118,1.3239354087940027,0.9083340748582042,2770
deep_MAG_0122,0.650351437851647,0.3514593426341229,258
deep_MAG_0123,0.502340741158644,0.2769432953537496,36
deep_MAG_0126,0.5733449621527893,0.391016006284784,1963
deep_MAG_0127,1.8139376188721992,1.2155623471033707,2947
deep_MAG_0128,2.449206200650558,0.9189684548268438,13
deep_MAG_0131,0.34604605225026236,0.23944614170612907,868
deep_MAG_0132,1.299969859422985,0.9036199200080758,2328
deep_MAG_0134,0.24967359154739638,0.09577320635543747,85
deep_MAG_0137,3.1120067143162293,1.7984926863041393,2264
deep_MAG_0140,1.3189540729557068,0.8591731609295942,1681
deep_MAG_0142,0.2594452548236696,0.16013893585815395,403
deep_MAG_0144,1.7783268850120648,1.24473877642055,2249
deep_MAG_0146,0.31717717162284675,0.16459200400360763,1030
deep_MAG_0149,1.4072569422397982,1.1185884666968038,1522
deep_MAG_0150,0.33472835216482316,0.22607748227170998,742
deep_MAG_0152,0.35990728606578976,0.15644761991945716,1500
deep_MAG_0153,1.2947528075662218,0.968805520310235,2747
deep_MAG_0155,0.29220707741766033,0.21219361843742876,651
deep_MAG_0156,0.5282832984879563,0.1875033242398781,735
deep_MAG_0161,1.21836199080369,1.1134230457847831,2326
deep_MAG_0162,0.4453162547078652,0.1905813430140611,29
deep_MAG_0165,0.2491673124527344,0.12112320217413049,2170
deep_MAG_0166,1.5499568144203315,1.4668380382481434,4751
deep_MAG_0167,0.4589449093491665,0.27116951185915017,24
deep_MAG_0169,0.5128911132048329,0.41445622574572205,1765
deep_MAG_0173,0.6049027185196306,0.2201575155109676,763
deep_MAG_0175,0.9634048372405355,0.5256626784613045,1090
deep_MAG_0176,0.770435520991621,0.5685757939311442,1656
deep_MAG_0177,2.544963786173245,1.25320132492167,1333
deep_MAG_0178,0.1539293864201279,0.11048895268415021,20
deep_MAG_0181,0.14850607619336872,0.11125449823708485,132
deep_MAG_0182,0.16445489911854613,0.0952444894273922,569
deep_MAG_0183,0.7859455186125767,0.3439028256230944,484
deep_MAG_0184,0.26171130377430274,0.090272457101144,919
deep_MAG_0185,4.730743226999707,3.374261107547682,2748
deep_MAG_0186,0.6636901149135533,0.427573543723881,1288
deep_MAG_0188,0.9674604633196314,0.7542970057786293,1101
deep_MAG_0191,0.6365573307361398,0.4068000601775284,1007
deep_MAG_0192,0.5941232933858303,0.4250513404716992,409
deep_MAG_0193,0.5290024480033395,0.3696470793452131,1456
deep_MAG_0194,0.17565952574987112,0.09700515522263925,298
