gene_callers_id,transposase_origin,pNpS
283954,ARS,0.5681231137810789
319225,ARS,0.3091558781217608
320260,ARS,11.18595771963886
321105,ARS,0.054680475240157636
336564,ARS,0.6921735962783442
336564,ARS,0.6921735962783442
336564,ARS,0.6921735962783442
336566,ARS,2.1143283889868156
336566,ARS,2.1143283889868156
336566,ARS,2.1143283889868156
336597,ARS,0.06365669076829356
336597,ARS,0.06365669076829356
336597,ARS,0.06365669076829356
336597,ARS,0.06365669076829356
368627,ARS,0.17797833156589873
368627,ARS,0.17797833156589873
381864,ARS,0.7867979596512424
381864,ARS,0.7867979596512424
381864,ARS,0.7867979596512424
383737,ARS,0.0
383737,ARS,0.0
397380,ARS,0.13741642186459704
414378,ARS,0.14782578529413742
414378,ARS,0.14782578529413742
422833,ARS,0.663502494827799
423342,ARS,0.13572291732921776
425391,ARS,0.31548247517890304
425392,ARS,0.17242104813043288
425392,ARS,0.17242104813043288
425392,ARS,0.17242104813043288
425392,ARS,0.17242104813043288
432834,ARS,0.9455508629718726
432834,ARS,0.9455508629718726
441699,ARS,0.14773193866139278
453322,ARS,0.04788544372789149
470768,ARS,0.8389105002864169
474284,ARS,0.2520288379975981
474284,ARS,0.2520288379975981
502917,ARS,22.308514614948354
506567,ARS,0.10495955480574193
506567,ARS,0.10495955480574193
506567,ARS,0.10495955480574193
506568,ARS,0.4856769757937663
521048,ARS,0.021615842622134226
521048,ARS,0.021615842622134226
528501,ARS,2.2453175107957213
532626,ARS,0.3933025807277729
532626,ARS,0.3933025807277729
532626,ARS,0.3933025807277729
532660,ARS,0.4563938490146579
532660,ARS,0.4563938490146579
532660,ARS,0.4563938490146579
532660,ARS,0.4563938490146579
532660,ARS,0.4563938490146579
538073,ARS,1.2971088318405282
538073,ARS,1.2971088318405282
606118,ARS,0.10885402142699258
606118,ARS,0.10885402142699258
606118,ARS,0.10885402142699258
613005,ARS,0.05563018942261275
613005,ARS,0.05563018942261275
617069,ARS,0.4249316640322457
617069,ARS,0.4249316640322457
619647,ARS,0.007565477216256817
620110,ARS,0.11889667619440993
623238,ARS,0.3147774582861017
631581,ARS,0.10475099399130848
638536,ARS,1.1035720030514478
641981,ARS,0.483954615911227
641981,ARS,0.483954615911227
641981,ARS,0.483954615911227
641981,ARS,0.483954615911227
658853,ARS,0.17117999763813252
658853,ARS,0.17117999763813252
664979,ARS,0.040803930008905975
675297,ARS,0.07606717855014831
675297,ARS,0.07606717855014831
675297,ARS,0.07606717855014831
679288,ARS,0.05624185618592053
679288,ARS,0.05624185618592053
762592,ARS,0.23696405473579815
762592,ARS,0.23696405473579815
766321,ARS,4.501938975565527
766321,ARS,4.501938975565527
777727,ARS,0.12433378443065045
777727,ARS,0.12433378443065045
777727,ARS,0.12433378443065045
777727,ARS,0.12433378443065045
782061,ARS,0.34898358491631754
782061,ARS,0.34898358491631754
785693,ARS,0.009778568347045937
785693,ARS,0.009778568347045937
790711,ARS,0.21862139235911024
791003,ARS,0.1639477723754232
