bin,sample_id,depth,MAG_pnps_median,total_count,scg_pnps_median,scg_count,defense_pnps_median,defense_count,signal_CAZyme_abun
ARS-1,ERR594290,MES,0.15510225970512564,1200,0.1613003612646733,65,0.1312812106368743,16,0.0554060281351661
ARS-1,ERR594345,MES,0.1570965265369046,1261,0.1522567349362948,69,0.1183013497975868,17,0.0547656784605669
ARS-1,ERR594346,MES,0.1597726681956922,1141,0.1713723383765425,67,0.11451944134688,15,0.0540496785480516
ARS-1,ERR599031,MES,0.1411849244634072,1099,0.13050511195926662,58,0.0994278593778766,17,0.0537421196565976
ARS-1,ERR599037,MES,0.15418749620045735,1222,0.1557772151290583,69,0.1174818537922977,16,0.0574073487374649
ARS-1,ERR599062,MES,0.1430140918509556,1273,0.14286758990798104,72,0.13430108269262814,16,0.0532416105436193
ARS-1,ERR599109,MES,0.1591967944524792,1207,0.16235972405651683,68,0.1152179372322911,16,0.0572342805129149
ARS-1,ERR599167,MES,0.1535069804382314,1209,0.15616426829270064,68,0.12495889147438251,16,0.0570800084953471
ARS-1,ERR599172,MES,0.15335478133860592,1196,0.15394133575487712,70,0.12803845614743614,16,0.0574708403134632
ARS-100,ERR599028,DCM,0.0511870758281096,1309,0.026582110785084,28,0.0603341653165086,17,0.0271089296673502
ARS-1009,ERR599028,DCM,0.0882220043496701,1901,0.0445302250322976,29,0.1110316496622787,29,0.0924039366992268
ARS-1009,ERR599102,SRF,0.0897017332725337,639,0.18354810194652765,6,0.0840754073512704,9,0.095480349748952
ARS-1012,ERR599028,DCM,0.0809719125642074,2911,0.0306084412040687,61,0.0742047376503723,73,0.0470209082190515
ARS-1012,ERR599102,SRF,0.0599226880837614,1092,0.0473502741727441,13,0.03664189791928475,30,0.0470008580782215
ARS-1012,ERR599143,SRF,0.0613808079093123,1670,0.022232394606872152,26,0.0549810713136313,42,0.046430289461439
ARS-1012,ERR599145,DCM,0.07310586350234895,1864,0.0732563170660973,35,0.0595768614657081,37,0.046080745082905
ARS-1019,ERR598949,DCM,0.0309293063477247,280,0.033129118656799295,24,0.0302249048115337,5,0.0955927856400128
ARS-1019,ERR599028,DCM,0.036657021007925256,474,0.0327434662251746,31,0.0357974438596446,11,0.1113809465009504
ARS-1019,ERR599082,DCM,0.10406625418488866,2196,0.0485175664001727,54,0.09440987126723245,32,0.0952762454151846
ARS-1019,ERR599102,SRF,0.035271712485872145,366,0.0307034245576853,29,0.045499155606714345,8,0.1050640269635352
ARS-1019,ERR599145,DCM,0.0441712467820778,644,0.03073838000954575,32,0.0346575588751688,15,0.1064811167503026
ARS-1030,ERR599145,DCM,0.10900578998022631,2260,0.04064368337938175,38,0.0973401462699254,53,0.0438765284699728
ARS-1032,ERR599037,MES,0.0804471462249309,803,0.0561632858251309,28,0.1045854432018717,19,0.0348240929782372
ARS-1032,ERR599062,MES,0.0930959056251434,2081,0.051387482292308856,52,0.1149565829396435,29,0.0357249682681932
ARS-1032,ERR599167,MES,0.07478320596667536,482,0.046427491732394896,16,0.10614462600355255,14,0.0354532298576985
ARS-1034,ERR598949,DCM,0.06195370773117265,258,0.0050804281852453,4,0.0730713181746773,13,0.0402208967840555
ARS-1034,ERR599028,DCM,0.0860185860137493,1692,0.0437306267132931,54,0.0746936064689592,48,0.0405157152515172
ARS-1034,ERR599082,DCM,0.09296159625225064,1792,0.0363729445604583,61,0.0820064684910667,51,0.0399450190220686
ARS-1034,ERR599102,SRF,0.0873122621755533,1591,0.051637036377393,52,0.08109422707242744,46,0.0399038404167765
ARS-1034,ERR599145,DCM,0.0875020859203966,1799,0.0440918034236416,62,0.08351463165275425,50,0.0412209507557883
ARS-1034,ERR599158,SRF,0.0611260687770057,197,0.0737480398389395,6,0.059011492107403,9,0.0425570168636693
ARS-1036,ERR594312,MES,0.09440167720381709,2314,0.0623810801400544,45,0.0970018134056183,44,0.0505426022661495
