gene_callers_id,contig,start,stop,integron,ocean
2577,ARS-73_MHASMcontig_617664,2627,6050,CALIN,ARS
2578,ARS-73_MHASMcontig_617664,6092,6578,CALIN,ARS
2579,ARS-73_MHASMcontig_617664,6579,7647,CALIN,ARS
14378,ARS-1037_58668,27314,28160,complete,ARS
14379,ARS-1037_58668,28383,28956,complete,ARS
14380,ARS-1037_58668,29017,29695,complete,ARS
14381,ARS-1037_58668,29802,30168,complete,ARS
15384,ARS-1037_73513,61023,61509,In0,ARS
15587,ARS-1037_MHASMcontig_391753,1754,2699,complete,ARS
15588,ARS-1037_MHASMcontig_391753,2823,3396,complete,ARS
15589,ARS-1037_MHASMcontig_391753,3619,4465,complete,ARS
48456,ARS-65_MHASMcontig_408623,16595,17585,In0,ARS
77105,ARS-5_MHASMcontig_396284,5355,5778,CALIN,ARS
77106,ARS-5_MHASMcontig_396284,5770,6277,CALIN,ARS
77107,ARS-5_MHASMcontig_396284,6396,7038,CALIN,ARS
77108,ARS-5_MHASMcontig_396284,7160,7571,CALIN,ARS
77109,ARS-5_MHASMcontig_396284,8048,8405,CALIN,ARS
77110,ARS-5_MHASMcontig_396284,8454,8841,CALIN,ARS
77111,ARS-5_MHASMcontig_396284,9176,9392,CALIN,ARS
77112,ARS-5_MHASMcontig_396284,9576,9837,CALIN,ARS
77113,ARS-5_MHASMcontig_396284,10424,10580,CALIN,ARS
77930,ARS-5_MHASMcontig_452923,397,1168,CALIN,ARS
77931,ARS-5_MHASMcontig_452923,1254,1470,CALIN,ARS
77932,ARS-5_MHASMcontig_452923,1587,2664,CALIN,ARS
77933,ARS-5_MHASMcontig_452923,2785,3832,CALIN,ARS
77934,ARS-5_MHASMcontig_452923,4450,5449,CALIN,ARS
77935,ARS-5_MHASMcontig_452923,5543,6251,CALIN,ARS
87803,ARS-16_MHASMcontig_586354,20440,21466,In0,ARS
104051,ARS-51_MHASMcontig_201050,57856,59731,CALIN,ARS
104052,ARS-51_MHASMcontig_201050,60097,60715,CALIN,ARS
106604,ARS-51_MHASMcontig_165146,11321,11846,CALIN,ARS
106605,ARS-51_MHASMcontig_165146,11839,13249,CALIN,ARS
106606,ARS-51_MHASMcontig_165146,13250,13616,CALIN,ARS
106607,ARS-51_MHASMcontig_165146,13605,14325,CALIN,ARS
120714,ARS-120_MHASMcontig_402458,28292,28946,CALIN,ARS
120715,ARS-120_MHASMcontig_402458,29184,29724,CALIN,ARS
120716,ARS-120_MHASMcontig_402458,29901,30126,CALIN,ARS
120717,ARS-120_MHASMcontig_402458,30122,30464,CALIN,ARS
120718,ARS-120_MHASMcontig_402458,30604,31603,CALIN,ARS
120719,ARS-120_MHASMcontig_402458,31972,32248,CALIN,ARS
120720,ARS-120_MHASMcontig_402458,32490,32868,CALIN,ARS
123040,ARS-120_MHASMcontig_444418,153,837,complete,ARS
123041,ARS-120_MHASMcontig_444418,1520,2453,complete,ARS
123053,ARS-120_MHASMcontig_444418,16209,16863,complete,ARS
130283,ARS-112_49089,42878,43538,CALIN,ARS
130284,ARS-112_49089,43634,45524,CALIN,ARS
130285,ARS-112_49089,45946,46978,CALIN,ARS
130286,ARS-112_49089,47091,49086,CALIN,ARS
130287,ARS-112_49089,49181,50126,CALIN,ARS
130550,ARS-112_56321,193258,194188,CALIN,ARS
130551,ARS-112_56321,194210,194732,CALIN,ARS
130552,ARS-112_56321,194893,195175,CALIN,ARS
130553,ARS-112_56321,195185,195482,CALIN,ARS
130554,ARS-112_56321,195587,195872,CALIN,ARS
131137,ARS-112_57442,177820,178192,CALIN,ARS
131138,ARS-112_57442,178279,178945,CALIN,ARS
131139,ARS-112_57442,179026,179644,CALIN,ARS
131140,ARS-112_57442,179764,179983,CALIN,ARS
131141,ARS-112_57442,180056,180575,CALIN,ARS
131142,ARS-112_57442,180674,181364,CALIN,ARS
131143,ARS-112_57442,181456,182185,CALIN,ARS
131144,ARS-112_57442,182267,183407,CALIN,ARS
131145,ARS-112_57442,183482,184460,CALIN,ARS
131146,ARS-112_57442,184449,185688,CALIN,ARS
131147,ARS-112_57442,185756,186770,CALIN,ARS
131148,ARS-112_57442,187476,188112,CALIN,ARS
143388,ARS-95_MHASMcontig_411919,1,1045,In0,ARS
168737,ARS-71_MHASMcontig_514205,20536,22087,CALIN,ARS
168738,ARS-71_MHASMcontig_514205,22559,23618,CALIN,ARS
168739,ARS-71_MHASMcontig_514205,23726,25457,CALIN,ARS
188466,ARS-7_71584,51712,52357,CALIN,ARS
188467,ARS-7_71584,52590,52971,CALIN,ARS
195035,ARS-66_MHASMcontig_430583,338,533,complete,ARS
195036,ARS-66_MHASMcontig_430583,771,1068,complete,ARS
195037,ARS-66_MHASMcontig_430583,1283,2468,complete,ARS
27316,CPC-62_MHASMcontig_14167,1523,2345,CALIN,CPC
27317,CPC-62_MHASMcontig_14167,2414,3149,CALIN,CPC
27318,CPC-62_MHASMcontig_14167,3248,3548,CALIN,CPC
27319,CPC-62_MHASMcontig_14167,3699,4284,CALIN,CPC
27320,CPC-62_MHASMcontig_14167,4390,4969,CALIN,CPC
27321,CPC-62_MHASMcontig_14167,5121,5451,CALIN,CPC
32858,CPC-17_11926,336198,336726,complete,CPC
