COG_function,integron_count,integron_prop,deep_count,deep_prop
"Posttranslational modification, protein turnover, chaperones",26,0.076923077,104459,0.052888491
Transcription,20,0.059171598,89968,0.045551573
"Replication, recombination and repair",37,0.109467456,87885,0.044496932
Defense mechanisms,36,0.106508876,50746,0.025693136
"Translation, ribosomal structure and biogenesis",24,0.071005917,139786,0.070774855
Function unknown,26,0.076923077,68009,0.034433542
General function prediction only,42,0.124260355,176556,0.089391822
Lipid transport and metabolism,6,0.017751479,117481,0.059481641
"Mobilome: prophages, transposons",26,0.076923077,23019,0.011654718
Coenzyme transport and metabolism,20,0.059171598,129452,0.065542662
Energy production and conversion,13,0.038461538,126450,0.064022723
"Intracellular trafficking, secretion, and vesicular transport",2,0.00591716,36350,0.018404318
Cell wall/membrane/envelope biogenesis,11,0.032544379,151601,0.076756891
Inorganic ion transport and metabolism,9,0.026627219,95147,0.048173745
"Secondary metabolites biosynthesis, transport and catabolism",9,0.026627219,50406,0.025520992
Amino acid transport and metabolism,7,0.020710059,172922,0.087551897
Carbohydrate transport and metabolism,9,0.026627219,108944,0.055159285
Nucleotide transport and metabolism,5,0.014792899,54220,0.027452053
"Cell cycle control, cell division, chromosome partitioning",2,0.00591716,28613,0.014487008
Cytoskeleton,1,0.00295858,2233,0.001130587
Signal transduction mechanisms,7,0.020710059,114505,0.057974867
~Total,338,1,1975080,1
