gene_callers_id,contig,COG20_FUNCTION,bin,pNpS
3424.0,k127_9475360,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0094,0.12528339399245808
3522.0,k127_9475360,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0094,1.4255245174394875
13274.0,k127_4460790,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0098,0.568784118232298
13275.0,k127_4460790,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0098,1.7252574715066935
25477.0,k127_5019707,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0617,2.212047477706409
37193.0,k127_12267817,SRSO17 transposase (Srso17),deep_MAG_0126,0.8763813595291867
43818.0,k127_10596703,SRSO17 transposase (Srso17),deep_MAG_0127,3.681745235204074
75242.0,k127_4469973,SRSO17 transposase (Srso17),deep_MAG_0555,2.0433208309340207
82205.0,k127_7814825,SRSO17 transposase (Srso17),deep_MAG_0011,0.5236450995464144
84716.0,k127_1127407,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0193,1.0851976453147425
96773.0,k127_6143917,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0609,1.1647974466292816
117840.0,k127_1132194,Predicted transposase YbfD/YdcC associated with H repeats (YhhI),deep_MAG_0165,0.2422779045532728
122918.0,k127_11720403,SRSO17 transposase (Srso17),deep_MAG_0202,1.3878141384042595
137862.0,k127_7265161,Chromosomal replication initiation ATPase DnaA (DnaA) (PDB:1L8Q)!!!REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0489,0.5621897199583618
145578.0,k127_12283013,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0386,0.9828458004902441
145579.0,k127_12283013,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0386,0.6724417594471362
145580.0,k127_12283013,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0386,2.3897625859539717
163529.0,k127_9498594,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0238,0.6065870678095288
167691.0,k127_4482722,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0098,0.3613319437052305
167707.0,k127_4482722,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0098,2.2165551089858173
172623.0,k127_583353,Predicted transposase YbfD/YdcC associated with H repeats (YhhI),deep_MAG_0608,0.38335123068406907
187638.0,k127_6157520,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0165,0.4851240426408943
196117.0,k127_5604199,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0539,0.5023088740126296
233883.0,k127_8395042,SRSO17 transposase (Srso17),deep_MAG_0126,1.6945273733856534
237276.0,k127_3380492,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0293,0.7346935643151707
242982.0,k127_5052432,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0457,0.2388977309849361
244942.0,k127_10626874,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0021,0.08241286260690697
279998.0,k127_2830396,SRSO17 transposase (Srso17),deep_MAG_0335,0.3683527983888687
283630.0,k127_12861256,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0108,0.2291449313429131
289453.0,k127_12862025,SRSO17 transposase (Srso17),deep_MAG_0373,0.9413048839879792
289454.0,k127_12862025,SRSO17 transposase (Srso17),deep_MAG_0373,0.4711990342092934
289834.0,k127_4502585,IS4 transposase InsG (InsG),deep_MAG_0052,3.0838197823523394
291402.0,k127_12305534,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0047,0.1777337236508222
291403.0,k127_12305534,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0047,0.5086000789330342
296092.0,k127_5060969,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0439,1.2096845782744792
312236.0,k127_2835572,IS4 transposase InsG (InsG),deep_MAG_0410,0.6509450085897943
325104.0,k127_7293384,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0052,0.946410818268874
340725.0,k127_8411218,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0545,1.5729885643485235
354779.0,k127_5070436,SRSO17 transposase (Srso17),deep_MAG_0400,0.23657770233944686
384635.0,k127_6188679,SRSO17 transposase (Srso17),deep_MAG_0126,0.28572163241611603
431509.0,k127_5643985,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0169,0.5006228482292833
431937.0,k127_2855255,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0094,0.3795998520737208
443145.0,k127_2299616,IS4 transposase InsG (InsG),deep_MAG_0298,0.6683633338975402
448208.0,k127_2858439,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0362,0.28585129762477224
449279.0,k127_12889295,IS4 transposase InsG (InsG),deep_MAG_0165,0.2733599931256901
472857.0,k127_10665237,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0511,2.1976533199836745
510608.0,k127_1195530,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0455,0.21020989274683075
510730.0,k127_5657886,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0555,0.35643767164469736
521809.0,k127_6210633,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0108,1.0479408883847283
564761.0,k127_1202234,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0027,0.07202725314964432
568205.0,k127_2322408,SRSO17 transposase (Srso17),deep_MAG_0140,5.654087227035292
568930.0,k127_1770074,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0318,0.15675724711097894
571731.0,k127_9565540,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0108,0.31141211243646394
575981.0,k127_12910905,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0609,3.552771772355772
607124.0,k127_1776539,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0075,1.1053117293118395
614961.0,k127_6225702,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0489,0.714948945673797
655267.0,k127_6789536,REP element-mobilizing transposase RayT (RAYT) (PDB:4ER8),deep_MAG_0052,0.29983896678257904
