sequence_id	class_fst_stage	class_snd_stage
NODE_99_length_3404_cov_14.0000	bacteria	n/a
NODE_166_length_4176_cov_7.0000	archaea	n/a
NODE_184_length_6482_cov_6.0000	bacteria	n/a
NODE_201_length_3634_cov_8.0000	bacteria	n/a
NODE_233_length_9482_cov_27.7953	bacteria	n/a
NODE_244_length_11557_cov_22.6024	bacteria	n/a
NODE_391_length_3715_cov_6.0000	bacteria	n/a
NODE_468_length_3888_cov_6.0000	archaea	n/a
NODE_473_length_3013_cov_6.0000	bacteria	n/a
NODE_487_length_3045_cov_18.0000	bacteria	n/a
NODE_500_length_5547_cov_31.0000	archaea	n/a
NODE_540_length_3988_cov_21.0000	bacteria	n/a
NODE_543_length_3647_cov_11.0000	bacteria	n/a
NODE_581_length_3459_cov_25.2515	bacteria	n/a
NODE_592_length_4151_cov_13.0000	eukarya	n/a
NODE_599_length_3826_cov_7.0000	bacteria	n/a
NODE_604_length_3176_cov_21.8207	bacteria	n/a
NODE_616_length_4256_cov_83.0000	bacteria	n/a
NODE_627_length_3516_cov_10.0000	bacteria	n/a
NODE_965_length_6140_cov_7.0000	archaea	n/a
NODE_981_length_3399_cov_6.0000	bacteria	n/a
NODE_1007_length_7247_cov_42.5286	archaea	n/a
NODE_1106_length_6104_cov_9.0000	archaea	n/a
NODE_1205_length_4214_cov_19.2427	bacteria	n/a
NODE_1230_length_3449_cov_9.0000	bacteria	n/a
NODE_1272_length_4589_cov_15.0000	bacteria	n/a
NODE_1437_length_3489_cov_7.0000	bacteria	n/a
NODE_1771_length_4921_cov_20.9531	archaea	n/a
NODE_1836_length_10531_cov_28.3496	bacteria	n/a
NODE_1857_length_6480_cov_6.0000	bacteria	n/a
NODE_1882_length_3754_cov_11.0000	archaea	n/a
NODE_1910_length_6133_cov_9.0000	eukarya	n/a
NODE_1970_length_3944_cov_12.0000	bacteria	n/a
NODE_2054_length_3754_cov_21.4534	bacteria	n/a
NODE_2271_length_4958_cov_17.0000	bacteria	n/a
NODE_2283_length_4216_cov_8.0000	bacteria	n/a
NODE_2365_length_24694_cov_15.9249	bacteria	n/a
NODE_2420_length_3199_cov_39.5062	archaea	n/a
NODE_2456_length_3031_cov_8.0000	bacteria	n/a
NODE_2551_length_3513_cov_10.1232	bacteria	n/a
NODE_2567_length_5821_cov_19.0000	archaea	n/a
NODE_2672_length_9458_cov_15.0000	bacteria	n/a
NODE_2690_length_5007_cov_21.7250	archaea	n/a
NODE_2695_length_5686_cov_13.8809	bacteria	n/a
NODE_2720_length_7335_cov_58.7673	bacteria	n/a
NODE_2723_length_5130_cov_49.5893	bacteria	n/a
NODE_2731_length_3317_cov_10.0000	bacteria	n/a
NODE_2787_length_3955_cov_17.0000	bacteria	n/a
NODE_2840_length_15217_cov_38.7357	archaea	n/a
NODE_2860_length_9670_cov_11.0000	bacteria	n/a
NODE_2897_length_5585_cov_6.0000	bacteria	n/a
NODE_2898_length_3429_cov_15.0000	bacteria	n/a
NODE_2917_length_3442_cov_14.0000	bacteria	n/a
NODE_2946_length_10836_cov_11.9148	bacteria	n/a
NODE_3205_length_4743_cov_38.6337	archaea	n/a
NODE_3216_length_6995_cov_7.0000	archaea	n/a
NODE_3271_length_19030_cov_14.0000	bacteria	n/a
NODE_3335_length_7886_cov_9.0000	bacteria	n/a
NODE_3411_length_10984_cov_12.0000	bacteria	n/a
NODE_3468_length_3560_cov_24.0000	bacteria	n/a
NODE_3482_length_3073_cov_44.2552	bacteria	n/a
NODE_3694_length_12966_cov_16.0000	bacteria	n/a
NODE_3726_length_9715_cov_21.9372	bacteria	n/a
NODE_3736_length_4001_cov_15.0000	archaea	n/a
NODE_3777_length_3233_cov_28.0000	bacteria	n/a
NODE_3824_length_4403_cov_23.3915	bacteria	n/a
NODE_3825_length_6346_cov_48.5701	bacteria	n/a
NODE_3842_length_6869_cov_11.0000	bacteria	n/a
NODE_3848_length_5598_cov_50.0000	archaea	n/a
NODE_3859_length_7387_cov_14.0000	archaea	n/a
NODE_3927_length_3151_cov_34.0000	archaea	n/a
NODE_3931_length_4747_cov_33.0000	bacteria	n/a
NODE_4133_length_7753_cov_44.0000	archaea	n/a
NODE_4134_length_3974_cov_7.0000	bacteria	n/a
NODE_4152_length_7027_cov_36.6398	bacteria	n/a
NODE_4157_length_3982_cov_8.0000	bacteria	n/a
NODE_4166_length_5384_cov_9.0000	bacteria	n/a
NODE_4288_length_5202_cov_37.0000	bacteria	n/a
NODE_4365_length_3118_cov_9.0000	bacteria	n/a
NODE_4398_length_3680_cov_6.0000	bacteria	n/a
NODE_4419_length_3480_cov_28.0589	bacteria	n/a
NODE_4578_length_13651_cov_11.0000	bacteria	n/a
NODE_4674_length_10925_cov_7.0000	bacteria	n/a
NODE_4760_length_10262_cov_14.0000	bacteria	n/a
NODE_4783_length_3912_cov_8.0000	bacteria	n/a
NODE_4795_length_3042_cov_24.1758	bacteria	n/a
NODE_4847_length_7594_cov_20.8579	bacteria	n/a
NODE_4882_length_3873_cov_9.0000	bacteria	n/a
NODE_4938_length_3084_cov_29.5339	archaea	n/a
NODE_4968_length_4169_cov_20.6889	bacteria	n/a
NODE_4972_length_3089_cov_10.7576	bacteria	n/a
NODE_4991_length_3271_cov_24.0000	archaea	n/a
NODE_5029_length_3313_cov_20.4383	bacteria	n/a
NODE_5212_length_15354_cov_9.4165	bacteria	n/a
NODE_5238_length_3591_cov_10.0000	bacteria	n/a
NODE_5254_length_3545_cov_25.2569	archaea	n/a
NODE_5297_length_3456_cov_14.0000	bacteria	n/a
NODE_5432_length_4233_cov_25.5768	bacteria	n/a
NODE_5495_length_4912_cov_30.8982	archaea	n/a
NODE_5603_length_7568_cov_26.1175	bacteria	n/a
NODE_5664_length_4706_cov_9.0000	bacteria	n/a
NODE_5665_length_4322_cov_64.0000	bacteria	n/a
NODE_5671_length_3186_cov_6.0000	bacteria	n/a
NODE_5681_length_5345_cov_14.0000	bacteria	n/a
NODE_5698_length_5145_cov_7.0000	bacteria	n/a
NODE_5754_length_5409_cov_24.4147	bacteria	n/a
NODE_5810_length_6021_cov_9.8673	bacteria	n/a
NODE_5816_length_34153_cov_31.0000	bacteria	n/a
NODE_5831_length_9109_cov_12.0000	bacteria	n/a
NODE_5961_length_3146_cov_4.0000	bacteria	n/a
NODE_6071_length_3221_cov_6.0000	eukarya	n/a
NODE_6077_length_8129_cov_9.0000	bacteria	n/a
NODE_6125_length_4568_cov_13.0000	bacteria	n/a
NODE_6187_length_5674_cov_17.0000	bacteria	n/a
NODE_6197_length_5255_cov_25.0000	bacteria	n/a
NODE_6198_length_5397_cov_19.0000	eukarya	n/a
NODE_6213_length_4934_cov_6.0000	bacteria	n/a
NODE_6222_length_4031_cov_24.2111	bacteria	n/a
NODE_6447_length_4949_cov_7.0000	bacteria	n/a
NODE_6581_length_7143_cov_17.9516	bacteria	n/a
NODE_6593_length_6416_cov_10.0000	bacteria	n/a
NODE_6627_length_4069_cov_24.3833	bacteria	n/a
NODE_6727_length_3915_cov_6.0000	bacteria	n/a
NODE_6807_length_4865_cov_18.0000	bacteria	n/a
NODE_6817_length_6762_cov_8.0000	bacteria	n/a
NODE_6860_length_19212_cov_17.9146	bacteria	n/a
NODE_6865_length_3240_cov_10.6027	bacteria	n/a
NODE_6900_length_6556_cov_24.9466	archaea	n/a
NODE_7009_length_4400_cov_23.0000	bacteria	n/a
NODE_7084_length_11719_cov_11.8481	bacteria	n/a
NODE_7088_length_4121_cov_9.0000	bacteria	n/a
NODE_7094_length_3299_cov_9.8104	bacteria	n/a
NODE_7148_length_10108_cov_16.0000	bacteria	n/a
NODE_7161_length_3214_cov_42.0840	bacteria	n/a
