sequence_id	class_fst_stage	class_snd_stage
NODE_1_length_511938_cov_10.100593	bacteria	n/a
NODE_2_length_224720_cov_11.830619	bacteria	n/a
NODE_3_length_184928_cov_11.728468	bacteria	n/a
NODE_4_length_160681_cov_13.240565	bacteria	n/a
NODE_5_length_151235_cov_4.926121	bacteria	n/a
NODE_6_length_147414_cov_12.328511	bacteria	n/a
NODE_7_length_142697_cov_33.448809	bacteria	n/a
NODE_8_length_136823_cov_7.674047	bacteria	n/a
NODE_9_length_136202_cov_12.564162	bacteria	n/a
NODE_10_length_135052_cov_9.114491	bacteria	n/a
NODE_11_length_134079_cov_12.539635	bacteria	n/a
NODE_12_length_127916_cov_10.668726	bacteria	n/a
NODE_13_length_126400_cov_11.145886	bacteria	n/a
NODE_14_length_125395_cov_54.870313	bacteria	n/a
NODE_15_length_118330_cov_12.092310	bacteria	n/a
NODE_16_length_117766_cov_13.565546	bacteria	n/a
NODE_17_length_117339_cov_12.409468	bacteria	n/a
NODE_18_length_110496_cov_6.048225	unknown	n/a
NODE_19_length_109287_cov_30.704070	bacteria	n/a
NODE_20_length_106141_cov_50.126624	bacteria	n/a
NODE_21_length_102955_cov_28.153508	bacteria	n/a
NODE_22_length_102873_cov_11.253146	bacteria	n/a
NODE_23_length_102381_cov_10.195092	bacteria	n/a
NODE_24_length_99771_cov_11.037918	bacteria	n/a
NODE_25_length_98920_cov_65.914176	bacteria	n/a
NODE_26_length_98151_cov_45.395113	prokarya	n/a
NODE_27_length_97417_cov_11.991732	bacteria	n/a
NODE_28_length_96912_cov_75.014940	bacteria	n/a
NODE_29_length_94968_cov_12.209202	bacteria	n/a
NODE_30_length_94070_cov_8.636856	eukarya	n/a
NODE_31_length_91820_cov_48.294971	bacteria	n/a
NODE_32_length_91284_cov_9.388002	bacteria	n/a
NODE_33_length_90435_cov_7.235118	unknown	n/a
NODE_34_length_89228_cov_7.485506	bacteria	n/a
NODE_35_length_88735_cov_66.355221	bacteria	n/a
NODE_36_length_88102_cov_61.642929	bacteria	n/a
NODE_37_length_86626_cov_10.923254	bacteria	n/a
NODE_38_length_86121_cov_36.456382	archaea	n/a
NODE_39_length_85906_cov_6.893304	bacteria	n/a
NODE_40_length_85859_cov_94.780488	bacteria	n/a
NODE_41_length_84889_cov_32.485348	bacteria	n/a
NODE_42_length_83319_cov_4.834694	bacteria	n/a
NODE_43_length_83051_cov_40.076196	archaea	n/a
NODE_44_length_81993_cov_12.194720	bacteria	n/a
NODE_45_length_81847_cov_10.944848	bacteria	n/a
NODE_46_length_80913_cov_8.838458	archaea	n/a
NODE_47_length_80653_cov_6.764461	eukarya	n/a
NODE_48_length_79921_cov_11.091841	prokarya	n/a
