pnps,category,type_molecule,from_integron_type
0.015867618,"Replication, recombination and repair",protein,In0
1.010062168,Inorganic ion transport and metabolism,protein,CALIN
0.312771247,Inorganic ion transport and metabolism,protein,CALIN
0.224266698,Lipid transport and metabolism,protein,CALIN
0.064814132,"Replication, recombination and repair",protein,CALIN
0.104289621,"Replication, recombination and repair",protein,complete
0.262427546,"Replication, recombination and repair",protein,In0
0.033914184,"Replication, recombination and repair",protein,In0
0.072674717,"Replication, recombination and repair",protein,In0
0.096741107,Energy production and conversion,protein,CALIN
0.862989878,"Replication, recombination and repair",protein,complete
0.195963676,Defense mechanisms,protein,CALIN
0.0869275,Defense mechanisms,protein,CALIN
0.267430747,Transcription,protein,CALIN
0.064947765,"Translation, ribosomal structure and biogenesis",protein,CALIN
0.115768258,Nucleotide transport and metabolism,protein,CALIN
0.17350191,Coenzyme transport and metabolism,protein,CALIN
0.664432921,Amino acid transport and metabolism,protein,CALIN
0.053937505,Inorganic ion transport and metabolism,protein,CALIN
0.013737655,Lipid transport and metabolism,protein,complete
0.032494424,"Replication, recombination and repair",protein,complete
0.278113921,"Replication, recombination and repair",protein,In0
0.192119045,Inorganic ion transport and metabolism,protein,CALIN
0.092482191,Inorganic ion transport and metabolism,protein,CALIN
1.731707797,Inorganic ion transport and metabolism,protein,CALIN
0.679948062,Energy production and conversion,protein,CALIN
0.19328714,Function unknown,protein,CALIN
0.241747745,"Replication, recombination and repair",protein,complete
inf,"Mobilome: prophages, transposons",protein,CALIN
0.002447351,Cell wall/membrane/envelope biogenesis,protein,CALIN
0.135756149,"Replication, recombination and repair",protein,complete
0.165435348,"Replication, recombination and repair",protein,complete
0.010872961,Nucleotide transport and metabolism,protein,CALIN
0.101126768,"Replication, recombination and repair",protein,CALIN
0.080172952,"Replication, recombination and repair",protein,complete
0.010304401,"Replication, recombination and repair",protein,In0
0.249211691,"Replication, recombination and repair",protein,In0
0.325372899,"Replication, recombination and repair",protein,complete
0.063307551,"Secondary metabolites biosynthesis, transport and catabolism",protein,CALIN
0.116673019,"Mobilome: prophages, transposons",protein,complete
1.128149527,"Replication, recombination and repair",protein,complete
0.728034535,General function prediction only,protein,CALIN
0.368530442,Energy production and conversion,protein,CALIN
0.167748288,"Replication, recombination and repair",protein,In0
0.268545362,"Posttranslational modification, protein turnover, chaperones",protein,CALIN
0.060167609,"Replication, recombination and repair",protein,In0
0.235182035,"Replication, recombination and repair",protein,In0
0.587596442,"Replication, recombination and repair",protein,In0
3.313621947,"Translation, ribosomal structure and biogenesis",protein,CALIN
0.137432991,Amino acid transport and metabolism,protein,CALIN
0.126372827,Defense mechanisms,protein,CALIN
0.462196293,"Replication, recombination and repair",protein,complete
1.646170649,"Replication, recombination and repair",protein,In0
0.031464223,General function prediction only,protein,complete
0.04671501,"Replication, recombination and repair",protein,complete
0.011453414,"Replication, recombination and repair",protein,CALIN
0.188158276,Energy production and conversion,protein,CALIN
0.045559115,"Mobilome: prophages, transposons",protein,CALIN
0.197818628,Cell wall/membrane/envelope biogenesis,protein,CALIN
0.041586851,Function unknown,protein,CALIN
0.013173884,Transcription,protein,CALIN
0.058565254,Defense mechanisms,protein,CALIN
0.373009888,Coenzyme transport and metabolism,protein,CALIN
0.201585504,Inorganic ion transport and metabolism,protein,CALIN
2.965026114,"Replication, recombination and repair",protein,In0
0.024490676,"Replication, recombination and repair",protein,In0
0.109432082,"Replication, recombination and repair",protein,In0
0.083597768,Defense mechanisms,protein,CALIN
0.083597768,"Intracellular trafficking, secretion, and vesicular transport",protein,CALIN
0.083597768,Extracellular structures,protein,CALIN
0.089655249,General function prediction only,protein,CALIN
0.281538087,"Replication, recombination and repair",protein,complete
0.084047443,"Replication, recombination and repair",protein,In0
3.151197355,"Posttranslational modification, protein turnover, chaperones",protein,CALIN
0.23599788,"Replication, recombination and repair",protein,complete
0.932600281,"Translation, ribosomal structure and biogenesis",protein,CALIN
0.056584041,"Replication, recombination and repair",protein,In0
0.079985054,Defense mechanisms,protein,CALIN
0.118351102,Defense mechanisms,protein,CALIN
0.201799316,"Secondary metabolites biosynthesis, transport and catabolism",protein,CALIN
0.062075756,"Secondary metabolites biosynthesis, transport and catabolism",protein,CALIN
0.088884376,"Translation, ribosomal structure and biogenesis",protein,CALIN
0.088884376,"Posttranslational modification, protein turnover, chaperones",protein,CALIN
0.230506156,"Mobilome: prophages, transposons",protein,CALIN
0.129133827,"Replication, recombination and repair",protein,In0
0.29228844,Defense mechanisms,protein,CALIN
0.0151069,Lipid transport and metabolism,protein,complete
0.060600888,"Replication, recombination and repair",protein,complete
0.364439513,"Mobilome: prophages, transposons",protein,CALIN
0.131923645,"Replication, recombination and repair",protein,In0
0.024397704,"Translation, ribosomal structure and biogenesis",protein,CALIN
0.024397704,"Posttranslational modification, protein turnover, chaperones",protein,CALIN
0.03746125,"Replication, recombination and repair",protein,complete
0.038497527,General function prediction only,protein,complete
0.330906245,Defense mechanisms,protein,CALIN
0.092558821,Transcription,protein,CALIN
0.004911513,Defense mechanisms,protein,CALIN
0.175767811,"Mobilome: prophages, transposons",protein,CALIN
0.035030947,Defense mechanisms,protein,CALIN
0.030958,"Replication, recombination and repair",protein,complete
0.032378472,"Replication, recombination and repair",protein,In0
0.018675109,Lipid transport and metabolism,protein,complete
0.082942652,"Replication, recombination and repair",protein,complete
0.033532658,Defense mechanisms,protein,complete
0.224019904,General function prediction only,protein,complete
0.022181586,Amino acid transport and metabolism,protein,complete
0.26285512,"Replication, recombination and repair",protein,In0
0.137424047,"Replication, recombination and repair",protein,In0
0.182945448,"Replication, recombination and repair",protein,In0
0.0553839,"Mobilome: prophages, transposons",protein,CALIN
0.066464076,Defense mechanisms,protein,CALIN
0.157617367,Energy production and conversion,protein,CALIN
0.066766866,"Replication, recombination and repair",protein,complete
0.016996129,Defense mechanisms,protein,CALIN
0.072802484,"Replication, recombination and repair",protein,In0
0.161861842,"Replication, recombination and repair",protein,CALIN
0.158301411,Defense mechanisms,protein,CALIN
0.710550781,"Replication, recombination and repair",protein,complete
0.308219608,Amino acid transport and metabolism,protein,CALIN
1.637166044,"Replication, recombination and repair",protein,In0
0.060906479,General function prediction only,protein,CALIN
0.089071413,"Replication, recombination and repair",protein,In0
0.0829408,Defense mechanisms,protein,CALIN
0.11000149,"Mobilome: prophages, transposons",protein,CALIN
0.26634679,Energy production and conversion,protein,CALIN
0.236306242,"Replication, recombination and repair",protein,In0
0.017757008,Nucleotide transport and metabolism,protein,complete
0.155429603,"Replication, recombination and repair",protein,complete
0.132371381,"Translation, ribosomal structure and biogenesis",protein,complete
0.09028487,Defense mechanisms,protein,CALIN
0.162972011,"Posttranslational modification, protein turnover, chaperones",protein,CALIN
0.208010811,"Replication, recombination and repair",protein,In0
0.328618294,"Replication, recombination and repair",protein,In0
0.023073165,"Mobilome: prophages, transposons",protein,CALIN
0.069271009,"Replication, recombination and repair",protein,CALIN
0.097137617,"Translation, ribosomal structure and biogenesis",protein,CALIN
0.09116065,Nucleotide transport and metabolism,protein,CALIN
0.076324179,Defense mechanisms,protein,CALIN
0.52843194,Defense mechanisms,protein,CALIN
0.054914859,"Replication, recombination and repair",protein,In0
0.029849004,Energy production and conversion,protein,CALIN
0.289489959,"Secondary metabolites biosynthesis, transport and catabolism",protein,CALIN
0.320842609,"Mobilome: prophages, transposons",protein,CALIN
0.952496121,"Replication, recombination and repair",protein,In0
0.046527741,Defense mechanisms,protein,CALIN
0.102321029,"Replication, recombination and repair",protein,In0
0.062252843,"Replication, recombination and repair",protein,In0
