ERR594328,SRF,0.1-0.22,Tara034_SRF_0.1-0.22
ERR594334,SRF,0.1-0.22,Tara036_SRF_0.1-0.22
ERR594290,MES,0.1-0.22,Tara037_MES_0.1-0.22
ERR594345,MES,0.1-0.22,Tara037_MES_0.1-0.22
ERR594312,MES,0.1-0.22,Tara038_MES_0.1-0.22
ERR594330,SRF,0.1-0.22,Tara038_SRF_0.1-0.22
ERR594346,MES,0.1-0.22,Tara039_MES_0.1-0.22
ERR594327,SRF,0.1-0.22,Tara039_SRF_0.1-0.22
ERR594295,SRF,0.1-0.22,Tara041_SRF_0.1-0.22
ERR594314,SRF,0.1-0.22,Tara048_SRF_0.1-0.22
ERR594324,DCM,0.1-0.22,Tara064_DCM_0.1-0.22
ERR594291,DCM,0.1-0.22,Tara065_DCM_0.1-0.22
ERR594320,SRF,0.1-0.22,Tara065_SRF_0.1-0.22
ERR594313,SRF,0.22-0.45,Tara067_SRF_0.22-0.45
ERR594325,SRF,0.45-0.8,Tara067_SRF_0.45-0.8
ERR594294,DCM,0.22-0.45,Tara068_DCM_0.22-0.45
ERR594348,DCM,0.45-0.8,Tara068_DCM_0.45-0.8
ERR594302,MES,0.45-0.8,Tara068_MES_0.45-0.8
ERR594318,SRF,0.22-0.45,Tara068_SRF_0.22-0.45
ERR594297,SRF,0.45-0.8,Tara068_SRF_0.45-0.8
ERR594299,MES,0.22-0.45,Tara070_MES_0.22-0.45
ERR594308,MES,0.22-0.45,Tara070_MES_0.22-0.45
ERR594331,MES,0.45-0.8,Tara070_MES_0.45-0.8
ERR594349,SRF,0.22-0.45,Tara070_SRF_0.22-0.45
ERR594335,SRF,0.45-0.8,Tara070_SRF_0.45-0.8
ERR594321,DCM,0.22-0.45,Tara076_DCM_0.22-0.45
ERR594298,DCM,0.45-0.8,Tara076_DCM_0.45-0.8
ERR594333,MES,0.45-0.8,Tara076_MES_0.45-0.8
ERR594310,SRF,0.22-0.45,Tara076_SRF_0.22-0.45
ERR594286,SRF,0.45-0.8,Tara076_SRF_0.45-0.8
ERR594336,DCM,0.22-0.45,Tara078_DCM_0.22-0.45
ERR594303,DCM,0.45-0.8,Tara078_DCM_0.45-0.8
ERR594289,MES,0.45-0.8,Tara078_MES_0.45-0.8
ERR594340,SRF,0.22-0.45,Tara078_SRF_0.22-0.45
ERR594332,SRF,0.45-0.8,Tara078_SRF_0.45-0.8
ERR594284,DCM,0.1-0.22,Tara122_DCM_0.1-0.22
ERR594304,DCM,0.22-0.45,Tara122_DCM_0.22-0.45
ERR594301,DCM,0.45-0.8,Tara122_DCM_0.45-0.8
ERR594309,MES,0.1-0.22,Tara122_MES_0.1-0.22
ERR594305,MES,0.22-0.45,Tara122_MES_0.22-0.45
ERR594322,MES,0.45-0.8,Tara122_MES_0.45-0.8
ERR594292,SRF,0.1-0.22,Tara122_SRF_0.1-0.22
ERR594307,SRF,0.22-0.45,Tara122_SRF_0.22-0.45
ERR594306,SRF,0.45-0.8,Tara122_SRF_0.45-0.8
ERR594293,MIX,0.1-0.22,Tara123_MIX_0.1-0.22
ERR594337,MIX,0.22-0.45,Tara123_MIX_0.22-0.45
ERR594319,MIX,0.45-0.8,Tara123_MIX_0.45-0.8
ERR594326,SRF,0.22-0.45,Tara123_SRF_0.22-0.45
ERR594347,SRF,0.45-0.8,Tara123_SRF_0.45-0.8
ERR594285,MIX,0.1-0.22,Tara124_MIX_0.1-0.22
ERR594343,MIX,0.22-0.45,Tara124_MIX_0.22-0.45
ERR594338,MIX,0.45-0.8,Tara124_MIX_0.45-0.8
ERR594287,SRF,0.1-0.22,Tara124_SRF_0.1-0.22
ERR594311,SRF,0.22-0.45,Tara124_SRF_0.22-0.45
ERR594296,SRF,0.45-0.8,Tara124_SRF_0.45-0.8
ERR594341,MIX,0.1-0.22,Tara125_MIX_0.1-0.22
ERR594342,MIX,0.22-0.45,Tara125_MIX_0.22-0.45
ERR594300,MIX,0.45-0.8,Tara125_MIX_0.45-0.8
ERR594344,SRF,0.1-0.22,Tara125_SRF_0.1-0.22
ERR594339,SRF,0.22-0.45,Tara125_SRF_0.22-0.45
ERR594323,SRF,0.45-0.8,Tara125_SRF_0.45-0.8
ERR598950,DCM,0.22-1.6,Tara004_DCM_0.22-1.6
ERR599095,DCM,0.22-1.6,Tara004_DCM_0.22-1.6
ERR598955,SRF,0.22-1.6,Tara004_SRF_0.22-1.6
ERR599003,SRF,0.22-1.6,Tara004_SRF_0.22-1.6
ERR315856,DCM,0.22-1.6,Tara007_DCM_0.22-1.6
ERR315857,SRF,0.22-1.6,Tara007_SRF_0.22-1.6
ERR594315,DCM,0.22-1.6,Tara009_DCM_0.22-1.6
ERR594329,DCM,0.22-1.6,Tara009_DCM_0.22-1.6
ERR594288,SRF,0.22-1.6,Tara009_SRF_0.22-1.6
ERR594316,SRF,0.22-1.6,Tara009_SRF_0.22-1.6
ERR594317,SRF,0.22-1.6,Tara009_SRF_0.22-1.6
ERR599073,DCM,0.22-1.6,Tara018_DCM_0.22-1.6
ERR599092,DCM,0.22-1.6,Tara018_DCM_0.22-1.6
ERR598993,SRF,0.22-1.6,Tara018_SRF_0.22-1.6
ERR599140,SRF,0.22-1.6,Tara018_SRF_0.22-1.6
ERR315859,DCM,0.22-1.6,Tara023_DCM_0.22-1.6
ERR315860,DCM,0.22-1.6,Tara023_DCM_0.22-1.6
ERR315858,SRF,0.22-1.6,Tara023_SRF_0.22-1.6
ERR315861,SRF,0.22-1.6,Tara023_SRF_0.22-1.6
ERR599094,DCM,0.22-1.6,Tara025_DCM_0.22-1.6
ERR599153,DCM,0.22-1.6,Tara025_DCM_0.22-1.6
ERR598951,SRF,0.22-1.6,Tara025_SRF_0.22-1.6
ERR599043,SRF,0.22-1.6,Tara025_SRF_0.22-1.6
ERR318618,DCM,0.22-1.6,Tara030_DCM_0.22-1.6
ERR318619,DCM,0.22-1.6,Tara030_DCM_0.22-1.6
ERR318620,DCM,0.22-1.6,Tara030_DCM_0.22-1.6
ERR318621,DCM,0.22-1.6,Tara030_DCM_0.22-1.6
ERR315862,SRF,0.22-1.6,Tara030_SRF_0.22-1.6
ERR315863,SRF,0.22-1.6,Tara030_SRF_0.22-1.6
ERR598969,SRF,0.22-1.6,Tara031_SRF_0.22-1.6
ERR599106,SRF,0.22-1.6,Tara031_SRF_0.22-1.6
ERR599061,DCM,0.22-1.6,Tara032_DCM_0.22-1.6
ERR599097,DCM,0.22-1.6,Tara032_DCM_0.22-1.6
ERR599041,SRF,0.22-1.6,Tara032_SRF_0.22-1.6
ERR599116,SRF,0.22-1.6,Tara032_SRF_0.22-1.6
