Subject	Readcount	Correct_bases	Incorrect_bases	Total_bases	Subjlen	Coverage	Percent_ID
protist-Gephyrocapsa_oceanica-1010730at2759-S1	1	100	1	101	1650	6.12	99.01
protist-Gephyrocapsa_oceanica-1257440at2759-S1	2	172	1	173	549	31.51	99.42
protist-Gephyrocapsa_oceanica-1395649at2759-S1	1	99	2	101	687	14.7	98.02
protist-Triparma_pacifica-598949at2759-S1	1	101	0	101	3437	2.94	100.0
protist-Triparma_pacifica-720340at2759-S1	2	156	1	157	1113	14.11	99.36
protist-Pelagococcus_subviridis-1287094at2759-S1	2	181	7	188	762	24.67	96.28
protist-Triparma_eleuthera-97116at2759-S1	2	177	0	177	3269	5.41	100.0
protist-Triparma_eleuthera-156083at2759-S1	2	198	1	199	6849	2.91	99.5
protist-Triparma_eleuthera-290630at2759-S1	2	173	0	173	2591	6.68	100.0
protist-Triparma_eleuthera-325552at2759-S1	6	322	2	324	1878	17.25	99.38
protist-Triparma_eleuthera-426305at2759-D2	2	182	0	182	2285	7.96	100.0
protist-Triparma_eleuthera-453044at2759-S1	2	166	1	167	1635	10.21	99.4
protist-Triparma_eleuthera-549762at2759-S1	1	93	0	93	1945	4.78	100.0
protist-Triparma_eleuthera-604979at2759-S1	2	177	0	177	1575	11.24	100.0
protist-Triparma_eleuthera-734666at2759-S1	2	182	1	183	1785	10.25	99.45
protist-Triparma_eleuthera-751335at2759-S1	1	97	1	98	1316	7.45	98.98
protist-Triparma_eleuthera-777920at2759-S1	2	174	0	174	2061	8.44	100.0
protist-Triparma_eleuthera-946128at2759-S1	1	101	0	101	2071	4.88	100.0
protist-Triparma_eleuthera-974865at2759-S1	2	179	0	179	934	19.16	100.0
protist-Triparma_eleuthera-976469at2759-S1	1	100	0	100	1179	8.48	100.0
protist-Triparma_eleuthera-1014314at2759-D1	4	268	1	269	1482	18.15	99.63
protist-Triparma_eleuthera-1194691at2759-S1	1	94	1	95	1164	8.16	98.95
protist-Triparma_eleuthera-1194797at2759-S1	2	161	0	161	2115	7.61	100.0
protist-Triparma_eleuthera-1287094at2759-S1	2	165	1	166	645	25.74	99.4
protist-Triparma_eleuthera-1430056at2759-S1	4	324	1	325	783	41.51	99.69
protist-Triparma_eleuthera-1432328at2759-S1	2	167	0	167	2483	6.73	100.0
protist-Triparma_eleuthera-1563319at2759-S1	2	169	0	169	714	23.67	100.0
protist-Triparma_eleuthera-1576404at2759-S1	2	172	0	172	682	25.22	100.0
greenalgae-Pycnococcus_provasolii-1157302at2759-S1	2	171	1	172	741	23.21	99.42
protist-Prymnesium_polylepis-917326at2759-D1	2	167	6	173	1877	9.22	96.53
protist-Prymnesium_polylepis-1079827at2759-S1	4	192	7	199	786	25.32	96.48
greenalgae-Tetraselmis_striata-734341at2759-S1	13	863	18	881	3993	22.06	97.96
other_MGCollapse_NMASP5-22	27	792	7	799	849	94.11	99.12
greenalgae-Prasinococcaceae_sp_CCMP_1430-1284731at2759-S1	1	96	4	100	1248	8.01	96.0
greenalgae-Bathycoccus_SPCollapse_SP4-6	14	404	3	407	441	92.29	99.26
fungi-Hortaea_werneckii_EXF-2000-1430056at2759-D1	2	184	0	184	1947	9.45	100.0
fungi-Nectria_haematococca_mpVI_77-13-4-722805at2759-S1	1	101	0	101	4101	2.46	100.0
protist-Bigelowiella_natans_CCMP2755-679187at2759-S1	4	321	0	321	4543	7.07	100.0
protist-Bigelowiella_natans_CCMP2755-931188at2759-S1	3	280	1	281	2148	13.08	99.64
protist-Bigelowiella_natans_CCMP2755-946128at2759-S1	3	261	4	265	3496	7.58	98.49
protist-Cafeteria_roenbergensis-1010730at2759-S1	1	101	0	101	1353	7.46	100.0
protist-Cafeteria_roenbergensis-1157302at2759-S1	1	87	0	87	738	11.79	100.0
protist-Cafeteria_roenbergensis-917326at2759-S1	2	182	0	182	1899	9.58	100.0
protist-Cafeteria_roenbergensis-1346165at2759-S1	1	100	1	101	1236	8.17	99.01
protist-Stramenopiles_sp_TOSAG23-2-551907at2759-S1	61	1986	19	2005	2607	76.91	99.05
protist-Stramenopiles_sp_TOSAG23-2-1003258at2759-S1	35	1097	17	1114	1353	82.34	98.47
protist-Stramenopiles_sp_TOSAG23-2-981902at2759-S1	13	624	5	629	1227	51.26	99.21
protist-Stramenopiles_sp_TOSAG23-2-768809at2759-S1	41	1157	8	1165	1203	96.84	99.31
protist-Stramenopiles_sp_TOSAG23-2-1593937at2759-S1	34	1238	4	1242	1452	85.54	99.68
protist-Stramenopiles_sp_TOSAG23-2-491869at2759-S1	56	1296	12	1308	1440	90.83	99.08
protist-Stramenopiles_sp_TOSAG23-2-290630at2759-S1	70	2125	19	2144	2526	84.88	99.11
protist-Stramenopiles_sp_TOSAG23-2-1249159at2759-S1	23	564	3	567	585	96.92	99.47
protist-Stramenopiles_sp_TOSAG23-2-1284731at2759-S1	19	632	3	635	693	91.63	99.53
protist-Stramenopiles_sp_TOSAG23-2-1488235at2759-S1	17	528	7	535	621	86.15	98.69
protist-Stramenopiles_sp_TOSAG23-2-1157302at2759-S1	22	655	6	661	738	89.57	99.09
protist-Stramenopiles_sp_TOSAG23-2-1264469at2759-S1	17	571	1	572	750	76.27	99.83
protist-Stramenopiles_sp_TOSAG23-2-759498at2759-S1	61	1927	8	1935	2154	89.83	99.59
protist-Stramenopiles_sp_TOSAG23-2-1323575at2759-S1	18	527	3	530	549	96.54	99.43
protist-Stramenopiles_sp_TOSAG23-2-1626636at2759-S1	18	584	3	587	741	79.22	99.49
protist-Stramenopiles_sp_TOSAG23-2-1355894at2759-S1	12	495	2	497	534	93.07	99.6
protist-Stramenopiles_sp_TOSAG23-2-1490022at2759-S1	14	595	1	596	813	73.31	99.83
protist-Stramenopiles_sp_TOSAG23-2-375960at2759-S1	38	1565	4	1569	1641	95.61	99.75
protist-Stramenopiles_sp_TOSAG23-2-751335at2759-S1	35	1308	21	1329	1518	87.55	98.42
protist-Stramenopiles_sp_TOSAG23-2-1266231at2759-S1	15	570	4	574	648	88.58	99.3
protist-Stramenopiles_sp_TOSAG23-2-156083at2759-S1	179	6213	32	6245	7107	87.87	99.49
protist-Stramenopiles_sp_TOSAG23-2-1370285at2759-S1	76	1874	16	1890	2139	88.36	99.15
protist-Stramenopiles_sp_TOSAG23-2-834694at2759-S1	71	2044	7	2051	2382	86.1	99.66
protist-Stramenopiles_sp_TOSAG23-2-1247641at2759-S1	42	1120	11	1131	1299	87.07	99.03
protist-Stramenopiles_sp_TOSAG23-2-679771at2759-S1	23	913	4	917	1167	78.58	99.56
protist-Stramenopiles_sp_TOSAG23-2-937686at2759-S1	32	1056	10	1066	1455	73.26	99.06
protist-Stramenopiles_sp_TOSAG23-2-1193442at2759-S1	53	1309	15	1324	1362	97.21	98.87
protist-Stramenopiles_sp_TOSAG23-2-671536at2759-S1	39	1342	11	1353	1608	84.14	99.19
protist-Stramenopiles_sp_TOSAG23-2-341721at2759-S1	46	1771	6	1777	2262	78.56	99.66
protist-Stramenopiles_sp_TOSAG23-2-976469at2759-S1	23	755	8	763	1086	70.26	98.95
protist-Stramenopiles_sp_TOSAG23-2-1161199at2759-S1	26	728	10	738	885	83.39	98.64
protist-Stramenopiles_sp_TOSAG23-2-1228942at2759-S1	9	545	6	551	731	75.38	98.91
protist-Stramenopiles_sp_TOSAG23-2-814241at2759-S1	33	909	18	927	1263	73.4	98.06
protist-Stramenopiles_sp_TOSAG23-2-1030907at2759-S1	21	796	4	800	915	87.43	99.5
protist-Stramenopiles_sp_TOSAG23-2-1558822at2759-S1	6	214	1	215	291	73.88	99.53
protist-Stramenopiles_sp_TOSAG23-2-1197019at2759-S1	13	510	3	513	630	81.43	99.42
protist-Stramenopiles_sp_TOSAG23-2-179362at2759-S1	76	2168	14	2182	3007	72.56	99.36
protist-Stramenopiles_sp_TOSAG23-2-1432328at2759-S1	25	729	4	733	1041	70.41	99.45
protist-Stramenopiles_sp_TOSAG23-2-1588798at2759-S1	16	624	5	629	711	88.47	99.21
protist-Stramenopiles_sp_TOSAG23-2-1079827at2759-S1	19	715	4	719	783	91.83	99.44
protist-Stramenopiles_sp_TOSAG23-2-1450538at2759-S1	15	708	3	711	867	82.01	99.58
protist-Stramenopiles_sp_TOSAG23-2-604979at2759-S1	24	1085	4	1089	1278	85.21	99.63
protist-Stramenopiles_sp_TOSAG23-2-625387at2759-S1	112	3595	56	3651	4257	85.76	98.47
protist-Stramenopiles_sp_TOSAG23-2-734341at2759-S1	25	815	6	821	1013	81.05	99.27
protist-Stramenopiles_sp_TOSAG23-2-1426075at2759-S1	7	263	0	263	486	54.12	100.0
protist-Stramenopiles_sp_TOSAG23-2-543764at2759-S1	53	1138	22	1160	1299	89.3	98.1
protist-Stramenopiles_sp_TOSAG41-1-759498at2759-S1	4	353	8	361	2121	17.02	97.78
protist-Stramenopiles_sp_TOSAG41-1-768809at2759-S1	2	168	0	168	1131	14.85	100.0
protist-Stramenopiles_sp_TOSAG41-1-1459797at2759-S1	2	165	0	165	387	42.64	100.0
protist-Stramenopiles_sp_TOSAG41-1-1096688at2759-S1	3	264	4	268	999	26.83	98.51
protist-Stramenopiles_sp_TOSAG41-1-1094121at2759-S1	4	220	6	226	531	42.56	97.35
protist-Stramenopiles_sp_TOSAG41-1-774318at2759-S1	8	436	12	448	1317	34.02	97.32
protist-Stramenopiles_sp_TOSAG41-1-834694at2759-S1	7	478	1	479	2388	20.06	99.79
protist-Stramenopiles_sp_TOSAG41-1-917326at2759-S1	3	284	5	289	1752	16.5	98.27
protist-Stramenopiles_sp_TOSAG41-1-865202at2759-S1	4	214	3	217	883	24.58	98.62
protist-Stramenopiles_sp_TOSAG41-1-87842at2759-S1	8	682	3	685	2760	24.82	99.56
protist-Stramenopiles_sp_TOSAG41-1-1161199at2759-S1	2	171	4	175	885	19.77	97.71
protist-Stramenopiles_sp_TOSAG41-1-1085752at2759-S1	1	98	2	100	1299	7.7	98.0
protist-Stramenopiles_sp_TOSAG41-1-708105at2759-S1	2	171	0	171	1407	12.15	100.0
protist-Stramenopiles_sp_TOSAG41-1-1193442at2759-S1	4	332	11	343	1359	25.24	96.79
protist-Stramenopiles_sp_TOSAG41-1-1182451at2759-S1	1	101	0	101	924	10.93	100.0
protist-Stramenopiles_sp_TOSAG41-1-1106766at2759-S1	4	344	0	344	1446	23.79	100.0
protist-Stramenopiles_sp_TOSAG41-1-836599at2759-S1	4	196	5	201	1545	13.01	97.51
protist-Stramenopiles_sp_TOSAG41-1-1010730at2759-S1	2	170	1	171	1302	13.13	99.42
protist-Stramenopiles_sp_TOSAG41-1-1322299at2759-S1	5	270	5	275	1653	16.64	98.18
protist-Stramenopiles_sp_TOSAG41-1-734341at2759-S1	2	152	0	152	798	19.05	100.0
protist-Stramenopiles_sp_TOSAG41-1-306227at2759-S1	7	608	2	610	2304	26.48	99.67
protist-Stramenopiles_sp_TOSAG41-1-179362at2759-S1	16	1109	7	1116	4020	27.76	99.37
protist-Stramenopiles_sp_TOSAG41-1-1423847at2759-S1	4	297	7	304	1233	24.66	97.7
protist-Stramenopiles_sp_TOSAG41-1-418107at2759-S1	5	468	1	469	1419	33.05	99.79
protist-Stramenopiles_sp_TOSAG41-1-855834at2759-S1	5	345	2	347	1538	22.56	99.42
protist-Stramenopiles_sp_TOSAG41-1-1348942at2759-S1	35	942	4	946	1161	81.48	99.58
protist-Stramenopiles_sp_TOSAG41-1-1593937at2759-D2	3	282	0	282	1473	19.14	100.0
protist-Stramenopiles_sp_TOSAG41-1-1112002at2759-D2	1	101	0	101	2067	4.89	100.0
protist-Stramenopiles_sp_TOSAG41-1-1269649at2759-D2	8	479	9	488	636	76.73	98.16
protist-Stramenopiles_sp_TOSAG41-1_SSCollapse_SP3-2	2	158	1	159	1380	11.52	99.37
protist-Stramenopiles_sp_TOSAG41-1_SSCollapse_SP3	6	501	1	502	1775	28.28	99.8
protist-Stramenopiles_sp_TOSAG41-1-918816at2759-D1	4	359	0	359	1344	26.71	100.0
protist-Stramenopiles_sp_TOSAG41-1-918816at2759-D2	8	669	0	669	1341	49.89	100.0
protist-Stramenopiles_sp_TOSAG41-1_SSCollapse_SP3-4	2	174	0	174	1182	14.72	100.0
protist-Stramenopiles_sp_TOSAG41-1_SSCollapse_SP3-5	3	242	10	252	924	27.27	96.03
protist-Stramenopiles_sp_TOSAG41-1_SSCollapse_SP3-3	2	160	0	160	1317	12.15	100.0
protist-Stramenopiles_sp_TOSAG41-1-1228942at2759-D1	2	150	0	150	738	20.33	100.0
protist-Stramenopiles_sp_TOSAG41-1_SSCollapse_SP3-1	6	507	0	507	1623	31.24	100.0
protist-Stramenopiles_sp_TOSAG41-1_SSCollapse_SP3-6	2	164	0	164	783	20.95	100.0
