Subject	Readcount	Correct_bases	Incorrect_bases	Total_bases	Subjlen	Coverage	Percent_ID
other_MGCollapse_EASP3-11	251	5369	185	5554	7437	74.68	96.67
other_MGCollapse_EASP3-12	278	5199	163	5362	7383	72.63	96.96
other_MGCollapse_EASP3	608	10411	259	10670	13242	80.58	97.57
other_MGCollapse_EASP3-1	368	7101	238	7339	11112	66.05	96.76
other_MGCollapse_EASP3-56	86	2296	73	2369	4050	58.49	96.92
other_MGCollapse_EASP3-93	202	3061	72	3133	3261	96.07	97.7
other_MGCollapse_EASP3-52	90	2237	57	2294	4224	54.31	97.52
other_MGCollapse_EASP3-67	150	2813	68	2881	3855	74.73	97.64
other_MGCollapse_EASP3-60	42	1356	44	1400	3993	35.06	96.86
other_MGCollapse_EASP3-165	8	424	12	436	2373	18.37	97.25
other_MGCollapse_EASP3-25	363	5476	161	5637	6081	92.7	97.14
other_MGCollapse_EASP3-94	116	2491	80	2571	3219	79.87	96.89
other_MGCollapse_EASP3-135	105	2187	77	2264	2715	83.39	96.6
other_MGCollapse_EASP3-23	182	3767	114	3881	6474	59.95	97.06
greenalgae-Micromonas_pusilla-296129at2759-S1	163	3549	112	3661	4479	81.74	96.94
greenalgae-Micromonas_pusilla-299766at2759-S1	144	2536	91	2627	3372	77.91	96.54
other_MGCollapse_EASP3-46	205	3694	135	3829	4623	82.83	96.47
greenalgae-Micromonas_pusilla-320059at2759-S1	41	1128	38	1166	1641	71.05	96.74
other_MGCollapse_EASP3-98	118	1966	73	2039	3186	64.0	96.42
other_MGCollapse_EASP3-59	64	1797	55	1852	4011	46.17	97.03
other_MGCollapse_EASP3-265	30	787	26	813	1692	48.05	96.8
other_MGCollapse_EASP3-36	193	3712	109	3821	4998	76.45	97.15
other_MGCollapse_EASP3-122	66	1595	53	1648	2856	57.7	96.78
greenalgae-Micromonas_pusilla-345441at2759-S1	68	2688	68	2756	4833	57.02	97.53
other_MGCollapse_EASP3-197	107	1667	56	1723	2172	79.33	96.75
greenalgae-Micromonas_pusilla-369837at2759-S1	109	1884	57	1941	3711	52.3	97.06
other_MGCollapse_EASP3-223	100	1521	48	1569	1980	79.24	96.94
other_MGCollapse_EASP3-77	35	1215	36	1251	3519	35.55	97.12
other_MGCollapse_EASP3-4	121	3270	108	3378	8164	41.38	96.8
greenalgae-Micromonas_pusilla-390348at2759-S1	137	2571	73	2644	3105	85.15	97.24
greenalgae-Micromonas_pusilla-392369at2759-S1	93	1530	37	1567	1638	95.67	97.64
